flag		comment
$PARTY_ATTACK	攻擊:<T>	
$PARTY_CANT_ARMOR	無法<N>裝備<N>護甲	
$PARTY_CANT_WEAPON	無法<N>裝備<N>武器	
$PARTY_CHANGE_NAME	重命名	
$PARTY_CHARACTER	人物	
$PARTY_CHARACTERS	人物	
$PARTY_CONFIRM_CHANGES	確認更改	
$PARTY_CONFIRM_POINTS_1_1	是否確定將1個技能點永久分配給1個角色？	
$PARTY_CONFIRM_POINTS_1_X	是否確定將1個技能點永久分配給 <CHARS> 個角色？	
$PARTY_CONFIRM_POINTS_TITLE	確認技能點數	
$PARTY_CONFIRM_POINTS_X_1	是否確定將 <POINTS> 個技能點永久分配給1個角色？	
$PARTY_CONFIRM_POINTS_X_X	是否確定將 <POINTS> 個技能點永久分配給 <CHARS> 個角色？	
$PARTY_DEFEATED_WAVE_X	已擊敗 <X> 波	
$PARTY_DEFEND	防禦：<T>	
$PARTY_EVADE	閃避：<T>	
$PARTY_FAIL_PENALTY	失敗懲罰	
$PARTY_FAILED	通關失敗！	
$PARTY_FAILED_DESC	<MCG> 被殺死了。	
$PARTY_FROM_BATTLE	從戰鬥中	
$PARTY_GO_TO_MAP	前往地圖	
$PARTY_HP	生命值	
$PARTY_NO_AFFORD	你買不起！<N>花費： <COST><N>廢品： <SCRAP>	
$PARTY_NO_NEW_ACHIEVE	沒有新的成就。	
$PARTY_NO_POINTS	沒有可供重新分配的技能點！	
$PARTY_PASSED	通關成功！	
$PARTY_PASSED_ALLY_DEAD_DESC	<ALLY> 被殺死了，<N>但是 <MCG> 存活了下來。	
$PARTY_PASSED_DESC	<MCG> 在戰鬥中存活了下來，<N>但是受傷了。	
$PARTY_PASSED_WORD	通過	
$PARTY_PASSED+	通關成功！+	
$PARTY_PASSED+_DESC	<MCG> 受傷了！<N><ALLY> 存活了下來!	
$PARTY_PASSED++	通關成功！++	
$PARTY_PASSED++_DESC	<MCG> 受傷了！<N><ALLY> 毫髮無傷地存活了下來!	
$PARTY_PERFECT	完美！	
$PARTY_PERFECT_ALLY_DEAD_DESC	<MCG> 毫髮無傷， 但是 <ALLY> 死亡了。	
$PARTY_PERFECT_DESC	<MCG> 毫髮無傷地存活了下來!	
$PARTY_PERFECT_WORD	完美	
$PARTY_PERFECT+	完美！+	
$PARTY_PERFECT+_DESC	<MCG> 毫髮無傷！<N><ALLY> 受傷了！	
$PARTY_PERFECT++	完美！++	
$PARTY_PERFECT++_DESC	<MCG> 和 <ALLY><N>毫髮無傷！	
$PARTY_POINT	點	
$PARTY_POINTS	點	
$PARTY_PSI	能量	
$PARTY_RANGE	範圍：<T>	
$PARTY_RE_ASSIGN	重新分配 <NAME> 的所有技能？<N>花費： <COST><N>廢品： <SCRAP>	
$PARTY_REACHED_WAVE_X	達到 <X> 波	
$PARTY_REDESIGN	重新設計	
$PARTY_REGEN	生命回復：	
$PARTY_RENAME	重命名	
$PARTY_RESET_POINTS	重設點數	
$PARTY_RETURN_TOWN	返回城鎮	
$PARTY_SPEED	速度：<T>	
$PARTY_TOTAL	總共	
$PARTY_WELL_DONE	幹得好！	
$PARTY_X_NEW_ACHIEVE	<NUM> 個新的成就！	
$PARTY_X_PTS	<X> 能量	
$PARTY_XP	經驗	
$REWARD_FINISH	結束遊戲	
$REWARD_GOLD	+ <GOLD> 廢品	
$REWARD_NEXT_LEVEL	解鎖下一關	
$REWARD_NO_GOLD	沒有	
$REWARD_NO_XP	沒有	
$REWARD_QUEST	冒險完成	
$REWARD_XP	+ <XP> 經驗	
$RQ	”	
$SAVE_SLOT_DELETE	刪除	
$SAVE_SLOT_DELETE_TEXT	從電腦中永久刪除該存檔。您知道自己在做什麼，是吧？	
$SAVE_SLOT_DELETE_TITLE	刪除存檔	
$SAVE_SLOT_EXPORT	匯出存檔	
$SAVE_SLOT_EXPORT_TEXT	將存檔備份為一個簡單的文字檔。	
$SAVE_SLOT_EXPORT_TITLE	匯出存檔到文件	
$SAVE_SLOT_IMPORT	導入存檔	
$SAVE_SLOT_IMPORT_TEXT	流覽您的電腦來查找可使用的《守護者冒險》的存檔。	
$SAVE_SLOT_IMPORT_TITLE	從文件中導入存檔	
$SAVE_SLOT_NEW_GAME	新遊戲	
$SAVE_SLOT_NEW_GAME_PLUS	新遊戲+	
$SAVE_SLOT_NEW_GAME_PLUS_TEXT	開始一段更有挑戰性的新冒險，同時保留你所有的經驗，技能和裝備。新遊戲+包含新的敵人類型，新的支線任務，更強大的裝備，以及大大擴展的日誌。<N><N>注意：您的原創遊戲和新遊戲+之間共用進度。你可以隨時往返於它們之間而不丟失任何東西。	
$SAVE_SLOT_NEW_GAME_PLUS_TITLE	開始新遊戲+	
$SAVE_SLOT_PLAY	開始遊戲	
$SAVE_SLOT_PLAY_PLUS	開始遊戲+	
$SAVE_SLOT_PLAY_PLUS_TEXT	您的原創遊戲和新遊戲+之間共用進度。你可以隨時往返於它們之間而不丟失任何東西。	
$SAVE_SLOT_PLAY_PLUS_TITLE	繼續新遊戲+	
$SKILL_DESC_ADDS_CHANCE_TO_ALL	所有攻擊增加<PERCENT>%<EXTRA>幾率的<FLAV>* 。	
$SKILL_DESC_ADDS_CHANCE_TO_ONE	<LQ><ATTACK><RQ> 增加<PERCENT>%<EXTRA>幾率的<FLAV>* 。	
$SKILL_DESC_ADDS_TO_ALL	所有攻擊增加<FLAV>* 。	
$SKILL_DESC_ADDS_TO_ONE	<LQ><ATTACK><RQ> 增加<FLAV>* 。	
$SKILL_DESC_COOLDOWN	冷卻	
$SKILL_DESC_DMG	傷害	
$SKILL_DESC_EFFECT	效果	
$SKILL_DESC_HEAL	治療	
$SKILL_DESC_HITS	命中	
$SKILL_DESC_HITS_NUM	# 命中	
$SKILL_DESC_PSI_COST	能量消耗	
$SKILL_DESC_SPECIAL	特殊	
$SKILL_DESC_SPLASH	濺射	
$SKILL_DESC_TARGET	目標	
$SKILL_DESC_TOTAL_BONUS	<STAT>*<N>的屬性加成變成 +<AMOUNT><EXTRA>。	
$SPECIAL_IMPROVES	提高 <FLAVOR>：	
$SPECIAL_PLUS_FLAV	增加 <FLAVOR>：	
$SPECIAL_SAVE_VS	如果生命值 >= <PERCENT>%，保存為 <FLAVOR>	
$STAT_DESC_ARMOR	護甲<N>吸收的傷害量。	
$STAT_DESC_ARMOR_ENEMY	護甲<N>吸收的傷害量。	
$STAT_DESC_ATTACK	攻擊<N>造成更多的傷害。	
$STAT_DESC_ATTACK_ENEMY	攻擊<N>敵人的最佳攻擊造成的傷害。	
$STAT_DESC_BARRIER	屏障<N>免受傷害的保護層。只有非常強大的魔法才能破壞它。	
$STAT_DESC_DEFENSE	防禦<N>吸收的傷害量。	
$STAT_DESC_DEFENSE_ENEMY	護甲<N>吸收的傷害量。	
$STAT_DESC_EVADE	閃避<N>閃避敵人攻擊的幾率。	
$STAT_DESC_EVADE_ENEMY	閃避<N>閃避攻擊的幾率。	
$STAT_DESC_FINAL_HIT	最後一擊<N>當敵人抵達終點時， <FINAL_HIT_TARGET> 受到的傷害量。	
$STAT_DESC_HP	生命值<N>當生命值降為0時，你將被淘汰出局。	
$STAT_DESC_PHASING	瞬移<N>定期移出移入；在瞬移離開時，無法被當作目標或者擊中。<N>圖案是方格(進，出)。	
$STAT_DESC_RANGE	範圍<N>攻擊範圍的大小。	
$STAT_DESC_RANGE_ENEMY	範圍<N>攻擊範圍的大小。	
$STAT_DESC_REGEN	生命恢復<N>生命值恢復的速度，單位：生命值/秒。	
$STAT_DESC_REGEN_ENEMY	生命恢復<N>生命值恢復的速度，單位：生命值/秒。	
$STAT_DESC_SPAWN	怪物刷新：<N>	
$STAT_DESC_SPEED	速度<N>攻擊速度：<N>每 <SPEED_SHOW_MULT> 點速度加快攻擊速度1x	
$STAT_DESC_SPEED_ENEMY	速度<N>敵人的移動速度和攻擊速度。1 點= 每秒 1方格	
$STAT_DESC_SPELLS	法術	
$STAT_DESC_STRONGS	強項	
$STAT_DESC_THORNS	荊棘傷害<N>對近戰單位造成的傷害量。	
$STAT_DESC_WEAKS	弱點	
$STAT_DESC_XP	經驗<N>	
$STATE_CRASH_DETAILS	細節：	
$STATE_CRASH_PROMPT	你想要做什麼？	
$STATE_CRASH_SEND	發送報告<N>給開發人員	
$STATE_CRASH_SHOW_DUMP	顯示崩潰<N>轉存檔	
$STATE_CRASH_TITLE	嚴重錯誤！	
$STATUS_DESC_ANONYMOUS	+<PERCENT>% 閃避率。	
$STATUS_DESC_BLEED	承受 +<PERCENT>% 傷害。	
$STATUS_DESC_BLINDED	攻擊有 <PERCENT>% 幾率不命中。	
$STATUS_DESC_BURN	<AMT_1DIG> 傷害/秒。 冰凍可以清除該狀態。	
$STATUS_DESC_CHILL	-<PERCENT>% 速度。 燃燒可以清除該狀態。	
$STATUS_DESC_DARK	<PERCENT>% 幾率閃避非範圍攻擊。	
$STATUS_DESC_DARK_FRENZY	<RE>$STATUS_DESC_FRENZY	
$STATUS_DESC_DISEASE	生命恢復減少 <PERCENT>%	
$STATUS_DESC_EVER_BLEED	<RE>$STATUS_DESC_BLEED	
$STATUS_DESC_EVER_POISON	<INTI> 傷害/秒。	
$STATUS_DESC_FB_BORED	不會妨礙移動。	
$STATUS_DESC_FB_EXISTENTIAL	-<PERCENT>% 速度， +<PERCENT>% 傷害抵抗。	
$STATUS_DESC_FB_HAPPY	+<PERCENT>% 速度。	
$STATUS_DESC_FB_LOL	+<PERCENT>% 速度。	
$STATUS_DESC_FB_OMG	+<PERCENT>% 速度， -<PERCENT>% 傷害抵抗。	
$STATUS_DESC_FB_SAD	-<PERCENT>% 速度。	
$STATUS_DESC_FIRE		
$STATUS_DESC_FREEZE	無法移動。 燃燒可以清除該狀態。	
$STATUS_DESC_FRENZY	加速 <PERCENT>%	COMMENT: Status descriptions have LOTS of variables. Ask Lars is you have any questions.
$STATUS_DESC_INSPIRE	<RE>$STATUS_DESC_INSPIRED	
$STATUS_DESC_INSPIRED	攻擊造成的傷害 +<M_MULT_PERCENT>% 。	
$STATUS_DESC_INSPIRED_HIT	<RE>$STATUS_DESC_INSPIRED	
$STATUS_DESC_LIGHT	驅散黑暗。	
$STATUS_DESC_POISON	<INTI> 傷害/秒，持續 <TIME> 秒	
$STATUS_DESC_SINGLE_STUN	無法移動，只能被施加一次。	
$STATUS_DESC_SLOW	-<PERCENT>% 速度。	
$STATUS_DESC_STUN	無法移動。	
$STATUS_DESC_TROLL	<PERCENT> % 幾率閃避攻擊。	
$STATUS_TIME_FOREVER	永久存在。	
$STATUS_TIME_LEFT	剩餘 <TIME_LEFT>/<TIME> 秒。	
$STRONG_DMG_MULT	對陣<FLAVOR>時，抵抗<PERCENT>% 傷害	
$STRONG_EVADE	<PERCENT>% 閃避 <FLAVOR>	
$TALK_ASH	死灰難民	
$TALK_CULTIST	邪教牧師	
$TALK_NOMAD	遊牧難民	
$TALK_QUAID	奎德難民	
$TARGET_BOSS_TEXT	如果不選擇，會無視首領級敵人	
$TARGET_BOSS_TITLE	攻擊首領	
$TARGET_BOTH_TEXT	根據強化等級使用技能	
$TARGET_BOTH_TITLE	普通優先順序	
$TARGET_BULLDOG_TEXT	不改變攻擊目標，直到敵人離開攻擊範圍或死亡。<N><N>比較難掌握，僅建議高手玩家使用！	
$TARGET_BULLDOG_TITLE	惡犬模式	
$TARGET_CHANCE_TEXT	攻擊那些最不擅長閃避攻擊或者抵抗攻擊的敵人。	
$TARGET_CHANCE_TITLE	最佳時機	
$TARGET_CHEAP_TEXT	把高級技能留給那些難以殺死的目標。	
$TARGET_CHEAP_TITLE	消耗最低的技能	
$TARGET_EFFECT_TEXT	使用狀態效果攻擊受到影響最少的敵人。	
$TARGET_EFFECT_TITLE	最佳效果	
$TARGET_FAST_TEXT	攻擊移動最快的敵人。	
$TARGET_FAST_TITLE	攻擊最快的	
$TARGET_FIGHT_TEXT	優先攻擊，即使更強大的治療技能已經準備好。	
$TARGET_FIGHT_TITLE	戰鬥優先順序	
$TARGET_FIRST_TEXT	攻擊離終點最近的敵人。	
$TARGET_FIRST_TITLE	攻擊最前面的敵人	
$TARGET_HEAL_TEXT	優先治療，即使更強大的攻擊技能已經準備好。	
$TARGET_HEAL_TITLE	治療優先順序	
$TARGET_LAST_TEXT	攻擊離終點最遠的敵人。	
$TARGET_LAST_TITLE	攻擊最後面的敵人	
$TARGET_SAVE_TEXT	將當前的攻擊優先順序設置為此人物的默認設置。	
$TARGET_SAVE_TITLE	保存設置	
$TARGET_SPECIFIC_TEXT	手動選擇一個特定的敵人進行攻擊，忽略所有其他敵人。	
$TARGET_SPECIFIC_TITLE	特定目標	
$TARGET_STRONG_TEXT	攻擊生命值最高、護甲最高的敵人。	
$TARGET_STRONG_TITLE	攻擊最強大的敵人	
$TARGET_WEAK_TEXT	攻擊生命值最低、護甲最低的敵人。	
$TARGET_WEAK_TITLE		
$TIP_00_TEXT	<N><N>有時候，可以選擇玩一下早期的關卡，來提升等級，獲得金錢，並且購買更好的裝備。你也可以選擇簡單難度來降低關卡的挑戰性。	
$TIP_00_TITLE	遇到困難了？	
$TIP_10_TEXT	你可以使用鍵盤控制遊戲！<N><N>- 選擇法術<N>- 選擇召喚的人物<N>- 強化/召回守護者<N>- 暫停/繼續遊戲<N>- 迴圈召喚守護者<N>- 更改目標/速度選項<N>- Tab流覽介面<N>- 移動滑鼠/點擊鍵盤<N><N>(在選擇功能表自訂按鍵)	
$TIP_10_TITLE	熱鍵	
$TIP_100_TEXT	召回已召喚的守護者可以回收當時消耗的能源中的一部分。<N><N>守護者受傷時，回收的能源也會減少。	
$TIP_100_TITLE	召回	
$TIP_110_TEXT	如果您有障礙，請在選項功能表中查看以下內容：<N><N> 1）視頻 - 全屏遊戲, 提升圖像<N> 2）控制 - 更改所有控制<N> 3)協助工具 - 開關效果，遊戲速度，經驗加成	
$TIP_110C_TEXT	如果您有障礙，請在選項功能表中查看以下內容：<N><N> 1）控制 - 更改所有控制<N> 2)協助工具 - 開關效果，遊戲速度，經驗加成	
$TIP_110_TITLE	協助工具	
$TIP_120_TEXT	這個提示是內置的，所以沒有人去嘗試分析代碼和破解謎題。	
$TIP_120_TITLE	公益廣告	
$TIP_130_TEXT	如果你點擊守護者，你可以設置它們的攻擊偏好，例如是前面，後面，強壯，虛弱和快速的敵人。使用它們來優化你的攻擊。舉例說“強壯”可以讓你集中攻擊大型的敵人，或削弱一整群人。	
$TIP_130_TITLE	攻擊選項	
$TIP_140_TEXT	除基本攻擊選項外，還有四個可選設置：<N><N>1）消耗最低的技能 <N>2）優化效果 <N>3）最佳時機 <N>4）惡犬模式<N><N>這些不是必選項，但可以説明高級玩家將戰鬥策略提升到最大化，你甚至能為指定人物保存預設目標選項！	
$TIP_140_TITLE	高級攻擊選項	
$TIP_150_TEXT	冰與火彼此不容。寒冷和冰凍會清除火焰，火焰會融化冰凍，也會清除寒冷效果。	
$TIP_150_TITLE	冰與火之歌	
$TIP_160_TEXT	最好不要立即嘗試“高級”和“極限”難度。<N><N>在普通難度下進行一些戰鬥後，再向高難度進軍吧。	
$TIP_160_TITLE	更高難度	
$TIP_170_TEXT	當你為英雄人物購買新裝備以後，可以把就裝備給其它的隊伍成員使用。	
$TIP_170_TITLE	裝備	
$TIP_180_TEXT	將守護者靠近在一起，可以使敵人的攻擊更分散，從而使每個人都更容易生存。<N><N>該策略的缺點是，你的防守覆蓋範圍就減小了。	
$TIP_180_TITLE	團結就是力量	
$TIP_190_TEXT	如果你想調整遊戲的升級速度，你可以在選項功能表中改變全域經驗加成。<N><N>默認設置是100%。<N><N>你也可以關閉經驗加成。	
$TIP_190_TITLE	獎勵加成	
$TIP_20_TEXT	每個防守者升級時，會獲得1個技能點。<N><N>在隊伍功能表分配這些點數，可以解鎖新技能。<N><N>1）技能（圓形）- 戰鬥中使用的攻擊技能<N>2）特性（方形）- 被動技能，永久生效的能力。<N><N>更多高級技能需要在戰鬥中使用強化來解鎖。	
$TIP_20_TITLE	技能	
$TIP_200_TEXT	有時，某個特別技能能讓你脫離困境（例如你的神龍火球能把冰融化），或者你僅僅打算保存強大的攻擊，供以後使用。在這種情況下，你可以點擊守護者，然後點擊右下角功能表中的技能，來暫時關閉它。	
$TIP_200_TITLE	關閉技能	
$TIP_210_TEXT	在保存功能表，有一個帶有資料夾和軟碟圖片的按鈕。<N><N>你可以在這裡知道保存的遊戲和設定檔存儲在什麼位置。	
$TIP_210_TITLE	我的存檔在哪？	
$TIP_220_TEXT	通關常規遊戲後，你可以帶領你原有的隊伍開始一段新冒險，挑戰更高難度的戰鬥，並獲得瘋狂的獎勵！<N><N>前往保存介面，在你的舊存檔上，選擇新遊戲+。	
$TIP_220_TITLE	新遊戲+	
$TIP_230_TEXT	在新遊戲+模式，你可以獲得特別的神器，並用它們來升級你在常規遊戲中獲得的獨特裝備。升級後的物品將有特殊力量！	
$TIP_230_TITLE	升級	
$TIP_240_TEXT	一旦你獲得足夠的星星後，你就可以解鎖額外戰鬥。這些特別任務包含額外的挑戰和獎勵。	
$TIP_240_TITLE	額外任務	
$TIP_250_TEXT	閃電法術有“能量燃燒”的效果，每次都會燃燒敵人的一部分能量獎勵。例如法術對敵人造成40%的傷害，那敵人40%的普通能源獎勵將會被扣除。	
$TIP_250_TITLE	能量燃燒？	
$TIP_260_TEXT	你知道嗎，在遊戲中你可以製作自己的MOD（修改）。<N><N>在保存遊戲介面，點擊扳手按鈕，你幾乎可以修改任何東西 - 狀態，等級，職業，人物，過場動畫，圖像，物品等等。	
$TIP_260_TITLE	支持Mod	
$TIP_270_TEXT	<N><N>給媽媽打個電話吧，她很想念你。	
$TIP_270_TITLE	想念母親	
$TIP_30_TEXT	<N><N>戰鬥過後，如果最終人物活下來，並且被召喚了，那她們都會得到相同的經驗。<N><N>此外的人，獲得一半經驗。不論有多少人，每人分得的經驗數都是相同的。<N><N>你可以在協助工具功能表更改該懲罰。	
$TIP_30_TITLE	誰得到了經驗？	
$TIP_40_TEXT	你能通過點擊和拖動滑鼠，滾動世界地圖，或者通過操作鍵盤流覽。<N><N>滾動默認映射到方向鍵。	
$TIP_40_TITLE	主世界	
$TIP_50_TEXT	通常你可以通過召回守護者來收回一部分當初消耗的能量。<N><N>如果你在第一波敵人出現前召回守護者，你可以獲得所有消耗的能量。	
$TIP_50_TITLE	召回獲得100%能量	
$TIP_60_TEXT	如果你有任何問題，可以加入《守護者冒險》線上社區！網址www.defendersquest.com<N><N>我們有一個論壇，你可以在那裡提出任何問題，我們也有合作的wiki，和開發博客。	
$TIP_60_TITLE	網站和論壇	
$TIP_70_TEXT	在戰鬥時，你可以使用鍵盤放置守護者。<N><N>預設按鍵是方向鍵。	
$TIP_70_TITLE	放置守護者	
$TIP_80_TEXT	跳動數字的顏色表示傷害類型，白色代表普通，灰色會被護甲減少的，紅色是流血，橙色是火焰，紫色是毒素，大數字代表暴擊。<N><N>你可以在“遊戲設置”介面選擇打開或關閉。	
$TIP_80_TITLE	戰鬥效果	
$TIP_90_TEXT	你在高難度遊戲時，你偶爾會找到獨特道具。它們威力強大，而且無法在商店出售。	
$TIP_90_TITLE	特殊道具	
$TITLE_BONUS_GOODIES	額外獎勵	
$TITLE_BONUS_GOODIES_2	秘密？	
$TITLE_CONNECTING_KONG	連接到 KONG……	
$TITLE_EULA_1	在遊戲前，你需要先同意我們的	
$TITLE_EULA_2	使用者授權合約	
$TITLE_FULL_GAME	完整遊戲	
$TITLE_OPTIONS	選項	
$TITLE_PLEASE_WAIT	<RE>$MISC_PLEASE_WAIT	
$TITLE_QUIT	退出	
$TITLE_RELOAD_MOD	重載Mod	
$TITLE_START	開始	
$TITLE_START_DEMO	開始試玩	
$TITLE_START_GAME	開始遊戲	
$TITLE_UNLOAD_MOD	上傳Mod	
$TOOLTIP_ADVANCED	最難的挑戰，最多的報酬。<N><N>當你足夠強大的時候來挑戰吧。	
$TOOLTIP_CASUAL	在容易模式，敵人的生命值和攻擊傷害會被減少。	
$TOOLTIP_CHANGE_PATH_1	注意：	
$TOOLTIP_CHANGE_PATH_2	你的舊檔不會自動轉移到新位置。<N><N>它們仍然會在原來的目錄。	
$TOOLTIP_EXTREME	最難的挑戰，最多的報酬。<N><N>做好準備！	
$TOOLTIP_NORMAL	普通挑戰。<N><N>大部分玩家應該從這裡開始。	
$TYPE_ARMOR	護甲	
$TYPE_ATTACKER	攻擊者	
$TYPE_BOSS	Boss	
$TYPE_CULTIST	邪教徒	
$TYPE_DARK	黑暗	
$TYPE_EXALTED	高尚的	
$TYPE_FAST	快速	
$TYPE_NO_END_DAMAGE	無限傷害	
$TYPE_NORMAL	普通挑戰。<N><N>大部分玩家應該從這裡開始。	
$TYPE_NUKE_ON_KILL	NukeOnKill	
$TYPE_REVENANT	亡靈	
$TYPE_SHEEP	速度	
$TYPE_SNAIL	移動遲緩	
$TYPE_SPITTER	噴吐者	
$TYPE_SPLITTER	切割者	
$TYPE_STATIONARY	靜止	
$TYPE_TELEPORTER	傳送點	
$TYPE_WATER	水	
$TYPE_WORM	蠕蟲	
$UI_ACCEPT_NUMS	font:18,off_y:1,off_x:-3	
$UI_ACCESS_ABSENCE	缺少	
$UI_ACCESS_DEFAULT	*默認設置	
$UI_ACCESS_FAIL	失敗	
$UI_ACCESS_FAILURE_PENALTY	失敗懲罰	
$UI_ACCESS_FLASHING	閃光效果	
$UI_ACCESS_NUMS	font:18,off_y:1,off_x:-2,show_boxes:1,absence_off_x:0,speed_off_x:0	
$UI_ACCESS_PENALTIES	懲罰	
$UI_ACCESS_REWARDS	獎勵	
$UI_ACCESS_SEE_ALSO	參見：	
$UI_ACCESS_SPEED	遊戲速度	
$UI_ACCESS_TITLE	協助工具	
$UI_ACHIEVE_CATEGORIES	目錄	
$UI_ACHIEVE_COMPLETION	完成	
$UI_ACHIEVE_EASY	簡單	
$UI_ACHIEVE_HARD	困難	
$UI_ACHIEVE_IMPOSSIBLE	毫無機會	
$UI_ACHIEVE_MEDIUM	中等	
$UI_ACHIEVE_POP_UP	彈出通知	
$UI_ACHIEVE_TRAINER	訓練師	
$UI_ACHIEVEMENTS_BUTTON_NUMBERS	font:18,offy:-2	
$UI_ACHIEVEMENTS_NUMS	font:18,off_y:0,pop_up_off_y:0	
$UI_ACHIEVEMENTS_TITLE	成就	
$UI_ALL_FILES	所有檔	
$UI_AUDIO_NUMS	font:18,off_y:1,off_x:-2	
$UI_AUDIO_TITLE	音訊	
$UI_BACK_NUMS	font:18,off_y:1,off_x:-3	
$UI_BATTLE_CASH_OUT	兌現	
$UI_BATTLE_CASH_OUT_TEXT	是否立刻結束戰鬥並且結算現在獲得的獎勵？	
$UI_BATTLE_CASH_OUT?	兌現？	
$UI_BATTLE_MORE	更多	
$UI_BATTLE_NEXT	繼續	
$UI_BATTLE_SEND_NEXT	派遣<N>下一波	
$UI_BATTLE_WAVE	波	
$UI_BATTLE_WAVES	波	
$UI_BONUS_BLUE_STARS_LINE	<STAR_NUM> 藍星	
$UI_BONUS_BONUS_LEVELS	獎勵關卡	
$UI_BONUS_GOLD_STARS_LINE	<STAR_NUM> 金星	
$UI_BONUS_STARS_LINE	<STAR_NUM> <STAR_COLOR>星	
$UI_CLOUD_UNKNOWN	雲存檔	
$UI_CLOUD_UNKNOWN_TEXT	<N>是否啟用Steam雲存檔？	
$UI_CLOUD_UNKNOWN_TEXT_2	您可以隨時在以下位置更改此設置<N>選項：其他	
$UI_CONFLICT_BACKUP	備份檔案:<N><LOC>	
$UI_CONFLICT_BETTER	我們認為這個更好	
$UI_CONFLICT_BUTTON	使用這個	
$UI_CONFLICT_CLOUD	雲	
$UI_CONFLICT_LOCAL	電腦	
$UI_CONFLICT_CONSOLE	視頻游戲機	
$UI_CONFLICT_MSG	我們不確定哪個應該進入<SLOT>插槽。<N>請選擇你需要保留的。	
$UI_CONFLICT_NGP	新遊戲+	
$UI_CONFLICT_TITLE	雲存檔發生衝突！	
$UI_CONTROLS_ACCEL	加速	
$UI_CONTROLS_ACCEPT	接受	
$UI_CONTROLS_ACCEPT_SELECT	接受/選擇	
$UI_CONTROLS_AUTO	自動檢測	
$UI_CONTROLS_BACK	返回	
$UI_CONTROLS_BACK_CANCEL	返回/取消	
$UI_CONTROLS_BOOST	強化	
$UI_CONTROLS_CANCEL	取消	
$UI_CONTROLS_CHARACTER	人物	
$UI_CONTROLS_CLASS	職業	
$UI_CONTROLS_CLICK	點擊	
$UI_CONTROLS_CURSOR	游標	
$UI_CONTROLS_CYCLE	迴圈<N>守護者	
$UI_CONTROLS_CYCLE_NUMS	off_x:-5,off_y:0	
$UI_CONTROLS_DEVICE	操作工具	
$UI_CONTROLS_FAST	快速	
$UI_CONTROLS_GAMEPAD	手柄	
$UI_CONTROLS_GAMEPAD_MODEL	模型	
$UI_CONTROLS_GAMEPAD_ICONS	圖示	
$UI_CONTROLS_GAMEPAD_ACTION_SET	操作集	
$UI_CONTROLS_KEYBOARD	滑鼠和鍵盤	
$UI_CONTROLS_STEAM_CONTROLLER	Steam手柄	
$UI_CONTROLS_LOGITECH	羅技	
$UI_CONTROLS_MENU	菜單	
$UI_CONTROLS_MENU_ALT	菜單2	
$UI_CONTROLS_MINUS_PLUS_SPEED	-/+<N>速度	
$UI_CONTROLS_MINUS_SPEED	- 速度	
$UI_CONTROLS_MOVE_CURSOR	移動滑鼠	
$UI_CONTROLS_NAVIGATE_MENU	導航菜單	
$UI_CONTROLS_NONE	沒有	
$UI_CONTROLS_NORMAL	普通	
$UI_CONTROLS_NUMS	font:18,off_y:1,off_x:-2	
$UI_CONTROLS_OUYA	Ouya	
$UI_CONTROLS_PAUSE	暫停	
$UI_CONTROLS_PLUS_SPEED	+ 速度	
$UI_CONTROLS_POINTER	指針	
$UI_CONTROLS_PRESET_AZERTY	Azerty	
$UI_CONTROLS_PRESET_COLEMAK	Colemak	
$UI_CONTROLS_PRESET_CUSTOM	習慣	
$UI_CONTROLS_PRESET_DEFAULT	默認	
$UI_CONTROLS_PRESET_DVORAK	Dvorak	
$UI_CONTROLS_PRESET_LEFTY	左撇子	
$UI_CONTROLS_PRESET_PS	PlayStation	
$UI_CONTROLS_PRESET_PSJ	日語	
$UI_CONTROLS_PRESET_QWERTY	傳統鍵盤	
$UI_CONTROLS_PRESET_QWERTZ	Qwertz	
$UI_CONTROLS_PRESET_WIIU	WiiU默認設定	
$UI_CONTROLS_PRESET_XBOX	Xbox默認設定	
$UI_CONTROLS_PRESETS	預設	
$UI_CONTROLS_PS3	Playstation 3	
$UI_CONTROLS_PS4	Playstation 4	
$UI_CONTROLS_PSVITA	Playstation Vita	
$UI_CONTROLS_RECALL	召回	
$UI_CONTROLS_SCROLL	滾動地圖，<N>放置守護者	
$UI_CONTROLS_SEE_ALSO	參見：	
$UI_CONTROLS_SELECT	選擇	
$UI_CONTROLS_SLOW	緩慢	
$UI_CONTROLS_SLOWEST	最慢	
$UI_CONTROLS_SPEED	速度	
$UI_CONTROLS_SPELL	法術	
$UI_CONTROLS_TAB_NAV	Tab<N>導航	
$UI_CONTROLS_TARGET	目標攻擊	
$UI_CONTROLS_TITLE	控制	
$UI_CONTROLS_VIRTUAL_MOUSE	虛擬滑鼠	
$UI_CONTROLS_XBOX1	Xbox One	
$UI_CONTROLS_XBOX360	Xbox 360	
$UI_CONTROLS_XINPUT	Xinput	
$UI_CONTROLS_STEAM_CONTROLLER_CONFIG	安裝	
$UI_CONTROLS_STEAM_CONTROLLER_CONFIG_FAIL_TITLE	Steam錯誤！	
$UI_CONTROLS_STEAM_CONTROLLER_CONFIG_FAIL_TEXT	無法打開配置介面：Steam是否在全屏模式下運行，或Steam是否處於疊加工作狀態？	
$UI_DEFENDER_BOOST	強化：<PSI> 能量	
$UI_DEFENDER_BOOST_MAX	一鍵強化	
