flag	content	comment
$ACTIONS_BATTLE_BACK	<RE>$BATTLE_BACK
$MISC_PARTY	Группа
$MISC_PASS	пройдено
$MISC_PAUSE	пауза
$MISC_PERFECT	идеально
$MISC_PERFECT!	идеально!
$MISC_PERFECT_BONUS	Бонус за идеал:
$MISC_PHASES	периоды
$MISC_PLEASE_ENTER_A_NAME!	<N>Пожалуйста, введите имя!
$MISC_PLEASE_WAIT	Пожалуйста, подождите...
$MISC_PLUS_X%_TO_ARMOR_MULT	<PLUS_OR_MINUS><X> к ARMOR_MULT
$MISC_PLUS_X%_TO_DEFENSE_MULT	<PLUS_OR_MINUS><X>% к ЗАЩИТЕ
$MISC_PLUS_X%_TO_DODGE	<PLUS_OR_MINUS><X> к УКЛОНЕНИЮ
$MISC_PLUS_X%_TO_EVADE	<RE>$MISC_PLUS_X%_TO_DODGE
$MISC_PLUS_X%_TO_REGEN_MULT	<PLUS_OR_MINUS><X>% к РЕГЕНЕРАЦИИ
$MISC_PLUS_X_STAT	<PLUS><X> <STAT>
$MISC_PLUS_X_TO_ARMOR_ABS	<PLUS_OR_MINUS><X> к БРОНЕ
$MISC_PLUS_X_TO_ATTACK	<PLUS_OR_MINUS><X> к АТАКЕ
$MISC_PLUS_X_TO_ATTACK_SPEED	<PLUS_OR_MINUS><X> к СКОРОСТИ
$MISC_PLUS_X_TO_DEFENSE_ABS	<PLUS_OR_MINUS><X> к ЗАЩИТЕ
$MISC_PLUS_X_TO_HP	<PLUS_OR_MINUS><X> к ЗДОРОВЬЮ
$MISC_PLUS_X_TO_RANGE	<PLUS_OR_MINUS><X> к ДАЛЬНОСТИ
$MISC_PLUS_X_TO_REGEN_ABS	<PLUS_OR_MINUS><X> к РЕГЕНЕРАЦИИ
$MISC_PORCUPINE	шипы
$MISC_PREV	предыдущий
$MISC_PREVIOUS	Назад
$MISC_PROBLEM?	проблема?
$MISC_PSI	пси
$MISC_PSI_SHORT	пси
$MISC_QUIT	оставить
$MISC_QUIT	выйти
$MISC_QUIT_BATTLE	Покинуть битву
$MISC_RANDOM	случайно
$MISC_RANGE	радиус
$MISC_RANGE_SHORT	РАДИУС
$MISC_RECRUIT	Нанять
$MISC_REFUSE	отказать
$MISC_REGEN	регенерация
$MISC_REGEN_LONG	регенерация
$MISC_REGEN_SHORT	регенерация
$MISC_RESET	Сброс
$MISC_RESIST	сопротивление <SOMETHING>
$MISC_RESIST_X	сопротивление <X>%
$MISC_RESTART	Начать заново
$MISC_RESTORE_DEFAULTS	Сбросить настройки
$MISC_REWARD	Награда:
$MISC_SAVE_DATA	Папка с сохранениями
$MISC_SAVE_ERROR_TEXT	Ошибка автосохранения, проверьте разрешения файла.<N>Попробуем позже.
$MISC_SAVE_ERROR_TITLE	Ошибка автосохранения!
$MISC_SAVE_FIXED_TEXT	Автосохранение прошло успешно, похоже, что проблема устранена.<Н>Всё в порядке.
$MISC_SAVE_FIXED_TITLE	Автосохранение работает!
$MISC_SAVED	сохранено
$MISC_SAVED!	Сохранено!
$MISC_SCRAP	Бабосы
$MISC_SECOND	секунда
$MISC_SECOND_SHORT	сек
$MISC_SECONDS	секунд
$MISC_SECONDS_SHORT	секунд
$MISC_SELECT	Выбор
$MISC_SELECT_CHALLENGE	Выберите испытание:
$MISC_SELL	продать
$MISC_SEND_NEXT	СЛЕДУЮЩАЯ
$MISC_SKILL	навык
$MISC_SKILLS	навыки
$MISC_SKILLTREE_BOOST_NUMS	font:11,x_off:0,y_off:2,linebreak:0
$MISC_SKILLTREE_SKILL_NUMS	font:13,x_off:-2,y_off:0
$MISC_SKILLTREE_TITLE_NUMS	font:11,x_off:0,y_off:3
$MISC_SKIP	Пропуск
$MISC_SLOT	слот
$MISC_SLOW	медленно
$MISC_SPAWNS	порождает
$MISC_SPECIAL	особые свойства
$MISC_SPEED	скорость
$MISC_SPEED_SHORT	СКОРОСТЬ
$MISC_SPELL	Заклинание
$MISC_SPLASH_DAMAGE	Брызги
$MISC_SPLASH_LINE	<AMT> урон, <TILES> клетках
$MISC_STATS	АТРИБУТЫ
$MISC_STATUS	статус
$MISC_STRANGER	незнакомец
$MISC_STRENGTHS	мощь
$MISC_SWIMS	плавает
$MISC_TALK	Диалог
$MISC_THORNS	шипы
$MISC_THRESHOLD	лимит
$MISC_TIPS	Советы
$MISC_TITLE_SAFE_TEXT	Двигайте аналоговые стики, пока не будут видны все стрелки.
$MISC_TO	к
$MISC_TOWN	Поселение
$MISC_TRY_AGAIN	Повторить
$MISC_TYPES	Типы
$MISC_UNDO	Отмена
$MISC_UNDO_ALL	отменить все
$MISC_UNEQUIP	снять
$MISC_UNIQUE	уникальная
$MISC_UNKNOWN	неизвестно
$MISC_UNSAVED	не сохранено
$MISC_UP_TO_X_FOES	До <NUM> <FOE>
$MISC_UP_TO_X_FRIENDS	До <NUM> <FRIEND>
$MISC_UPGRADE	купить
$MISC_VERSUS	против
$MISC_VICTORY	Победа
$MISC_VS	против
$MISC_WAIT	ЖДИ
$MISC_WALKS_ON	ходит по
$MISC_WARNING	Внимание!
$MISC_WAVE_X	Волна <X>
$MISC_WAVES	Волн
$MISC_WEAKNESSES	слабость
$MISC_WEAPON	<RE>$MISC_WEAPONS
$MISC_WEAPONS	оружие
$MISC_WEAPON_SINGULAR	оружие
$MISC_WEAPON_PLURAL	<RE>$MISC_WEAPONS
$MISC_ACCESSORY	аксессуар
$MISC_ACCESSORIES	аксессуары
$MISC_ACCESSORY_SINGULAR	<RE>$MISC_ACCESSORY
$MISC_ACCESSORY_PLURAL	<RE>$MISC_ACCESSORIES
$MISC_X_FOES	<NUM> врагов
$MISC_X_FRIENDS	<NUM> друзей
$MISC_X_HITS_FOE	<NUM> на врага
$MISC_X_HITS_FRIEND	<NUM> для каждого друга
$MISC_X_HITS_TARGET	<NUM> для каждой цели
$MISC_X_HITS_TOTAL	<NUM> всего
$MISC_X_MORE	<X> еще...
$MISC_X_PSI	<X> ПСИ
$MISC_XP	Опыт
$MISC_XP_TT_TEXT	Количество очков опыта, которое вы получите после битвы.<N><RE>[$MISC_ADJUST_REWARDS]
$MISC_XP_TT_TITLE	Опыт
$MISC_YES	Да
$MISC_YOU_SURE	Вы уверены?
$NEW_GAME_PLUS_NOTE	Перейдите на экран сохранений и выберите 'Новая игра+' на вашем старом сохранении.
$OUYA_A	Кнопка O
$OUYA_B	Кнопка A
$OUYA_BACK	<RE>$GAMEPAD_BACK
$OUYA_DPAD	<RE>$GAMEPAD_DPAD
$OUYA_DPAD_DOWN	<RE>$GAMEPAD_DPAD_DOWN
$OUYA_DPAD_LEFT	<RE>$GAMEPAD_DPAD_LEFT
$OUYA_DPAD_RIGHT	<RE>$GAMEPAD_DPAD_RIGHT
$OUYA_DPAD_UP	<RE>$GAMEPAD_DPAD_UP
$OUYA_EMPTY	<RE>$GAMEPAD_EMPTY
$OUYA_LEFT_ANALOG_STICK	<RE>$GAMEPAD_LEFT_ANALOG_STICK
$OUYA_LEFT_ANALOG_STICK_X_MINUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_X_MINUS
$OUYA_LEFT_ANALOG_STICK_X_PLUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_X_PLUS
$OUYA_LEFT_ANALOG_STICK_Y_MINUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_Y_MINUS
$OUYA_LEFT_ANALOG_STICK_Y_PLUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_Y_PLUS
$OUYA_LEFT_SHOULDER	<RE>$PS4_LEFT_SHOULDER
$OUYA_LEFT_STICK_CLICK	<RE>$GAMEPAD_LEFT_STICK_CLICK
$OUYA_LEFT_TRIGGER	<RE>$PS4_LEFT_TRIGGER
$OUYA_RIGHT_ANALOG_STICK	<RE>$GAMEPAD_RIGHT_ANALOG_STICK
$OUYA_RIGHT_ANALOG_STICK_X_MINUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_X_MINUS
$OUYA_RIGHT_ANALOG_STICK_X_PLUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_X_PLUS
$OUYA_RIGHT_ANALOG_STICK_Y_MINUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_Y_MINUS
$OUYA_RIGHT_ANALOG_STICK_Y_PLUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_Y_PLUS
$OUYA_RIGHT_SHOULDER	<RE>$PS4_RIGHT_SHOULDER
$OUYA_RIGHT_STICK_CLICK	<RE>$GAMEPAD_RIGHT_STICK_CLICK
$OUYA_RIGHT_TRIGGER	<RE>$PS4_RIGHT_TRIGGER
$OUYA_START	<RE>$GAMEPAD_START
$OUYA_X	Кнопка U
$OUYA_Y	Кнопка Y
$PARTY_1_NEW_ACHIEVE	1 новое достижение!
$PARTY_ACHIEVE_PLURAL	достижения
$PARTY_ACHIEVE_SINGULAR	достижение
$PARTY_ATTACK	Атака:<T><T>
$PARTY_CANT_ARMOR	Без<N>БРОНИ
$PARTY_CANT_WEAPON	Без<N>ОРУЖИЯ
$PARTY_CHANGE_NAME	Переименовать
$PARTY_CHANGE_NAME_NUMS	font:12,off_x:0,off_y:0,leading:0
$PARTY_CHARACTER	персонаж
$PARTY_CHARACTERS	персонажи
$PARTY_CLASS_NAME_NUMS	font:13,x_off:-25,y_off:0
$PARTY_CONFIRM_CHANGES	Подтвердить изменения
$PARTY_CONFIRM_POINTS_1_1	Навсегда распределить 1 очко навыков одному персонажу?	Комментарий: имеется 4 варианта развития способностей.
$PARTY_CONFIRM_POINTS_1_X	Навсегда распределить 1 очко навыков <CHARS> персонажам?
$PARTY_CONFIRM_POINTS_TITLE	Подтвердить распределение
$PARTY_CONFIRM_POINTS_X_1	Навсегда распределить <POINTS> очков навыков 1 персонажу?
$PARTY_CONFIRM_POINTS_X_X	Навсегда распределить <POINTS> очков навыков <CHARS> персонажам?
$PARTY_DEFEATED_WAVE_X	Победил волн <X>
$PARTY_DEFEND	Защита:<T>
$PARTY_EVADE	Уклонение:<T><T>
$PARTY_FAIL_PENALTY	Штраф за поражение
$PARTY_FAILED	Уровень провален!
$PARTY_FAILED_DESC	<MCG> убита.
$PARTY_FROM_BATTLE	С битвы
$PARTY_GO_TO_MAP	Перейти к карте
$PARTY_HP	Здоровье
$PARTY_NO_AFFORD	Вы не можете себе это позволить!<N>Цена: <COST><N>Бабосы: <SCRAP>
$PARTY_NO_NEW_ACHIEVE	Нет новых достижений.
$PARTY_NO_POINTS	Нет очков навыков для перераспределения!
$PARTY_PASSED	Уровень пройден!
$PARTY_PASSED_ALLY_DEAD_DESC	<ALLY> был убит,<N>но <MCG> выжила.
$PARTY_PASSED_DESC	<MCG> выжила в битве,<N>но получила травмы.
$PARTY_PASSED_WORD	Пройдено
$PARTY_PASSED+	Уровень пройден!+
$PARTY_PASSED+_DESC	<MCG> была ранена!<N><ALLY> выжил!
$PARTY_PASSED++	Уровень пройден!++
$PARTY_PASSED++_DESC	<MCG> была ранена!<N><ALLY> остался цел!
$PARTY_PERFECT	ИДЕАЛЬНО!
$PARTY_PERFECT_ALLY_DEAD_DESC	<MCG> осталась цела, но <ALLY> погиб.
$PARTY_PERFECT_DESC	<MCG> осталась цела!
$PARTY_PERFECT_WORD	Идеально
$PARTY_PERFECT+	ИДЕАЛЬНО!+
$PARTY_PERFECT+_DESC	<MCG> осталась цела!<N><ALLY> был ранен!
$PARTY_PERFECT++	ИДЕАЛЬНО!++
$PARTY_PERFECT++_DESC	<MCG> и <ALLY><N>остались целы!	Комментарий: игра подставит имя Зелемира, Тлетл-Мезтли или любого другого наемника вместо <ALLY>.
$PARTY_POINT	очко
$PARTY_POINTS	очки
$PARTY_PSI	ПСИ
$PARTY_RANGE	Радиус:<T>
$PARTY_RE_ASSIGN	Сбросить все умения <NAME>?<N>Цена: <COST><N>Бабосы: <SCRAP>
$PARTY_REACHED_WAVE_X	Достиг волны <X>
$PARTY_REDESIGN	Внешность
$PARTY_REDESIGN_NUMS	font:12,off_x:0,off_y:0,leading:0
$PARTY_REGEN	Регенерация:<T><T>
$PARTY_RENAME	Сменить имя
$PARTY_RESET_POINTS	Сброс ОН
$PARTY_RESET_POINTS_NUMS	font:12,off_x:0,off_y:0,leading:0
$PARTY_RETURN_TOWN	Вернуться в город
$PARTY_SPEED	Скорость:<T>
$PARTY_TOTAL	Всего
$PARTY_WELL_DONE	ОТЛИЧНО!
$PARTY_X_NEW_ACHIEVE	<NUM> новых достижения!
$PARTY_X_PTS	<X> очков
$PARTY_XP	ОПЫТ
$PS3_A	<RE>$PS4_A
$PS3_B	<RE>$PS4_B
$PS3_BACK	Кнопка Select
$PS3_DPAD	<RE>$PS4_DPAD
$PS3_DPAD_DOWN	<RE>$PS4_DPAD_DOWN
$PS3_DPAD_LEFT	<RE>$PS4_DPAD_LEFT
$PS3_DPAD_RIGHT	<RE>$PS4_DPAD_RIGHT
$PS3_DPAD_UP	<RE>$PS4_DPAD_UP
$PS3_EMPTY	<RE>$PS4_EMPTY
$PS3_LEFT_ANALOG_STICK	<RE>$PS4_LEFT_ANALOG_STICK
$PS3_LEFT_ANALOG_STICK_X_MINUS	<RE>$PS4_LEFT_ANALOG_STICK_X_MINUS
$PS3_LEFT_ANALOG_STICK_X_PLUS	<RE>$PS4_LEFT_ANALOG_STICK_X_PLUS
$PS3_LEFT_ANALOG_STICK_Y_MINUS	<RE>$PS4_LEFT_ANALOG_STICK_Y_MINUS
$PS3_LEFT_ANALOG_STICK_Y_PLUS	<RE>$PS4_LEFT_ANALOG_STICK_Y_PLUS
$PS3_LEFT_SHOULDER	<RE>$PS4_LEFT_SHOULDER
$PS3_LEFT_STICK_CLICK	<RE>$GAMEPAD_LEFT_STICK_CLICK
$PS3_LEFT_TRIGGER	<RE>$PS4_LEFT_TRIGGER
$PS3_RIGHT_ANALOG_STICK	<RE>$PS4_RIGHT_ANALOG_STICK
$PS3_RIGHT_ANALOG_STICK_X_MINUS	<RE>$PS4_RIGHT_ANALOG_STICK_X_MINUS
$PS3_RIGHT_ANALOG_STICK_X_PLUS	<RE>$PS4_RIGHT_ANALOG_STICK_X_PLUS
$PS3_RIGHT_ANALOG_STICK_Y_MINUS	<RE>$PS4_RIGHT_ANALOG_STICK_Y_MINUS
$PS3_RIGHT_ANALOG_STICK_Y_PLUS	<RE>$PS4_RIGHT_ANALOG_STICK_Y_PLUS
$PS3_RIGHT_SHOULDER	<RE>$PS4_RIGHT_SHOULDER
$PS3_RIGHT_STICK_CLICK	<RE>$GAMEPAD_RIGHT_STICK_CLICK
$PS3_RIGHT_TRIGGER	<RE>$PS4_RIGHT_TRIGGER
$PS3_START	<RE>$GAMEPAD_START
$PS3_X	<RE>$PS4_X
$PS3_Y	<RE>$PS4_Y
$PS4_A	Кнопка X
$PS4_B	Кнопка Circle
$PS4_BACK	Кнопка Share
$PS4_DPAD	<RE>$GAMEPAD_DPAD
$PS4_DPAD_DOWN	<RE>$GAMEPAD_DPAD_DOWN
$PS4_DPAD_LEFT	<RE>$GAMEPAD_DPAD_LEFT
$PS4_DPAD_RIGHT	<RE>$GAMEPAD_DPAD_RIGHT
$PS4_DPAD_UP	<RE>$GAMEPAD_DPAD_UP
$PS4_EMPTY	<RE>$GAMEPAD_EMPTY
$PS4_LEFT_ANALOG_STICK	<RE>$GAMEPAD_LEFT_ANALOG_STICK
$PS4_LEFT_ANALOG_STICK_X_MINUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_X_MINUS
$PS4_LEFT_ANALOG_STICK_X_PLUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_X_PLUS
$PS4_LEFT_ANALOG_STICK_Y_MINUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_Y_MINUS
$PS4_LEFT_ANALOG_STICK_Y_PLUS	<RE>$GAMEPAD_LEFT_ANALOG_STICK_Y_PLUS
$PS4_LEFT_SHOULDER	Курок L1
$PS4_LEFT_STICK_CLICK	<RE>$GAMEPAD_LEFT_STICK_CLICK
$PS4_LEFT_TRIGGER	Триггер L2
$PS4_RIGHT_ANALOG_STICK	<RE>$GAMEPAD_RIGHT_ANALOG_STICK
$PS4_RIGHT_ANALOG_STICK_X_MINUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_X_MINUS
$PS4_RIGHT_ANALOG_STICK_X_PLUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_X_PLUS
$PS4_RIGHT_ANALOG_STICK_Y_MINUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_Y_MINUS
$PS4_RIGHT_ANALOG_STICK_Y_PLUS	<RE>$GAMEPAD_RIGHT_ANALOG_STICK_Y_PLUS
$PS4_RIGHT_SHOULDER	Курок R1
$PS4_RIGHT_STICK_CLICK	<RE>$GAMEPAD_RIGHT_STICK_CLICK
$PS4_RIGHT_TRIGGER	Триггер R2
$PS4_START	Кнопка Options
$PS4_X	Кнопка Square
$PS4_Y	Кнопка Triangle
$PSVITA_A	<RE>$PS4_A
$PSVITA_B	<RE>$PS4_B
$PSVITA_BACK	Кнопка Select
$PSVITA_DPAD	<RE>$PS4_DPAD
$PSVITA_DPAD_DOWN	<RE>$PS4_DPAD_DOWN
$PSVITA_DPAD_LEFT	<RE>$PS4_DPAD_LEFT
$PSVITA_DPAD_RIGHT	<RE>$PS4_DPAD_RIGHT
$PSVITA_DPAD_UP	<RE>$PS4_DPAD_UP
$PSVITA_EMPTY	<RE>$PS4_EMPTY
$PSVITA_LEFT_ANALOG_STICK	<RE>$PS4_LEFT_ANALOG_STICK
$PSVITA_LEFT_ANALOG_STICK_X_MINUS	<RE>$PS4_LEFT_ANALOG_STICK_X_MINUS
$PSVITA_LEFT_ANALOG_STICK_X_PLUS	<RE>$PS4_LEFT_ANALOG_STICK_X_PLUS
$PSVITA_LEFT_ANALOG_STICK_Y_MINUS	<RE>$PS4_LEFT_ANALOG_STICK_Y_MINUS
$PSVITA_LEFT_ANALOG_STICK_Y_PLUS	<RE>$PS4_LEFT_ANALOG_STICK_Y_PLUS
$PSVITA_LEFT_SHOULDER	<RE>$PS4_LEFT_SHOULDER
$PSVITA_LEFT_STICK_CLICK	<RE>$GAMEPAD_LEFT_STICK_CLICK
$PSVITA_LEFT_TRIGGER	<RE>$PS4_LEFT_TRIGGER
$PSVITA_RIGHT_ANALOG_STICK	<RE>$PS4_RIGHT_ANALOG_STICK
$PSVITA_RIGHT_ANALOG_STICK_X_MINUS	<RE>$PS4_RIGHT_ANALOG_STICK_X_MINUS
$PSVITA_RIGHT_ANALOG_STICK_X_PLUS	<RE>$PS4_RIGHT_ANALOG_STICK_X_PLUS
$PSVITA_RIGHT_ANALOG_STICK_Y_MINUS	<RE>$PS4_RIGHT_ANALOG_STICK_Y_MINUS
$PSVITA_RIGHT_ANALOG_STICK_Y_PLUS	<RE>$PS4_RIGHT_ANALOG_STICK_Y_PLUS
$PSVITA_RIGHT_SHOULDER	<RE>$PS4_RIGHT_SHOULDER
$PSVITA_RIGHT_STICK_CLICK	<RE>$GAMEPAD_RIGHT_STICK_CLICK
$PSVITA_RIGHT_TRIGGER	<RE>$PS4_RIGHT_TRIGGER
$PSVITA_START	<RE>$GAMEPAD_START
$PSVITA_X	<RE>$PS4_X
$PSVITA_Y	<RE>$PS4_Y
$REWARD_FINISH	Конец игры
$REWARD_GOLD	+ <GOLD> БАБОСОВ
$REWARD_NEXT_LEVEL	Следующий уровень
$REWARD_NO_GOLD	Ничего!
$REWARD_NO_XP	Ничего!
$REWARD_QUEST	Квест завершен
$REWARD_XP	+ <XP> ОПЫТА
$RQ	”
$SAVE_SLOT_DELETE	Удалить
$SAVE_SLOT_DELETE_TEXT	Полностью удалить этот слот сохранения с компьютера. Вы ведь знаете, что вы делаете, не так ли?
$SAVE_SLOT_DELETE_TITLE	Удалить сохранение
$SAVE_SLOT_EXPORT	Экспорт
$SAVE_SLOT_EXPORT_TEXT	Резервное копирование вашего сохранения в простой текстовый файл.
$SAVE_SLOT_EXPORT_TITLE	Экспорт сохранения
$SAVE_SLOT_IMPORT	Импорт
$SAVE_SLOT_IMPORT_TEXT	Искать на вашем компьютере файлы сохранения для Defender's Quest.
$SAVE_SLOT_IMPORT_TITLE	Импорт сохранения
$SAVE_SLOT_NEW_GAME	Новая игра
$SAVE_SLOT_NEW_GAME_PLUS	Новая игра +
$SAVE_SLOT_NEW_GAME_PLUS_TEXT	Начать новую игру с более сложными заданиями, при этом сохраняется весь опыт, навыки и снаряжение. Новая игра+ предлагает новые типы врагов, новые побочные квесты, более мощное снаряжение и значительно расширенный журнал. <N><N>Примечание: Ваш прогресс распространяется и на оригинальную игру и на новую игру+. Вы можете свободно переключаться между ними в любой момент, ничего не теряя.
$SAVE_SLOT_NEW_GAME_PLUS_TITLE	Начать Новую игру+
$SAVE_SLOT_PLAY	Играть
$SAVE_SLOT_PLAY_PLUS	Играть+
$SAVE_SLOT_PLAY_PLUS_TEXT	Ваш прогресс распространяется и на оригинальную игру и на новую игру+. Вы можете свободно переключаться между ними в любой момент, ничего не теряя.
$SAVE_SLOT_PLAY_PLUS_TITLE	Продолжить Новую игру+
$SKILL_DESC_ADDS_CHANCE_TO_ALL	Добавляет <PERCENT>%<EXTRA> шанс на <FLAV>* для всех типов атак.
$SKILL_DESC_ADDS_CHANCE_TO_ONE	Добавляет <PERCENT>%<EXTRA> шанс на <FLAV>* для атаки <LQ><ATTACK><RQ>.
$SKILL_DESC_ADDS_TO_ALL	Добавляет <FLAV>* для всех типов атак.
$SKILL_DESC_ADDS_TO_ONE	Добавляет <FLAV>* для атаки <LQ><ATTACK><RQ>.
$SKILL_DESC_COOLDOWN	Ожидание
$SKILL_DESC_DMG	Урон
$SKILL_DESC_EFFECT	эффект
$SKILL_DESC_HEAL	Лечение
$SKILL_DESC_HITS	Удары
$SKILL_DESC_HITS_NUM	# Ударов
$SKILL_DESC_PSI_COST	Расход пси
$SKILL_DESC_SPECIAL	
$SKILL_DESC_SPLASH	Брызги
$SKILL_DESC_TARGET	Цель
$SKILL_DESC_TOTAL_BONUS	Общий бонус к <STAT>* станет +<AMOUNT><EXTRA>.
$SOFT_KEYBOARD_BACKSPACE	Возврат
$SOFT_KEYBOARD_CLEAR	Очистить
$SOFT_KEYBOARD_SPACE	Пробел
$SPECIAL_IMPROVES	Улучшает <FLAVOR>:
$SPECIAL_PLUS_FLAV	Добавляет <FLAVOR>:
$SPECIAL_SAVE_VS	Спасает против <FLAVOR> если ЗДОРОВЬЕ >= <PERCENT>%
$STAT_DESC_ARMOR	БРОНЯ<N>Количество поглощенного урона.
$STAT_DESC_ARMOR_ENEMY	БРОНЯ<N>Количество поглощенного урона.
$STAT_DESC_ATTACK	АТАКА<N>Позволяет техникам наносить больше урона.
$STAT_DESC_ATTACK_ENEMY	АТАКА<N>Урон лучшей атаки противника.
$STAT_DESC_BARRIER	БАРЬЕР<N>Слои, защищающие от повреждений. Только невероятно мощная магия может пробить их.
$STAT_DESC_DEFENSE	ЗАЩИТА<N>Количество поглощаемого урона.
$STAT_DESC_DEFENSE_ENEMY	БРОНЯ<N>Количество поглощаемого урона.
$STAT_DESC_EVADE	Шанс избежать атаки противника.
$STAT_DESC_EVADE_ENEMY	Шанс избежать атаки.
$STAT_DESC_FINAL_HIT	УЩЕРБ<N>Сколько урона <FINAL_HIT_TARGET> получает, если враг дойдет до конца.
$STAT_DESC_HP	ЗДОРОВЬЕ<N>Если оно достигнет 0, то персонаж покинет поле боя.
$STAT_DESC_PHASING	ПЕРИОДИЧНОСТЬ<N>Периодическое появление и скрытие. Нельзя выбрать или ударить по скрытому объекту.
$STAT_DESC_RANGE	РАДИУС<N>Радиус атаки.
$STAT_DESC_RANGE_ENEMY	РАДИУС<N>Радиус атаки.
$STAT_DESC_REGEN	РЕГЕНЕРАЦИЯ<N>Скорость восстановления ЗДОРОВЬЯ в ЗД/сек.
$STAT_DESC_REGEN_ENEMY	РЕГЕНЕРАЦИЯ<N>Скорость восстановления ЗДОРОВЬЯ  в ЗД/сек.
$STAT_DESC_SPAWN	ПОРОЖДАЕТ:<N>
$STAT_DESC_SPEED	СКОРОСТЬ<N>Время ожидания атак:<N>Каждые <SPEED_SHOW_MULT> очков уменьшают время ожидания на 1x
$STAT_DESC_SPEED_ENEMY	СКОРОСТЬ<N>Насколько быстро противник атакует и передвигается. 1 очко = 1 клетка в секунду.
$STAT_DESC_SPELLS	ЗАКЛИНАНИЯ
$STAT_DESC_STRONGS	ПРЕИМУЩЕСТВА
$STAT_DESC_THORNS	ШИПЫ<N>Наносят мощный урон проходящим по ним врагам.
$STAT_DESC_WEAKS	НЕДОСТАТКИ
$STAT_DESC_XP	ОПЫТ<N>
$STATE_CRASH_DETAILS	Детали:
$STATE_CRASH_PROMPT	Что бы вы хотели сделать?
$STATE_CRASH_SEND	Отправить отчет<N>разработчикам
$STATE_CRASH_SHOW_DUMP	Показать<N>файлы дампа
$STATE_CRASH_TITLE	Критическая ошибка!
$STATUS_DESC_ANONYMOUS	<PLUS><PERCENT>% к шансу увернуться.
$STATUS_DESC_BLEED	Получает <PLUS><PERCENT>% УРОНА
$STATUS_DESC_BLINDED	Промахивается <PERCENT>% времени.
$STATUS_DESC_BURN	<AMT_1DIG> УРОНА/сек<N>Отменяется  льдом.
$STATUS_DESC_CHILL	<MINUS><PERCENT>% скорость.<N>Отменяется огнем.
$STATUS_DESC_DARK	Уворачивается от одиночных атак <PERCENT>% времени.
$STATUS_DESC_DARK_FRENZY	<RE>$STATUS_DESC_FRENZY
$STATUS_DESC_DISEASE	Регенерация сокращается на <PERCENT>%
$STATUS_DESC_EVER_BLEED	<RE>$STATUS_DESC_BLEED
$STATUS_DESC_EVER_POISON	<INTI> УРОНА/сек.
$STATUS_DESC_FB_BORED	Заскучал и не двигается.
$STATUS_DESC_EXISTENTIAL	<MINUS><PERCENT>% скорость, +<PERCENT>% сопротивления урону.
$STATUS_DESC_FB_HAPPY	<PLUS><PERCENT>% скорость.
$STATUS_DESC_FB_LOL	<PLUS><PERCENT>% скорость.
$STATUS_DESC_FB_OMG	<PLUS><PERCENT>% скорость, -<PERCENT>% сопротивление урону.
$STATUS_DESC_FB_SAD	<MINUS><PERCENT>% скорость.
$STATUS_DESC_FIRE	<RE>$STATUS_DESC_BURN
$STATUS_DESC_FREEZE	Не может двигаться.<N>Отменяется огнем.
$STATUS_DESC_FRENZY	Ускоряется на <PERCENT>%
$STATUS_DESC_INSPIRE	<RE>$STATUS_DESC_INSPIRED
$STATUS_DESC_INSPIRED	Атака наносит +<M_MULT_PERCENT>% УРОНА.
$STATUS_DESC_INSPIRED_HIT	<RE>$STATUS_DESC_INSPIRED
$STATUS_DESC_LIGHT	Снимает темноту.
$STATUS_DESC_POISON	<INTI> УРОНА/сек в течение <TIME> сек
$STATUS_DESC_SINGLE_STUN	Не может двигаться. Можно применить один раз за бой
$STATUS_DESC_SLOW	<MINUS><PERCENT>% скорость.
$STATUS_DESC_STUN	Не может двигаться.
$STATUS_DESC_TROLL	Уворачивается от атак <PERCENT>% времени.
$STATUS_TIME_FOREVER	Длится вечно.
$STATUS_TIME_LEFT	<TIME_LEFT>/<TIME> до конца.
$STRONG_DMG_MULT	<PERCENT>% сопротивление УРОНУ от <FLAVOR>
$STRONG_EVADE	<PERCENT>% уклонение <FLAVOR>
$TALK_ASH	БЕЖЕНЕЦ ЭША
$TALK_CULTIST	ЖРЕЦ-СЕКТАНТ
$TALK_NOMAD	БЕЖЕНЕЦ КОЧЕВНИКОВ
$TALK_QUAID	БЕЖЕНЕЦ КУЭЙДА
$TARGET_BOSS_TEXT	Если не нажата, то персонаж игнорирует вражеских боссов.
$TARGET_BOSS_TITLE	Цель - БОСС
$TARGET_BOTH_TEXT	Персонаж использует техники согласно уровню повышения.
