flag	content	comment
$TITLE_START_DEMO	Lancer la DÉMO
$UI_MOD_ZIP_FAIL	Échec de l'assemblage !
$UI_MOD_ZIP_FAIL_TEXT	Une erreur s'est produite au cours de la compression des fichiers.
$UI_MOD_STEAM_UPLOAD	Transfert sur Steam...
$UI_MOD_STEAM_WAIT	En attente de la réponse de Steam...<N>(un peu de patience peut être nécessaire)
$UI_MOD_STEAM_SEND	Envoi à Steam
$UI_MOD_SHARED	Partagé
$UI_MOD_SUBSCRIBED	Abonné
$UI_MOD_ZIP_STEAM_FAIL	Échec du transfert !
$UI_MOD_ZIP_STEAM_FAIL_TEXT	Impossible de transmettre le Mod<N>au Steam Workshop.
$UI_MOD_ZIP_STEAM_FINISH	Transfert terminé
$UI_MOD_ZIP_STEAM_FINISH_TEXT	Le Mod a bien été transmis<N>au Steam Workshop.
$UI_MOD_UPDATE_STEAM_FINISH	Mise à jour terminée
$UI_MOD_UPDATE_STEAM_FINISH_TEXT	Le Mod a bien été mis à jour<N>sur le Steam Workshop.
$UI_MOD_ZIPPING	Assemblage des fichiers du Mod
$UI_MOD_MISSING_SUBSCRIBE	Abonnements souscrits
$UI_MOD_MISSING_SUBSCRIBE_TEXT	Souhaitez-vous télécharger :<N><NUM> fichier(s) d'abonnement(s) du Worskhop ?
$UI_MOD_DOWNLOAD	Téléchargement du Mod
$UI_MOD_DOWNLOAD_TEXT",,<N>"$UI_MOD_LATER	Plus tard
$UI_EQUIP_WHO_WILL	Qui va équiper :
$UI_EQUIP_CANT_SELL_UNIQUE	Impossible de vendre les objets uniques !
$UI_EQUIP_SELL_OLD_WEAPON_FOR	Vendre cette vieille arme pour <SELL_PRICE> Camelote ?
$UI_EQUIP_SELL_OLD_ARMOR_FOR	Vendre cette vieille armure pour <SELL_PRICE> Camelote ?
$UI_RECRUIT_CLASS_FULL	CLASSE PLEINE
$UI_RECRUIT_BERSERKER_NUMS	font:14,x_off:0,y_off:0
$UI_RECRUIT_RANGER_NUMS	font:14,x_off:0,y_off:0
$UI_RECRUIT_KNIGHT_NUMS	font:14,x_off:0,y_off:0
$UI_RECRUIT_MAGE_NUMS	font:10,x_off:0,y_off:-10
$UI_RECRUIT_HEALER_NUMS	font:14,x_off:0,y_off:0
$UI_RECRUIT_DRAGON_NUMS	font:14,x_off:0,y_off:0
$UI_REWARD_BOX_ENEMY_LEVELS_NUMS	y_off:-5
$UI_REWARD_BOX_COMPLETE_NUMS	x_off:5
$UI_REWARD_BOX_PERFECT_NUMS	x_off:5
$UI_BATTLE_MORE	PLUS
$UI_BATTLE_SEND_NEXT	Suivant
$UI_BATTLE_NEXT	SUIVANT
$UI_BATTLE_WAVES	Vagues
$UI_BATTLE_WAVE	Vague
$UI_BATTLE_CASH_OUT	Encaisser
$UI_BATTLE_CASH_OUT?	Encaisser ?
$UI_BATTLE_CASH_OUT_TEXT	Terminer la bataille maintenant et obtenir les récompenses que vous avez gagnées ?
$FB_LIKE_US_TEXT	Aimez-nous sur Facebook et<N>recevez GRATUITEMENT ce cadeau !
$FB_LIKE_US_YES	OK !
$FB_LIKE_US_NO	Ha ha ha. Non.
$FB_THANKS_TEXT	Merci pour votre j'aime sur Facebook !<N>Vous avez déjà reçu votre cadeau !
$FB_THANKS_OK	OK
$FB_THANKS_SUCKS	Facebook, ça craint
$FB_REBEL_TEXT	Bien dit ! À mort le système !<N>Acceptez ce cadeau à la place.
$FB_SECOND_PITCH	Vous pourrez encore obtenir ceci<N>en nous aimant sur Facebook !
$FB_SECOND_PITCH_YES	OK !
$FB_SECOND_PITCH_NO	Jamais !
$FB_HARD_SELL_TEXT	En êtes-vous vraiment certain ?<N>Regardez ! Oooouh, ça brille !
$FB_HARD_SELL_YES	Bon... OK...
$FB_HARD_SELL_NO	J'ai dit JAMAIS !
$FB_PERSISTENT_TEXT	OK, vous avez gagné...<N>On vous l'offre quand même :)
$FB_PERSISTENT_OK	La victoire est à moi !
$FB_THIS_ITEM_WILL_NOW	Cet objet apparaîtra désormais systématiquement dans l'inventaire de votre personnage.
$BOOK_PSI_TAX	Taxe PSI :
$BOOK_COST_MULT	Coût du sort x
$BOOK_COOL_MULT	Temps de recharge du sort x
$STATUS_DESC_FB_HAPPY	Vitesse +<PERCENT>%.	COMMENT: Status descriptions have LOTS of variables. Ask Lars is you have any questions.
$STATUS_DESC_FB_SAD	Vitesse -<PERCENT>%.
$STATUS_DESC_FB_BORED	N'a pas envie de bouger.
$STATUS_DESC_FB_LOL	Vitesse +<PERCENT>%.
$STATUS_DESC_FB_OMG	Vitesse +<PERCENT>%, résistance DGT -<PERCENT>%.
$STATUS_DESC_TROLL	Esquive <PERCENT>% des attaques.
$STATUS_DESC_ANONYMOUS	<PLUS><PERCENT>% de chances d'esquiver.	
$STATUS_DESC_DARK	Esquive <PERCENT>% des attaques ciblées.
$STATUS_DESC_LIGHT	Supprime le voile de ténèbres.
$STATUS_DESC_FRENZY	Vitesse +<PERCENT>%
$STATUS_DESC_BLINDED	Rate <PERCENT>% de ses attaques
$STATUS_DESC_BLEED	Dégâts reçus +<PERCENT>%.
$STATUS_DESC_EVER_POISON	<INTI> DGT/sec.
$STATUS_DESC_DISEASE	Régénération -<PERCENT>%
$STATUS_DESC_POISON	<INTI> DGT/sec pendant <TIME> sec
$STATUS_DESC_SINGLE_STUN	Ne peut plus bouger. Ne peut être infligé qu'une seule fois.
$STATUS_DESC_STUN	Ne peut plus bouger.
$STATUS_DESC_BURN	<AMT_1DIG> DGT/sec<N>Annulé par la glace.
$STATUS_DESC_INSPIRED	Dégâts +<M_MULT_PERCENT>%.
$STATUS_DESC_FREEZE	Ne peut plus bouger.<N>Annulé par le feu.
$STATUS_DESC_CHILL	Vitesse -<PERCENT>%.<N>Annulé par le feu.
$STATUS_DESC_SLOW	Vitesse -<PERCENT>%.
$STATUS_TIME_LEFT	<TIME_LEFT>/<TIME> secondes restantes.
$STATUS_TIME_FOREVER	Perpétuel.
$FLAV_DESC_LIGHT	Les ennemis NOIRS subissent +<AMT_2DIG>x<EXTRA> DGT et sont plus faciles à toucher pendant <TIME><EXTRA_TIME> sec.
$FLAV_DESC_LIGHT_SHORT	Les ennemis NOIRS subissent plus de dégâts et sont plus faciles à toucher.
$FLAV_DESC_BLINDED	Les attaques ennemies ratent <PERCENT>% <EXTRA> du temps pendant <TIME><EXTRA_TIME> sec.
$FLAV_DESC_BLINDED_SHORT	La précision des attaques ennemies est réduite pendant quelques secondes.
$FLAV_DESC_CONFUSED	Les ennemis marchent à reculons pendant <TIME><EXTRA_TIME> sec.
$FLAV_DESC_CONFUSED_SHORT	Les ennemis marchent à reculons pendant quelques secondes.
$FLAV_DESC_BLEED	Les attaques infligent <PERCENT>%<EXTRA> de dégâts en plus aux ennemis pendant <TIME><EXTRA_TIME> sec.
$FLAV_DESC_BLEED_SHORT	Augmente temporairement les dégâts infligés aux ennemis.
$FLAV_DESC_KNOCK_BACK	L'ennemi est repoussé en arrière de <AMT_1DIG><EXTRA> cases.
$FLAV_DESC_KNOCK_BACK_SHORT	L'ennemi est repoussé en arrière de quelques cases.
$FLAV_DESC_DISEASE	Réduit de <PERCENT>%<EXTRA> la régénération des ennemis.
$FLAV_DESC_DISEASE_SHORT	Réduit la régénération des ennemis.
$FLAV_DESC_POISON	<PERCENT>%<EXTRA> des dégâts de l'attaque sont infligés à l'ennemi toutes les secondes pendant <TIME><EXTRA_TIME> sec.
$FLAV_DESC_POISON_DIRECT	<AMTDMG><EXTRA> dégâts infligés par seconde à l'ennemi pendant <TIME><EXTRA_TIME> sec.
$FLAV_DESC_POISON_SHORT	Des dégâts sont infligés régulièrement à l'ennemi pendant quelques secondes.
$FLAV_DESC_SINGLE_STUN	L'ennemi ne peut plus bouger pendant <TIME><EXTRA_TIME> sec. Ne peut être infligé qu'une seule fois.
$FLAV_DESC_SINGLE_STUN_SHORT	L'ennemi ne peut plus bouger pendant quelques secondes. Ne peut être infligé qu'une seule fois.
$FLAV_DESC_STUN	L'ennemi ne peut plus bouger pendant <TIME><EXTRA_TIME> sec.
$FLAV_DESC_STUN_SHORT	L'ennemi ne peut temporairement plus bouger.
$FLAV_DESC_AUTO_KILL	Les ennemis ayant moins de <PERCENT>%<EXTRA> de Santé meurent automatiquement.
$FLAV_DESC_AUTO_KILL_SHORT	Les ennemis suffisamment affaiblis meurent automatiquement.
$FLAV_DESC_BURN	<AMTDMG><EXTRA> dégâts infligés par seconde à l'ennemi pendant <TIME><EXTRA_TIME> sec. Annulé par la glace.
$FLAV_DESC_BURN_SHORT	Des dégâts sont infligés régulièrement à l'ennemi pendant quelques secondes. Annulé par la glace.
$FLAV_DESC_INSPIRE	Augmente de <M_MULT_PERCENT>%<EXTRA> les dégâts infligés par les alliés pendant <TIME><EXTRA_TIME> sec.
$FLAV_DESC_INSPIRE_SHORT	Les alliés infligent temporairement plus de dégâts.
$FLAV_DESC_FREEZE	L'ennemi ne peut plus bouger pendant <TIME><EXTRA_TIME> sec. Annulé par le feu.
$FLAV_DESC_FREEZE_SHORT	L'ennemi ne peut temporairement plus bouger. Annulé par le feu.
$FLAV_DESC_ARMOR_PIERCE_DIRECT	L'attaque ignore <AMTDMG><EXTRA> points d'armure.
$FLAV_DESC_ARMOR_PIERCE_AMT_LESS_1	Ignore 1 point d'armure tous les <INV_AMOUNT><EXTRA> points de DGT de l'attaque.
$FLAV_DESC_ARMOR_PIERCE_AMT_GRTR_1	Ignore <AMT_1DIG><EXTRA> points d'armure pour chaque point de DGT de l'attaque.
$FLAV_DESC_ARMOR_PIERCE_SHORT	L'attaque ignore un certain nombre de points d'armure.
$FLAV_DESC_ARMOR_BREAK_DIRECT	L'attaque détruit <AMTDMG><EXTRA> points d'armure.
$FLAV_DESC_ARMOR_BREAK_AMT_LESS_1	Détruit 1 point d'armure tous les <INV_AMOUNT><EXTRA> points de DGT de l'attaque.
$FLAV_DESC_ARMOR_BREAK_AMT_GRTR_1	Détruit <AMT_2DIG><EXTRA> points d'armure pour chaque point de DGT de l'attaque.
$FLAV_DESC_ARMOR_BREAK_SHORT	L'attaque détruit un certain nombre de points d'armure.
$FLAV_DESC_CHILL	Ralentit l'ennemi de <PERCENT>%<EXTRA> pendant <TIME><EXTRA_TIME> sec. Annulé par le feu.
$FLAV_DESC_CHILL_SHORT	L'ennemi est ralenti pendant quelques secondes. Annulé par le feu.
$FLAV_DESC_SLOW	Ralentit l'ennemi de <PERCENT>%<EXTRA> pendant <TIME><EXTRA_TIME> sec.
$FLAV_DESC_SLOW_SHORT	L'ennemi est temporairement ralenti.
$FLAV_DESC_STRIKE_THROUGH	L'attaque peut toucher jusqu'à <INTI><EXTRA> ennemis.
$FLAV_DESC_STRIKE_THROUGH_SHORT	L'attaque peut toucher plusieurs ennemis.
$FLAV_DESC_CRITICAL	Dégâts = <AMT_1DIG>x<EXTRA> la normale.
$FLAV_DESC_CRITICAL_SHORT	Augmente les dégâts.
$STAT_DESC_HP	SANTÉ<N>Si elle tombe à 0, le personnage est mis hors combat.
$STAT_DESC_SPEED	VITESSE<N>Temps entre les attaques :<N>La vitesse est augmentée de 1x tous les <SPEED_SHOW_MULT> points.
$STAT_DESC_SPEED_ENEMY	VITESSE<N>La vitesse à laquelle un ennemi se déplace et attaque. 1 point = 1 case par seconde.
$STAT_DESC_ATTACK	ATTAQUE<N>Permet aux techniques d'infliger plus de dégâts.
$STAT_DESC_ATTACK_ENEMY	ATTAQUE<N>Les dégâts infligés par la meilleure attaque de l'ennemi.
$STAT_DESC_DEFENSE	DÉFENSE<N>La quantité de dégâts absorbée.
$STAT_DESC_DEFENSE_ENEMY	ARMURE<N>La quantité de dégâts absorbée.
$STAT_DESC_STRONGS	FORCES
$STAT_DESC_WEAKS	FAIBLESSES
$STAT_DESC_REGEN	RÉGÉNÉRATION<N>La vitesse à laquelle le personnage récupère de la Santé, en points/sec.
$STAT_DESC_REGEN_ENEMY	RÉGÉNÉRATION<N>La vitesse à laquelle l'ennemi récupère de la Santé, en points/sec.
$STAT_DESC_EVADE	ESQUIVE<N>Les chances d'éviter les attaques ennemies.
$STAT_DESC_EVADE_ENEMY	ESQUIVE<N>Les chances d'éviter les attaques.
$STAT_DESC_RANGE	PORTÉE<N>Le rayon d'attaque.
$STAT_DESC_RANGE_ENEMY	PORTÉE<N>Le rayon d'attaque.
$STAT_DESC_SPELLS	SORTS
$STAT_DESC_PHASING	DÉPHASAGE<N>Phase et déphase périodiquement. Ne peut être ciblé ou touché lorsque déphasé.<N>Le schéma correspond aux cases (phase, déphase).
$STAT_DESC_BARRIER	BARRIÈRE<N>Une protection efficace contre tous les dégâts. Seule une magie extrêmement puissante est capable de la lever.
$STAT_DESC_FINAL_HIT	COUP FINAL<N>Combien de dégâts <FINAL_HIT_TARGET> recevra lorsque l'ennemi atteindra la fin.
$STRONG_DMG_MULT	<PERCENT>% résistance DGT contre <FLAVOR>
$STRONG_EVADE	<PERCENT>% d'esquive <FLAVOR>
$SKILL_DESC_PSI_COST	Coût en Psi
$SKILL_DESC_COOLDOWN	Recharge
$SKILL_DESC_EFFECT	Effet
$SKILL_DESC_TARGET	Cible
$SKILL_DESC_HITS	Coups
$SKILL_DESC_HITS_NUM	Coups
$SKILL_DESC_SPECIAL",,<N>"$SKILL_DESC_SPLASH	Explosion
$SKILL_DESC_DMG	Dgt
$SKILL_DESC_ADDS_CHANCE_TO_ALL	Ajoute <PERCENT>%<EXTRA> de chances d'infliger <FLAV>* avec toutes les attaques.
$SKILL_DESC_ADDS_CHANCE_TO_ONE	Ajoute <PERCENT>%<EXTRA> de chances d'infliger <FLAV>* avec <LQ><ATTACK><RQ>.
$SKILL_DESC_ADDS_TO_ALL	Ajoute <FLAV>* à toutes les attaques.
$SKILL_DESC_ADDS_TO_ONE	Ajoute <FLAV>* à <LQ><ATTACK><RQ>.
$SKILL_DESC_TOTAL_BONUS	Bonus de stat :<N><STAT>* +<AMOUNT><EXTRA>.
$MISC_FOE_SINGULAR	ennemi
$MISC_FOE_PLURAL	ennemis
$MISC_FRIEND_SINGULAR	allié
$MISC_FRIEND_PLURAL	alliés
$MISC_1_FOE	1 ennemi
$MISC_X_FOES	<NUM> ennemis
$MISC_1_FRIEND	1 allié
$MISC_X_FRIENDS	<NUM> alliés
$MISC_ALL_FOES	Tous les ennemis à portée
$MISC_ALL_FOES_IN	Tous les ennemis dans un<?N>rayon de <TILES> cases
$MISC_ALL_FRIENDS	Tous les alliés à portée
$MISC_ALL_FRIENDS_IN	Tous les alliés dans un<?N>rayon de <TILES> cases
$MISC_ALL_TARGETS	Cibles à portée
$MISC_ALL_TARGETS_IN	Toutes les cibles dans un<?N>rayon de <TILES> cases
$MISC_X_HITS_FOE	<NUM> par ennemi
$MISC_X_HITS_FRIEND	<NUM> par allié
$MISC_X_HITS_TARGET	<NUM> par cible
$MISC_X_HITS_TOTAL	<NUM> au total
$MISC_UP_TO_X_FRIENDS	Jusqu'à <NUM> <FRIEND>
$MISC_UP_TO_X_FOES	Jusqu'à <NUM> <FOE>
$MISC_SPLASH_DAMAGE	Explosion
$MISC_SPLASH_LINE	<AMT> dgt, <TILES> cases
$MISC_SPLASH_TILES	cases
$MISC_SAVED!	Sauvegardé !
$MISC_MISS	raté
$MISC_PROBLEM?	problème ?
$MISC_COUNTER	contre
$MISC_NOM!	MIAM !
$MISC_ACHIEVEMENT!	Succès !
$MISC_AWARD!	Prix
$BASE_ATTACK	Attaque de base
$BONUS_DEFENSE	Bonus de défense
$DECIMATE_BY	Décimer de <PERCENT>%
$EN_SPELL_FRENZY_DESC	Vitesse +<PERCENT> pendant <SEC> sec
$EN_SPELL_HEAL_DESC	Soins : <PERCENT> points de Santé
$EN_SPELL_DRAGON_FIRE_1_DESC	<DMG> DGT
$EN_SPELL_DRAGON_FIRE_2_DESC	<LOW>-<HIGH> DGT
$SPECIAL_IMPROVES	Améliore <FLAVOR> :
$SPECIAL_PLUS_FLAV	Ajoute <FLAVOR> :
$SPECIAL_SAVE_VS	Protège contre <FLAVOR> si Santé >= <PERCENT>%
$TARGET_FIRST_TITLE	Cibler PREMIER
$TARGET_FIRST_TEXT	Cible l'ennemi le plus proche de la fin.
$TARGET_LAST_TITLE	Cibler DERNIER
$TARGET_LAST_TEXT	Cible l'ennemi le plus éloigné de la fin.
$TARGET_STRONG_TITLE	Cibler PLUS FORT
$TARGET_STRONG_TEXT	Cible l'ennemi ayant le plus de Santé + Armure.
$TARGET_WEAK_TITLE	Cibler PLUS FAIBLE
$TARGET_WEAK_TEXT	Cible l'ennemi ayant le moins de Santé + Armure.
$TARGET_FAST_TITLE	Cibler PLUS RAPIDE
$TARGET_FAST_TEXT	Cible l'ennemi se déplaçant le plus vite.
$TARGET_HEAL_TITLE	Priorité aux SOINS
$TARGET_HEAL_TEXT	Soigne dès c'est possible, même si une meilleure technique d'attaque est prête.
$TARGET_FIGHT_TITLE	Priorité au COMBAT
$TARGET_FIGHT_TEXT	Attaque dès c'est possible, même si une meilleure technique de soins est prête.
$TARGET_BOTH_TITLE	Priorité normale
$TARGET_BOTH_TEXT	Utilise les techniques en fonction du niveau de Boost.
$TARGET_CHEAP_TITLE	Technique LA MOINS CHÈRE
$TARGET_CHEAP_TEXT	Garde les techniques de haut niveau de Boost pour les cibles qui ne peuvent pas être tuées avec une technique plus faible.
$TARGET_EFFECT_TITLE	Optimiser LES EFFETS
$TARGET_EFFECT_TEXT	Utilise les attaques à effets sur le statut contre l'ennemi le moins affecté.
$TARGET_BULLDOG_TITLE	Mode BULLDOG
$TARGET_BULLDOG_TEXT	Ne change jamais de cible tant que l'ennemi est à portée et qu'il est en vie.<N><N>Assez dangereux, recommandé uniquement pour les joueurs expérimentés !
$TARGET_CHANCE_TITLE	Meilleure CHANCE
$TARGET_CHANCE_TEXT	Cible l'ennemi le moins susceptible d'esquiver ou de résister à l'attaque.
$TARGET_BOSS_TITLE	Cibler le BOSS
$TARGET_BOSS_TEXT	Si désactivé, ignore les boss.
$TARGET_SAVE_TITLE	Sauvegarder la configuration
$TARGET_SAVE_TEXT	Fait de la configuration actuelle de ce personnage ses paramètres par défaut.
$CONFIRM_RES_CHANGE	Résolution modifiée.<N>Ça vous plaît ?<N><N>Retour à la précédente dans <SECONDS> secondes.
$CONFIRM_RESTART_TITLE	Recommencer la bataille ?
$CONFIRM_RESTART_TEXT	Vous perdrez toute l'expérience et la Camelote gagnées jusqu'ici.
$CONFIRM_QUIT_TITLE	Quitter la bataille ?
$CONFIRM_QUIT_TEXT	<RE>$CONFIRM_RESTART_TEXT
$MISC_LEADER	chef
$MISC_LEVEL	niveau
$MISC_LVLUP	NIVSUP
$MISC_LEVEL_UPX	NIVx SUP
$MISC_LEVEL_UP!	NIVEAU SUP !
$MISC_ANONYMOUS	anonyme
$MISC_LEVEL_SHORT	NIV
$PARTY_HP	SANTÉ
$PARTY_PSI	PSI
$PARTY_XP	EXP<T>
$PARTY_ATTACK	Attaque : <T>
$PARTY_RANGE	Portée : <T>
$PARTY_SPEED	Vitesse : <T>
$PARTY_DEFEND	Défense : <T>
$PARTY_EVADE	Esquive : <T>
$PARTY_REGEN	Régen : <T><T>
$MISC_HP	points de santé
$MISC_HP_SHORT	SANTÉ
$MISC_PSI	psi
$MISC_SPEED	vitesse
$MISC_SPEED_SHORT	VIT
$MISC_ATTACK	attaque
$MISC_ATTACK_SHORT	ATT
$MISC_ARMOR	armure
$MISC_ARMOR_SHORT	ARM
$MISC_EVADE	esquive
$MISC_EVADE_SHORT	ESQ
$MISC_EVASION	esquive
$MISC_DEFEND	défense
$MISC_DEFENSE	défense
$MISC_DEFENSE_SHORT	DÉF
$MISC_RANGE	portée
$MISC_RANGE_SHORT	POR
$MISC_REGEN_LONG	régénération
$MISC_REGEN	régen
$MISC_REGEN_SHORT	RGN
$MISC_OF_DAMAGE	de DGT
$MISC_DAMAGE	dégâts
$MISC_DAMAGE_SHORT	DGT
$MISC_DAMAGE_RESIST	résistance DGT
$MISC_RESIST	résistance à <SOMETHING>
$MISC_VS	contre
$MISC_TO	à
$MISC_VERSUS	contre
$MISC_DEF_SHORT	DEF
$MISC_PHASES	phase
$MISC_SWIMS	nage
$MISC_WALKS_ON	marche toujours
$MISC_HEAL	soigne
$MISC_DEATH_SPLASH	mort explosive
$MISC_PORCUPINE	épines
$MISC_DARK	noir
$MISC_DARK_DESC	(esquive 75 % des attaques)
$MISC_SPAWNS	géniteur
$MISC_STRENGTHS	forces
$MISC_WEAKNESSES	faiblesses
$MISC_IMMUNE_TO	Immunisé contre <SOMETHING>
$MISC_AMOUNT	quantité
$MISC_AMOUNT_SHORT	qt
$MISC_SECOND	seconde
$MISC_SECONDS	secondes
$MISC_SECOND_SHORT	sec
$MISC_SECONDS_SHORT	secs
$MISC_CHANCE	chance
$MISC_THRESHOLD	palier
$MISC_BASE_ATTACK	attaque de base
$MISC_BONUS_DEFENSE	défense de base
$MISC_SAVED	sauvegardé
$MISC_UNSAVED	non sauvegardé
$MISC_EXIT	sortir
$MISC_QUIT	quitter
$MISC_CHANGE_USER	Changer d'utilisateur
$MISC_WRONG_USER	Quelque chose ne va pas avec l'utilisateur actuellement connecté.
$MISC_SIGN_IN	Se connecter
$MISC_CLOSE	fermer
$MISC_TRY_AGAIN	Réessayer
$MISC_RANDOM	aléatoire
$MISC_HIRE	RECRUTER
$MISC_CANT_AFFORD	Trop cher
$MISC_CONFIRM_RECRUIT	Confirmez le recrutement
$MISC_CONFIRM_CHANGE	Confirmez les modifications
$MISC_MAKE_CHANGE	Appliquer ces modifications ?
$MISC_HIRE_Q	Recruter <NAME> (<CLASS>) pour<N><SCRAP> Camelote ?
$MISC_MODS	Mods
$MISC_CONFIG_DIR	Dossier config
$MISC_LANGUAGES	Langues
$MISC_PLEASE_ENTER_A_NAME!	Veuillez entrer un nom !
$MISC_ARE_YOU_SURE	En êtes-vous sûr ?
$MISC_NEXT	suivant
$MISC_PREVIOUS	précédent
$MISC_PREV	préc
$MISC_CANCEL	annuler
$MISC_IGNORE	Ignorer
$MISC_UNDO_ALL	annuler tout
$MISC_UNDO	annuler
$MISC_DOWNLOAD	télécharger
$MISC_BEGIN	commencer
$MISC_LEAVE	partir
$MISC_WEAPONS	armes
$MISC_ARMOR	armures
$MISC_RECRUIT	recruter
$MISC_TALK	discuter
$MISC_QUIT	quitter
$MISC_ENTER	entrer
$MISC_YES	oui
$MISC_NO	non
$MISC_OK	OK
$MISC_ACCEPT	accepter
$MISC_BACK	retour
$MISC_REFUSE	refuser
$MISC_RESTART	recommencer
$MISC_RESTART?	Recommencer ?
$MISC_OKAY	OK
$MISC_QUIT_BATTLE	quitter la bataille
$UI_QUIT_NUMS	font:16,off_y:3,off_x:0
$MISC_NONE	rien
$MISC_SLOW	lent
$MISC_FAST	rapide
$MISC_XP	EXP
$MISC_EXPERIENCE	expérience
$MISC_SCRAP	Camelote
$MISC_COST	coût
$MISC_GAIN	gains
$MISC_CASUAL	occasionnel
$MISC_CASUAL_SHORT	occa.
$MISC_EASY	normal
$MISC_EASY_SHORT	normal
$MISC_NORMAL	normal
$MISC_NORMAL_SHORT	normal
$MISC_ADVANCED	avancé
$MISC_ADVANCED_SHORT	avan.
$MISC_EXTREME	extrême
$MISC_EXTREME_SHORT	extr.
$MISC_SELECT_CHALLENGE	Choix du défi :
$MISC_REWARD	Récompense :
$MISC_PERFECT_BONUS	Bonus si parfait :
$MISC_WAVES	Vagues
$MISC_ENEMY_LEVELS	Niveaux des ennemis
$MISC_TYPES	Types
$MISC_PASS	réussi
$MISC_PERFECT	parfait
$MISC_PERFECT!	parfait !
$MISC_COMPLETE	réussi
$MISC_COMPLETE!	réussi !
$MISC_STRANGER	étranger
$MISC_DESCRIPTION	description
$MISC_DEFENDER	défenseur
$MISC_DEFENDERS	défenseurs
$MISC_STATS	stats
$MISC_STATUS	statut
$MISC_NO_AFFORD	TROP CHER
$MISC_BUY	acheter
$MISC_UPGRADE	améliorer
$MISC_SELL	vendre
$MISC_NOTHING	rien
$MISC_NOTHING!	rien !
$MISC_SPECIAL	spécial
$MISC_UNKNOWN	inconnu
$MISC_MORE	plus...
$MISC_X_MORE	<X> de plus...
$MISC_EQUIP	équiper
$MISC_CANT_EQUIP!	Impossible à équiper
$MISC_UNEQUIP	enlever
$MISC_SKILLS	compétences
$MISC_SKILL	compétence
$MISC_BOOST	boost
$MISC_SPELL	sort
$MISC_LOCKED	verrouillé
$MISC_SKIP	passer
$MISC_NOTHING_TO_EQUIP	Rien à équiper !
$MISC_ENABLED	activé
$MISC_DISABLED	désactivé
$MISC_CONFIRM	confirmer
$MISC_YOU_SURE	En êtes-vous sûr ?
$MISC_LOADING	Chargement...
$MISC_ENTER_TEXT	Entrez le texte :
$MISC_LOADING_PERCENT	Chargement...<PERCENT>%
$MISC_BATTLE	Bataille
$MISC_TOWN	Ville
$MISC_JOURNAL	Journal
$MISC_MOVIES	Films
$MISC_OPTIONS	Options
$MISC_CREDITS	Générique
$MISC_PARTY	Groupe
$MISC_ERROR	erreur
$MISC_ERROR!	erreur !
$MISC_BONUS	Bonus
$MISC_TIPS	Astuces
$MISC_CONTINUE	continuer
$MISC_PLEASE_WAIT	Veuillez patienter...
$MISC_CLICK_HERE	cliquez ici
$MISC_ASSIGN_POINTS	Affecter<N>les points
$MISC_NOBODY	Personne
$MISC_EMPTY	Vide
$MISC_CHANGE	Changer
$MISC_RESET	Réinitialiser
$MISC_DEFAULT	Par défaut
$MISC_SELECT	Sélectionner
$DATA_DUMP_LOCALES	Exportation des paramètres régionaux...
$DATA_DUMP_DATA	Exportation des fichiers de données...
$DATA_DUMP_CUTSCENE	Exportation des images des scènes intermédiaires...
$DATA_DUMP_BKG	Exportation des décors...
$DATA_DUMP_EMBED	Exportation des graphismes embarqués...
$DATA_DUMP_IMAGES	Exportation des images de données...
$DATA_DUMP_TABLES	Exportation des tables de données...
$DATA_DUMP_MOD_INFO	Exportation des infos de Mod...
$DATA_DUMP_MAP_FILES	Exportation des fichiers de carte...
$DATA_DUMP_MAP_IMAGES	Exportation des images de carte...
$DATA_DUMP_AUDIO	Exportation de l'audio...
$REWARD_NEXT_LEVEL	Déverrouille le niveau suivant
$REWARD_FINISH	Termine le jeu
$REWARD_QUEST	Quête accomplie
$REWARD_NO_XP	Rien !
$REWARD_NO_GOLD	Rien !
$REWARD_XP	<PLUS> <XP> EXP
$REWARD_GOLD	<PLUS> <GOLD> CAMELOTE
$HERO_BLURB_SLAK	Un étrange jeune homme, à la fois courageux et instable...
$HERO_BLURB_KETTA	Une chasseuse nomade, cynique et désillusionnée...
$HERO_BLURB_BAKAL	Un vieux moine à la voix douce, en quête d'absolution pour ses péchés...
$HERO_BLURB_WRENNA	La dernière princesse de Quaid, n'aspirant qu'à venger son royaume perdu...
$HERO_BLURB_MARKOS	Un chevalier endurci, usé par les combats incessants...
$HERO_BLURB_NIRU	Violente et mystérieuse, cette dragonne ne partage pas ses secrets...
$TALK_ASH	RÉFUGIÉ ASHANI
$TALK_QUAID	RÉFUGIÉ QUAIDIEN
$TALK_NOMAD	RÉFUGIÉ NOMADE
$TALK_CULTIST	PRÊTRE SANGUINAIRE
$MAP_TEXT_LAIR	Antre
$MAP_TEXT_SHRINE	Autel
$MAP_TEXT_HERMIT	Ermite
$MAP_TEXT_PRISON	Prison
$MAP_TEXT_UNKNOWN	???
$MAP_TEXT_TREASURE	Caverne
$MCGUFFIN_LEARN_SPELL	<MCG> a appris un nouveau sort !
$YOU_GOT_JOIN	<NAME> (<CLASS>)<N>a rejoint le groupe !
$YOU_GOT	Vous avez obtenu
$YOU_GOT_X	<NUM> x <THING> !
