flag	name	description	
$ITM_ACC_BOOK_20	Anonymous Book	ONLY works on EXTREME challenges: <N><N>Defenders become anonymous, and gain +3% chance to dodge.	
$ITM_ACC_BOOK_21	Book of Secrets	You can hear a soft whispering when you hold it to your ear.<N><N><RE>[$ITM_BOOK_PERHAPS_DESCRIPTION]	
$ITM_W_BOOK_1	<RE>$ITM_ACC_BOOK_1_NAME	<RE>$ITM_ACC_BOOK_1_DESCRIPTION	
$ITM_W_BOOK_2	<RE>$ITM_ACC_BOOK_2_NAME	<RE>$ITM_ACC_BOOK_2_DESCRIPTION	
$ITM_W_BOOK_3	<RE>$ITM_ACC_BOOK_3_NAME	<RE>$ITM_ACC_BOOK_3_DESCRIPTION	
$ITM_W_BOOK_4	<RE>$ITM_ACC_BOOK_4_NAME	<RE>$ITM_ACC_BOOK_4_DESCRIPTION	
$ITM_W_BOOK_5	<RE>$ITM_ACC_BOOK_5_NAME	<RE>$ITM_ACC_BOOK_5_DESCRIPTION	
$ITM_W_BOOK_6	<RE>$ITM_ACC_BOOK_6_NAME	<RE>$ITM_ACC_BOOK_6_DESCRIPTION	
$ITM_W_BOOK_7	<RE>$ITM_ACC_BOOK_7_NAME	<RE>$ITM_ACC_BOOK_7_DESCRIPTION	
$ITM_W_BOOK_8	<RE>$ITM_ACC_BOOK_8_NAME	<RE>$ITM_ACC_BOOK_8_DESCRIPTION	
$ITM_W_BOOK_9	<RE>$ITM_ACC_BOOK_9_NAME	<RE>$ITM_ACC_BOOK_9_DESCRIPTION	
$ITM_W_BOOK_10	<RE>$ITM_ACC_BOOK_10_NAME	<RE>$ITM_ACC_BOOK_10_DESCRIPTION	
$ITM_W_BOOK_11	<RE>$ITM_ACC_BOOK_11_NAME	<RE>$ITM_ACC_BOOK_11_DESCRIPTION	
$ITM_W_BOOK_12	<RE>$ITM_ACC_BOOK_12_NAME	<RE>$ITM_ACC_BOOK_12_DESCRIPTION	
$ITM_W_BOOK_13	<RE>$ITM_ACC_BOOK_13_NAME	<RE>$ITM_ACC_BOOK_13_DESCRIPTION	
$ITM_W_BOOK_14	<RE>$ITM_ACC_BOOK_14_NAME	<RE>$ITM_ACC_BOOK_14_DESCRIPTION	
$ITM_W_BOOK_15	<RE>$ITM_ACC_BOOK_15_NAME	<RE>$ITM_ACC_BOOK_15_DESCRIPTION	
$ITM_W_BOOK_16	<RE>$ITM_ACC_BOOK_16_NAME	<RE>$ITM_ACC_BOOK_16_DESCRIPTION	
$ITM_W_BOOK_17	<RE>$ITM_ACC_BOOK_17_NAME	<RE>$ITM_ACC_BOOK_17_DESCRIPTION	
$ITM_W_BOOK_18	<RE>$ITM_ACC_BOOK_18_NAME	<RE>$ITM_ACC_BOOK_18_DESCRIPTION	
$ITM_W_BOOK_19	<RE>$ITM_ACC_BOOK_19_NAME	<RE>$ITM_ACC_BOOK_19_DESCRIPTION	
$ITM_W_BOOK_20	<RE>$ITM_ACC_BOOK_20_NAME	<RE>$ITM_ACC_BOOK_20_DESCRIPTION	
$ITM_W_BOOK_21	<RE>$ITM_ACC_BOOK_21_NAME	<RE>$ITM_ACC_BOOK_21_DESCRIPTION	

