flag	content	comment
$BASE_ATTACK	Base attack
$PARTY_GO_TO_MAP	Go to Map
$PARTY_HP	HP
$PARTY_NO_AFFORD	You can't afford that!<N>Cost: <COST><N>Scrap: <SCRAP>
$PARTY_NO_NEW_ACHIEVE	No new achievements.
$PARTY_NO_POINTS	There's no skill points to re-assign!
$PARTY_PASSED	Level Passed!
$PARTY_PASSED_ALLY_DEAD_DESC	<ALLY> was slain,<N>but <MCG> survived.
$PARTY_PASSED_DESC	<MCG> survived the battle,<N>with injuries.
$PARTY_PASSED_WORD	Passed
$PARTY_PASSED+	Level Passed!+
$PARTY_PASSED+_DESC	<MCG> was injured!<N><ALLY> survived!
$PARTY_PASSED++	Level Passed!++
$PARTY_PASSED++_DESC	<MCG> was injured!<N><ALLY> survived unharmed!
$PARTY_PERFECT	PERFECT!
$PARTY_PERFECT_ALLY_DEAD_DESC	<MCG> was unharmed, but <ALLY> perished.
$PARTY_PERFECT_DESC	<MCG> survived unharmed!
$PARTY_PERFECT_WORD	Perfect
$PARTY_PERFECT+	PERFECT!+
$PARTY_PERFECT+_DESC	<MCG> was unharmed!<N><ALLY> was injured!
$PARTY_PERFECT++	PERFECT!++
$PARTY_PERFECT++_DESC	<MCG> and <ALLY><N>were unharmed!
$PARTY_POINT	point
$PARTY_POINTS	points
$PARTY_PSI	PSI
$PARTY_RANGE	Range:<T>
$PARTY_RE_ASSIGN	Re-assign all of <NAME>'s skills?<N>Cost: <COST><N>Scrap: <SCRAP>
$PARTY_REACHED_WAVE_X	Reached wave <X>
$PARTY_REDESIGN	Redesign
$PARTY_REGEN	Regen:<T>
$PARTY_RENAME	Rename
$PARTY_RESET_POINTS	Reset pts
$PARTY_RESET_POINTS2	<RE>$PARTY_RESET_POINTS
$PARTY_RETURN_TOWN	Return to Town
$PARTY_SPEED	Speed:<T>
$PARTY_TOTAL	Total
$PARTY_WELL_DONE	WELL DONE!
$PARTY_X_NEW_ACHIEVE	<NUM> new achievements!
$PARTY_X_PTS	<X> pts
$PARTY_XP	XP
$REWARD_FINISH	Ends the game
$REWARD_GOLD	<PLUS> <GOLD> SCRAP
$REWARD_NEXT_LEVEL	Unlocks next level
$REWARD_NO_GOLD	Nothing!
$REWARD_NO_XP	Nothing!
$REWARD_QUEST	Quest completed
$REWARD_XP	<PLUS> <XP> XP
$RQ	”
$SAVE_SLOT_DELETE	Delete
$SAVE_SLOT_DELETE_TEXT	Permanently deletes this save slot from your computer. You know what you're doing, right?
$SAVE_SLOT_DELETE_TITLE	Delete save slot
$SAVE_SLOT_EXPORT	Export
$SAVE_SLOT_EXPORT_TEXT	Backup your save slot to a simple text file.
$SAVE_SLOT_EXPORT_TITLE	Export save to file
$SAVE_SLOT_IMPORT	Import
$SAVE_SLOT_IMPORT_TEXT	Browse your computer for a Defender's Quest save file to use.
$SAVE_SLOT_IMPORT_TITLE	Import save from file
$SAVE_SLOT_NEW_GAME	New Game
$SAVE_SLOT_NEW_GAME_PLUS	New Game+
$SAVE_SLOT_NEW_GAME_PLUS_TEXT	Starts a new, more challenging quest, while keeping all of your experience, skills, and equipment. New Game+ features new enemy types, new sidequests, more powerful equipment, and a greatly expanded journal. <N><N>NOTE: Party progress is SHARED between your original game and New Game+. You can freely go back and forth between them at any time without losing anything.
$SAVE_SLOT_NEW_GAME_PLUS_TITLE	Start a New Game+
$SAVE_SLOT_PLAY	Play
$SAVE_SLOT_PLAY_PLUS	Play+
$SAVE_SLOT_PLAY_PLUS_TEXT	Party progress is SHARED between your original game and New Game+. You can freely go back and forth between them at any time without losing anything.
$SAVE_SLOT_PLAY_PLUS_TITLE	Resume New Game+
$SKILL_DESC_ADDS_CHANCE_TO_ALL	Adds <PERCENT>%<EXTRA> chance of <FLAV>* to all attacks.
$SKILL_DESC_ADDS_CHANCE_TO_ONE	Adds <PERCENT>%<EXTRA> chance of <FLAV>* to <LQ><ATTACK><RQ>.
$SKILL_DESC_ADDS_TO_ALL	Adds <FLAV>* to all attacks.
$SKILL_DESC_ADDS_TO_ONE	Adds <FLAV>* to <LQ><ATTACK><RQ>.
$SKILL_DESC_COOLDOWN	Cooldown
$SKILL_DESC_DMG	Dmg
$SKILL_DESC_EFFECT	Effect
$SKILL_DESC_HEAL	Heal
$SKILL_DESC_HITS	Hits
$SKILL_DESC_HITS_NUM	# Hits
$SKILL_DESC_PSI_COST	Psi Cost
$SKILL_DESC_SPECIAL	Special
$SKILL_DESC_SPLASH	Splash
$SKILL_DESC_TARGET	Target
$SKILL_DESC_TOTAL_BONUS	Total bonus to <STAT>*<N>becomes +<AMOUNT><EXTRA>.
$SPECIAL_IMPROVES	Improves <FLAVOR>:
$SPECIAL_PLUS_FLAV	Adds <FLAVOR>:
$SPECIAL_SAVE_VS	Save vs. <FLAVOR> if HP >= <PERCENT>%
$STAT_DESC_ARMOR	ARMOR<N>Amount of damage absorbed.
$STAT_DESC_ARMOR_ENEMY	ARMOR<N>Amount of damage absorbed.
$STAT_DESC_ATTACK	ATTACK<N>Makes techniques do more damage.
$STAT_DESC_ATTACK_ENEMY	ATTACK<N>Damage inflicted by enemy's best attack.
$STAT_DESC_BARRIER	BARRIER<N>Layers of protection from damage. Only extremely powerful magic can lower this.
$STAT_DESC_DEFENSE	DEFENSE<N>Amount of damage absorbed.
$STAT_DESC_DEFENSE_ENEMY	ARMOR<N>Amount of damage absorbed.
$STAT_DESC_EVADE	EVADE<N>Chance of avoiding enemy attacks.
$STAT_DESC_EVADE_ENEMY	EVADE<N>Chance of avoiding attacks.
$STAT_DESC_FINAL_HIT	FINAL HIT<N>How much damage <FINAL_HIT_TARGET> receives when enemy reaches the end.
$STAT_DESC_HP	HIT POINTS<N>If it reaches 0, you're knocked out of battle.
$STAT_DESC_PHASING	PHASING<N>Periodically phases in and out;Can't be targetted or hit when phased out.<N>Pattern is tiles (in, out).
$STAT_DESC_RANGE	RANGE<N>Size of attack radius.
$STAT_DESC_RANGE_ENEMY	RANGE<N>Size of attack radius.
$STAT_DESC_REGEN	REGENERATION<N>How fast HP recovers in HP/sec.
$STAT_DESC_REGEN_ENEMY	REGENERATION<N>How fast HP recovers in HP/sec.
$STAT_DESC_SPAWN	SPAWNS:<N>
$STAT_DESC_SPEED	SPEED<N>Attack cooldown speed:<N>Every <SPEED_SHOW_MULT> points increases cooldown speed by 1x
$STAT_DESC_SPEED_ENEMY	SPEED<N>How fast an enemy moves and attacks. 1 point = 1 tile per second.
$STAT_DESC_SPELLS	SPELLS
$STAT_DESC_STRONGS	STRENGTHS
$STAT_DESC_THORNS	THORNS<N>Deals this much damage to a melee attacker.
$STAT_DESC_WEAKS	WEAKNESSES
$STAT_DESC_XP	EXPERIENCE<N>
$STATE_CRASH_DETAILS	Details:
$STATE_CRASH_PROMPT	What would you like to do?
$STATE_CRASH_SEND	Send report<N>to developer
$STATE_CRASH_SHOW_DUMP	Show crash<N>dump files
$STATE_CRASH_TITLE	Critical Error!
$STATUS_DESC_ANONYMOUS	<PLUS><PERCENT>% chance to dodge.
$STATUS_DESC_BLEED	Takes +<PERCENT>% DMG.
$STATUS_DESC_BLINDED	Attacks miss <PERCENT>% of the time.
$STATUS_DESC_BURN	<AMT_1DIG> DMG/sec<N>Cancelled by ice.
$STATUS_DESC_CHILL	-<PERCENT>% speed.<N>Cancelled by fire.
$STATUS_DESC_DARK	Dodges non-area attacks <PERCENT>% of the time.
$STATUS_DESC_DARK_FRENZY	<RE>$STATUS_DESC_FRENZY
$STATUS_DESC_DISEASE	Regeneration reduced by <PERCENT>%
$STATUS_DESC_EVER_BLEED	<RE>$STATUS_DESC_BLEED
$STATUS_DESC_EVER_POISON	<INTI> DMG/sec.
$STATUS_DESC_FB_BORED	Can't be bothered to move.
$STATUS_DESC_FB_EXISTENTIAL	-<PERCENT>% speed, +<PERCENT>% damage resist.
$STATUS_DESC_FB_HAPPY	<PLUS><PERCENT>% speed.
$STATUS_DESC_FB_LOL	<PLUS><PERCENT>% speed.
$STATUS_DESC_FB_OMG	<PLUS><PERCENT>% speed, -<PERCENT>% damage resist.
$STATUS_DESC_FB_SAD	-<PERCENT>% speed.
$STATUS_DESC_FIRE	<RE>$STATUS_DESC_BURN
$STATUS_DESC_FREEZE	Can't move.<N>Cancelled by fire.
$STATUS_DESC_FRENZY	Speed up by <PERCENT>%	COMMENT: Status descriptions have LOTS of variables. Ask Lars is you have any questions.
$STATUS_DESC_INSPIRE	<RE>$STATUS_DESC_INSPIRED
$STATUS_DESC_INSPIRED	Attacks deal +<M_MULT_PERCENT>% DMG.
$STATUS_DESC_INSPIRED_HIT	<RE>$STATUS_DESC_INSPIRED
$STATUS_DESC_LIGHT	Removes darkness.
$STATUS_DESC_POISON	<INTI> DMG/sec for <TIME> sec
$STATUS_DESC_SINGLE_STUN	Can't move. Can only be inflicted once.
$STATUS_DESC_SLOW	-<PERCENT>% speed.
$STATUS_DESC_STUN	Can't move.
$STATUS_DESC_TROLL	Dodges attacks <PERCENT> % of the time.
$STATUS_TIME_FOREVER	Lasts forever.
$STATUS_TIME_LEFT	<TIME_LEFT>/<TIME> seconds left.
$STRONG_DMG_MULT	<PERCENT>% DMG resist vs. <FLAVOR>
$STRONG_EVADE	<PERCENT>% evade <FLAVOR>
$TALK_ASH	ASH REFUGEE
$TALK_CULTIST	CULTIST PRIEST
$TALK_NOMAD	NOMAD REFUGEE
$TALK_QUAID	QUAID REFUGEE
$TARGET_BOSS_TEXT	If not pressed, ignore boss enemies.
$TARGET_BOSS_TITLE	Target BOSS
$TARGET_BOTH_TEXT	Use techniques according to boost level.
$TARGET_BOTH_TITLE	Normal priority
$TARGET_BULLDOG_TEXT	Never change targets until the enemy leaves range or dies.<N><N>Kinda tricky, recommended for advanced players only!
$TARGET_BULLDOG_TITLE	BULLDOG mode
$TARGET_CHANCE_TEXT	Target the enemy least likely to dodge or resist the attack.
$TARGET_CHANCE_TITLE	Best CHANCE
$TARGET_CHEAP_TEXT	Save higher-boost techniques for targets that can't be killed with a lesser one.
$TARGET_CHEAP_TITLE	CHEAPEST technique
$TARGET_EFFECT_TEXT	Use status effect attacks against the least affected enemy.
$TARGET_EFFECT_TITLE	Optimize EFFECTS
$TARGET_FAST_TEXT	Target the fastest moving enemy.
$TARGET_FAST_TITLE	Target FASTEST
$TARGET_FIGHT_TEXT	Attack whenever possible, even if a better heal technique is ready.
$TARGET_FIGHT_TITLE	Prioritize FIGHTING
$TARGET_FIRST_TEXT	Target the enemy closest to the end.
$TARGET_FIRST_TITLE	Target FIRST
$TARGET_HEAL_TEXT	Heal whenever possible, even if a better attack technique is ready.
$TARGET_HEAL_TITLE	Prioritize HEALING
$TARGET_LAST_TEXT	Target the enemy furthest from the end.
$TARGET_LAST_TITLE	Target LAST
$TARGET_SAVE_TEXT	Makes the current target settings the default for this character.
$TARGET_SAVE_TITLE	SAVE settings
$TARGET_SPECIFIC_TEXT	Manually select a specific enemy to attack, ignoring all others.
$TARGET_SPECIFIC_TITLE	Target SPECIFIC
$TARGET_STRONG_TEXT	Target the enemy with the most HP + Armor.
$TARGET_STRONG_TITLE	Target STRONGEST
$TARGET_WEAK_TEXT	Target the enemy with the least HP + Armor.
$TARGET_WEAK_TITLE	Target WEAKEST
$TIP_00_TEXT	<N><N>Sometimes it is helpful to go back and play an earlier battle to level up, get some gold, and buy better equipment. You can also try 'Casual' difficulty for a lighter challenge.
$TIP_00_TITLE	Get Stuck?
$TIP_10_TEXT	You can control the game with the keyboard!<N><N>- Select spells<N>- Select characters to summon<N>- Boost / recall defenders<N>- Pause / unpause the game<N>- Cycle through summoned defenders<N>- Change targeting/speed options<N>- Tab-navigate through any interface<N>- Move cursor/click with the keyboard<N><N>(Customize keys in the options menu)
$TIP_10_TITLE	Hotkeys
$TIP_100_TEXT	Recalling summoned defenders will let you regain a portion of the Psi you've invested in them.<N><N>The amount of recalled Psi gets lower when the defender is injured.
$TIP_100_TITLE	Recalling
$TIP_110_TEXT	If you have physical disabilities, check out the following in the options menu:<N><N>1) Video - play in fullscreen mode, scale up the visuals<N>2) Controls - remap all the controls<N>3) Accessibility - toggle effects, play speed, and experience multiplier
$TIP_110C_TEXT	If you have physical disabilities, check out the following in the options menu:<N><N>1) Controls - remap all the controls<N>2) Accessibility - toggle effects, play speed, and experience multiplier
$TIP_110_TITLE	Accessibility
$TIP_120_TEXT	This hint is simply included so nobody tries analyzing codes or deciphering enigmas.
$TIP_120_TITLE	Public Service Announcement
$TIP_130_TEXT	If you click on a defender, you can set their targeting options to favor enemies in the front, back, strong, weak, or fast - use these to optimize your attacks. For example, 'strong' can help you focus on bigger units or soften up a whole crowd.
$TIP_130C_TEXT	If you select a defender, you can set their targeting options to favor enemies in the front, back, strong, weak, or fast - use these to optimize your attacks. For example, 'strong' can help you focus on bigger units or soften up a whole crowd.
$TIP_130_TITLE	Targeting Options
$TIP_140_TEXT	In addition to basic targeting options, there are four optional settings:<N><N>1) Cheapest technique <N>2) Optimize Effects <N>3) Best Chance <N>4) Bulldog mode<N><N>These aren't necessary, but can help advanced players maximize their battle strategies. You can even save default target options for a given character!
$TIP_140_TITLE	Advanced Targeting
$TIP_150_TEXT	Fire and ice don't play well together.  Chill and freeze will cancel fire, fire will melt freeze, and will cancel chill.
$TIP_150_TITLE	Fire and Ice
$TIP_160_TEXT	The 'Advanced' and 'Extreme' difficulties will usually be too tough to try immediately.<N><N>Give them a try after you've beaten the next few battles on normal.
$TIP_160_TITLE	Higher Difficulties
$TIP_170_TEXT	When you buy new equipment for your hero characters, your old stuff makes great hand-me-downs for your other party members.
$TIP_170_TITLE	Equipment
$TIP_180_TEXT	Grouping defenders close together makes enemies spread out their attacks, making it easier for each of them to survive.<N><N>The drawback to this strategy is that you cover less area.
$TIP_180_TITLE	Strength in Numbers
$TIP_190_TEXT	If you want to adjust the game's level-up pace, you can change the global experience multiplier from the options menu.<N><N>The default setting is 100%.<N><N>You can also change the multiplier for scrap.
$TIP_190_TITLE	Reward Multiplier
$TIP_20_TEXT	Each defender gains 1 skill point whenever they level up.<N><N>Assign these points in the party menu to unlock new abilities for battle.<N><N>1) TECHNIQUES (round) - attacks used in battle<N>2) TRAITS (square) - passive, 'always-on' abilities.<N><N>More advanced techniques require boosting to use in battle.
$TIP_20_TITLE	Skills
$TIP_200_TEXT	Sometimes a particular technique may be throwing off your groove (perhaps your dragon fireballs are melting all your ice), or you just want to save a powerful attack for later. If so, you can click on the defender, then click on the technique in the menu on the lower-right to temporarily disable it.
$TIP_200C_TEXT	Sometimes a particular technique may be throwing off your groove (perhaps your dragon fireballs are melting all your ice), or you just want to save a powerful attack for later. If so, you can select the defender, then select the technique in the menu on the lower-right to temporarily disable it.
$TIP_200_TITLE	Disabling Techniques
$TIP_210_TEXT	On the save game menu, there's a button with a picture of a folder and floppy disk.<N><N>This will take you to where your saved games and configuration file are stored.
$TIP_210_TITLE	Where Are My Save Files?
$TIP_220_TEXT	After you finish the regular game, you can start a new adventure with your old party, with harder battles and crazy rewards!<N><N><RE>[$NEW_GAME_PLUS_NOTE]
$TIP_220_TITLE	New Game+
$TIP_230_TEXT	In NG+ mode, you'll be able to earn special artifacts that you can use to upgrade unique equipment from the regular game. These upgraded items have special powers!
$TIP_230_TITLE	Upgrades
$TIP_240_TEXT	Once you've earned enough stars, you'll start unlocking bonus battles. These special missions have extra challenges and extra rewards.
$TIP_240_TITLE	Bonus Missions
$TIP_250_TEXT	The Lightning spell has 'Psi burn', which burns off a proportion of the enemy's Psi reward each time.  If the spell does 40% damage to the enemy, 40% of their normal Psi reward will be removed.
$TIP_250_TITLE	Psi Burn?
$TIP_260_TEXT	Did you know you can make your own mods (modifications) of Defender's Quest?<N><N>Click on the wrench button in the save game menu.  You can change almost anything - stats, levels, classes, characters, cutscenes, graphics, items, etc.
$TIP_260_TITLE	Mod Support
$TIP_270_TEXT	<N><N>Call your mother, she misses you.
$TIP_270_TITLE	Remember Mom
$TIP_30_TEXT	<N><N>After a battle, everyone gets the same experience if they were alive and summoned at the end.<N><N>Everyone else gets half experience.  XP per character is the same regardless of number of characters.<N><N>You can change this penalty in the Accessibility menu.
$TIP_30_TITLE	Who Gets Experience?
$TIP_40_TEXT	You can click and drag to pan around the overworld, or navigate with the keyboard.<N><N>Scrolling is mapped to the arrow keys by default.
$TIP_40_TITLE	Overworld
$TIP_50_TEXT	Recalling defenders normally nets you only a portion of the invested Psi.<N><N>If you recall them before the first enemy wave spawns, however, you'll get 100% of your Psi back.
$TIP_50_TITLE	Recall for 100% Psi
$TIP_60_TEXT	If you have a question, join the Defender's Quest online community at www.defendersquest.com!<N><N>We have a forum where you can ask questions, a collaborative wiki, as well as a development blog.
$TIP_60_TITLE	Website and Forum
$TIP_70_TEXT	You can use the keyboard to place defenders in battle.<N><N>Default controls are mapped to the arrow keys.
$TIP_70_TITLE	Place Defenders
$TIP_80_TEXT	The colors of the bouncing numbers indicate damage type.  White is normal, grey is reduced by armor, red is bleeding, orange is fire, purple is poison, and big is critical. <N><N>You can turn them on and off in the options menu under 'Gameplay.'
$TIP_80_TITLE	Battle Effects
$TIP_90_TEXT	As you play levels on higher difficulties, you will occasionally find unique items.  These are powerful collectible items and cannot be sold in stores.
$TIP_90_TITLE	Unique Items
$TITLE_BONUS_GOODIES	Bonus Goodies
$TITLE_BONUS_GOODIES_2	Secrets?
$TITLE_CONNECTING_KONG	Connecting to KONG...
$TITLE_EULA_1	By playing this you agree to our
$TITLE_EULA_2	End User License Agreement
$TITLE_FULL_GAME	FULL GAME
$TITLE_OPTIONS	Options
$TITLE_PLEASE_WAIT	<RE>$MISC_PLEASE_WAIT
$TITLE_QUIT	Quit
$TITLE_RELOAD_MOD	Reload Mod
$TITLE_START	Start
$TITLE_START_DEMO	Start DEMO
$TITLE_START_GAME	Start GAME
$TITLE_UNLOAD_MOD	Unload Mod
$TOOLTIP_ADVANCED	Harder challenge, with greater rewards.<N><N>Come back when you're strong enough.
$TOOLTIP_CASUAL	In casual mode, enemies have reduced hitpoints and attack damage.
$TOOLTIP_CHANGE_PATH_1	NOTE:
$TOOLTIP_CHANGE_PATH_2	Your old files won't automatically transfer to the new location.<N><N>They will remain in the original directory.
$TOOLTIP_EXTREME	Hardest challenge, with the greatest rewards.<N><N>Be prepared!
$TOOLTIP_NORMAL	Normal challenge.<N><N>Most players should start here.
$TYPE_ARMOR	Armored
$TYPE_ATTACKER	Attacker
$TYPE_BOSS	Boss
$TYPE_CULTIST	Cultist
$TYPE_DARK	Dark
$TYPE_EXALTED	Exalted
$TYPE_FAST	Fast
$TYPE_NO_END_DAMAGE	NoEndDamage
$TYPE_NORMAL	Normal
$TYPE_NUKE_ON_KILL	NukeOnKill
$TYPE_REVENANT	Revenant
$TYPE_SHEEP	Sheep
$TYPE_SNAIL	Snail
$TYPE_SPITTER	Spitter
$TYPE_SPLITTER	Splitter
$TYPE_STATIONARY	Stationary
$TYPE_TELEPORTER	Teleporter
$TYPE_WATER	Water
$TYPE_WORM	Worm
$UI_ACCEPT_NUMS	font:18,off_y:1,off_x:-3
$UI_ACCESS_ABSENCE	ABSENCE
$UI_ACCESS_DEFAULT	*Default Settings
$UI_ACCESS_FAIL	FAILURE
$UI_ACCESS_FAILURE_PENALTY	Failure Penalty
$UI_ACCESS_FLASHING	Flashing Effects
$UI_ACCESS_NUMS	font:18,off_y:1,off_x:-2,show_boxes:1,absence_off_x:0,speed_off_x:0
$UI_ACCESS_PENALTIES	PENALTIES
$UI_ACCESS_REWARDS	REWARDS
$UI_ACCESS_SEE_ALSO	See Also:
$UI_ACCESS_SPEED	Game Speed
$UI_ACCESS_TITLE	Accessibility
$UI_ACHIEVE_CATEGORIES	Categories
$UI_ACHIEVE_COMPLETION	Completion
$UI_ACHIEVE_EASY	Easy
$UI_ACHIEVE_HARD	Hard
$UI_ACHIEVE_IMPOSSIBLE	Impossible
$UI_ACHIEVE_MEDIUM	Medium
$UI_ACHIEVE_POP_UP	Pop-up Notifier
$UI_ACHIEVE_TRAINER	Trainer
$UI_ACHIEVEMENTS_BUTTON_NUMBERS	font:18,offy:-2
$UI_ACHIEVEMENTS_NUMS	font:18,off_y:0,pop_up_off_y:0
$UI_ACHIEVEMENTS_TITLE	Achievements
$UI_AWARDS_TITLE	Awards
$UI_ALL_FILES	All Files
$UI_AUDIO_NUMS	font:18,off_y:1,off_x:-2
$UI_AUDIO_TITLE	Audio
$UI_BACK_NUMS	font:18,off_y:1,off_x:-3
$UI_BATTLE_CASH_OUT	Cash Out
$UI_BATTLE_CASH_OUT_TEXT	End the battle now and collect any rewards you've earned?
$UI_BATTLE_CASH_OUT?	Cash Out?
$UI_BATTLE_MORE	MORE
$UI_BATTLE_NEXT	NEXT
$UI_BATTLE_SEND_NEXT	Send<N>NEXT
$UI_BATTLE_WAVE	Wave
$UI_BATTLE_WAVES	Waves
$UI_BONUS_BLUE_STARS_LINE	<STAR_NUM> blue stars
$UI_BONUS_BONUS_LEVELS	Bonus Levels
$UI_BONUS_GOLD_STARS_LINE	<STAR_NUM> gold stars
$UI_BONUS_STARS_LINE	<STAR_NUM> <STAR_COLOR> stars
$UI_CLOUD_UNKNOWN	Cloud Saves
$UI_CLOUD_UNKNOWN_TEXT	<N>Enable Steam cloud saves?
$UI_CLOUD_UNKNOWN_TEXT_2	You can change this setting<N>at any time in:<N>Options:Miscellaneous
$UI_CONFLICT_BACKUP	Backup the file I don't pick to:<N><LOC>
$UI_CONFLICT_BETTER	We think this one seems better
$UI_CONFLICT_BUTTON	Use this
$UI_CONFLICT_CLOUD	CLOUD
$UI_CONFLICT_LOCAL	COMPUTER
$UI_CONFLICT_CONSOLE	CONSOLE
$UI_CONFLICT_MSG	We're not sure which of these should go in Slot <SLOT>.<N>Please pick the one you want to keep.
$UI_CONFLICT_CONFIRMATION_CLOUD	Overwrite cloud data with local data for Slot <SLOT>?
$UI_CONFLICT_CONFIRMATION_LOCAL	Overwrite local data with cloud data for Slot <SLOT>?
$UI_CONFLICT_NGP	New Game+
$UI_CONFLICT_TITLE	Cloud Conflict!
$UI_CONFLICT_CONFIRM	Confirm Overwrite
$UI_CONTROLS_ACCEL	Acceleration
$UI_CONTROLS_INERTIA	Inertia
$UI_CONTROLS_ACCEPT	Accept
$UI_CONTROLS_ACCEPT_SELECT	Accept/Select
$UI_CONTROLS_AUTO	Auto
$UI_CONTROLS_BACK	Back
$UI_CONTROLS_BACK_CANCEL	Back/Cancel
$UI_CONTROLS_BOOST	Boost
$UI_CONTROLS_CANCEL	Cancel
$UI_CONTROLS_CHARACTER	Character
$UI_CONTROLS_CLASS	Class
$UI_CONTROLS_CLICK	Click
$UI_CONTROLS_CURSOR	Cursor
$UI_CONTROLS_CYCLE	Cycle<N>Defenders
$UI_CONTROLS_CYCLE_NUMS	off_x:-5,off_y:0
$UI_CONTROLS_DEVICE	Device
$UI_CONTROLS_FAST	Fast
$UI_CONTROLS_GAMEPAD	Gamepad
$UI_CONTROLS_GAMEPAD_MODEL	Model
$UI_CONTROLS_GAMEPAD_ICONS	Icons
$UI_CONTROLS_GAMEPAD_ACTION_SET	Action Set
$UI_CONTROLS_KEYBOARD	Mouse & Keyboard
$UI_CONTROLS_STEAM_CONTROLLER	Steam Controller
$UI_CONTROLS_LOGITECH	Logitech
$UI_CONTROLS_MENU	Menu
$UI_CONTROLS_MENU_ALT	Menu 2
$UI_CONTROLS_MINUS_PLUS_SPEED	-/+<N>Speed
$UI_CONTROLS_MINUS_SPEED	- Speed
$UI_CONTROLS_MOVE_CURSOR	Move Cursor
$UI_CONTROLS_NAVIGATE_MENU	Navigate Menu
$UI_CONTROLS_NONE	None
$UI_CONTROLS_NORMAL	Normal
$UI_CONTROLS_NUMS	font:18,off_y:1,off_x:-2
$UI_CONTROLS_OUYA	Ouya
$UI_CONTROLS_PAUSE	Pause
$UI_CONTROLS_PLUS_SPEED	<PLUS> Speed
$UI_CONTROLS_POINTER	Pointer
$UI_CONTROLS_PRESET_AZERTY	Azerty
$UI_CONTROLS_PRESET_COLEMAK	Colemak
$UI_CONTROLS_PRESET_CUSTOM	Custom
$UI_CONTROLS_PRESET_DEFAULT	Default
$UI_CONTROLS_PRESET_DVORAK	Dvorak
$UI_CONTROLS_PRESET_LEFTY	Lefty
$UI_CONTROLS_PRESET_PS	PlayStation
$UI_CONTROLS_PRESET_PSJ	Japanese
$UI_CONTROLS_PRESET_QWERTY	Qwerty
$UI_CONTROLS_PRESET_QWERTZ	Qwertz
$UI_CONTROLS_PRESET_WIIU	WiiU Default
$UI_CONTROLS_PRESET_XBOX	XBox Default
$UI_CONTROLS_PRESETS	Presets
$UI_CONTROLS_PS3	Playstation 3
$UI_CONTROLS_PS4	Playstation 4
$UI_CONTROLS_PSVITA	Playstation Vita
$UI_CONTROLS_RECALL	Recall
$UI_CONTROLS_SCROLL	Scroll Map,<N>Place Defender
$UI_CONTROLS_SEE_ALSO	See Also:
$UI_CONTROLS_SELECT	Select
$UI_CONTROLS_SLOW	Slow
$UI_CONTROLS_SLOWEST	Slowest
$UI_CONTROLS_SPEED	Speed
$UI_CONTROLS_SPELL	Spell
$UI_CONTROLS_TAB_NAV	Tab<N>Navigation
$UI_CONTROLS_TARGET	Target
$UI_CONTROLS_TITLE	Controls
$UI_CONTROLS_VIRTUAL_MOUSE	Virtual Mouse
$UI_CONTROLS_XBOX1	Xbox One
$UI_CONTROLS_XBOX360	Xbox 360
$UI_CONTROLS_XINPUT	Xinput
$UI_CONTROLS_STEAM_CONTROLLER_CONFIG	Configure
$UI_CONTROLS_STEAM_CONTROLLER_CONFIG_FAIL_TITLE	Steam Error!
$UI_CONTROLS_STEAM_CONTROLLER_CONFIG_FAIL_TEXT	Couldn't open configuration screen: is Steam in Big Picture mode and is Steam overlay working?
$UI_DEFENDER_BOOST	BOOST: <PSI> Psi
$UI_DEFENDER_BOOST_MAX	MAXIMUM BOOST
$UI_DEFENDER_BOOST_NEED	BOOST: Need <PSI> Psi
$UI_DEFENDER_BOOST_NEED2	<RE>$UI_DEFENDER_BOOST_NEED
$UI_DEFENDER_BOOST_UNLOCK	Unlocks at BOOST LEVEL <LVL>
$UI_DEFENDER_CLICK_TO	(Click to enable/disable)
$UI_DEFENDER_CLICK_TO_CONSOLE	(Select to enable/disable)
$UI_DEFENDER_RECALL	Recall
$UI_DEFENDER_RECALL_LINE	RECALL:<N>+<PSI> Psi
$UI_DEFENDER_TECHNIQUE	Technique
$UI_DEFENDER_TECHNIQUES	TECHNIQUES
$UI_DEFENDER_TRAIT	Trait
$UI_DEFENDER_TRAITS	TRAITS
$UI_DEFQ_MODS	Mod
$UI_DEMO_IMPORT_OPTIONS	Import option settings from demo?
$UI_DEMO_IMPORT_SAVES	Import saves from demo?
$UI_DEMO_OPTIONS_DETECTED	Demo Options Detected!
$UI_DEMO_SAVES_DETECTED	Demo Saves Detected!
$UI_DOWNLOAD_BODY	Click a button to download the<N>desktop version of the game.<N><N>It will download in a new window/tab.<N>There might be a slight delay, so give it<N>a minute and try not to spam the buttons.
$UI_DOWNLOAD_LINUX	Linux
$UI_DOWNLOAD_MACINTOSH	Macintosh
$UI_DOWNLOAD_SOUNDTRACK	Soundtrack
$UI_DOWNLOAD_WARNING	DISABLE YOUR<N>POP-UP BLOCKER!
$UI_DOWNLOAD_WINDOWS	Windows
$UI_DQ_SAVE_FILES	DQ<X> Save Files
$UI_EQUIP_ALL_A_HEAVY	All heavy armor equipped!
$UI_EQUIP_ALL_A_HEAVY_EQUIPPED	All heavy armor equipped!
$UI_EQUIP_ALL_A_LIGHT	All light armor equipped!
$UI_EQUIP_ALL_A_LIGHT_EQUIPPED	All light armor equipped!
$UI_EQUIP_ALL_ACC_BOOK	All books equipped!
$UI_EQUIP_ALL_W_BOW	All bows equipped!
