flag	name	description
$ITM_W_STAFF_13	Kozomonovo žezlo	Tahle dubová venkovská berle nese nápis ''Kozomon Kastankim'', což v prastarém dialektu z Ashe znamená, že jde o majetek prvního učedníka Selinadtu. Tato relikvie se údajně ztratila, když byla kapitula vyloupena na konci Quaidské války. Kdysi ji zdobilo zlato a drahokamy, ty byly odstraněny, ale hůl sama je použitelná. Po stoletích rituálů a taky několika požárech je původní dřevo téměř černé, ale pořád si zachovalo pevnost.
$ITM_W_STAFF_14	Šarlatánská hůl+	Tuhle ozdobně vyřezávanou tyč zdobí prapodivný text. Při bližším ohledání jsou to jen žvatlaniny beze smyslu, sloužící k oblbnutí hlupáků. V koncích tyče je několik skrytých dutin obsahujících chemikálie pro vyvolání barevného kouře - a v jedné je něco, co nejspíše kdysi bylo živý kanárek.
$ITM_W_STAFF_15	Hůl Nejvyššího pastevce+	Tahle masivní berla je pokryta zaklínadly v mnoha dialektech v quaidštině, ashštině, nomádském jazyce a dalších, které už nikdo nezná. Na horní části je quaidsky ''Pán ovcí, ochránce zásob''. Znak Klenotu pouště je hned pod tím nápisem, takže je jasné, že nebohý majitel téhle berle měl na starosti stádo brutálních vzteklých ovcí pod městem. Spodní konec berle je pokryt stovkami stop po zubech - a několika zaseknutými zuby.
$ITM_W_STAFF_16	Zbraň Bestie+	Tahle hůl je vyřezána z jednoho kusu slonoviny. Co to muselo být za monstrum, že mělo tak obrovské kly? Vyřezávané nápisy po celé délce vyprávějí příběh nějakého zapomenutého hrdiny. Neobjevují se tam žádné motivy z Ashe, Quaidu nebo od nomádů, ani žádná jména, takže identita autora i monstra, z jehož klu byla zbraň vyrobena, zůstávají záhadou.
$ITM_W_STAFF_17	Katův obuch+	Tahle těžká hůl je pobitá železem a ještě má jeden konec vydlabaný a vyplněný olovem, takže když švihne, praskají kosti. Železné plochy zdobí rytiny v neznámém jazyce, nejspíše nějakem ze Severních městských států. Zkřížené klíče pod smrtihlavem symbolizují nějakou oficiální pozici - žalářníka, kata či jiný post nehodný meče. Stopy krve na tom těžším konci ukazují, že nezahálela.
$ITM_W_STAFF_18	Strážce plamene+	Tahle stříbrem plátovaná hůl je ošoupaná dlouhými léty používání. Místy jsou ještě vidět nápisy ve staré quaidštině. Většina se díky tmavnutí stříbra nedá rozluštit. Několikrát se objevuje fráze ''ti, kdo drží plamen'' a, ''extáze... sžírá''. Na obou koncích je hůl téměř černá, nejspíše byla používána v quaidském Císařském Rituálu Ohně.
$ITM_W_STAFF_19	Kozomonovo žezlo+	Tahle dubová venkovská berle nese nápis ''Kozomon Kastankim'', což v prastarém dialektu z Ashe znamená, že jde o majetek prvního učedníka Selinadtu. Tato relikvie se údajně ztratila, když byla kapitula vyloupena na konci Quaidské války. Kdysi ji zdobilo zlato a drahokamy, ty byly odstraněny, ale hůl sama je použitelná. Po stoletích rituálů a taky několika požárech je původní dřevo téměř černé, ale pořád si zachovalo pevnost.
$ITM_W_STAFF_20	Vycházková hůl+	Pevná, těžká hůl.
$ITM_W_STAFF_21	Pastevecká hůl+	Obyčejná ovčácká hůl.
$ITM_W_STAFF_22	Dubová tyč+	Jemně vyřezávaná dubová berla s masivním koženým držadlem.
$ITM_W_STAFF_23	Obušek+	Pevná dubová hůl s jedním koncem vydlabaným a vyplněným olovem.
$ITM_W_STAFF_24	Hůl z železodřeva+	Perfektní hůl z nejvzácnějšího z dřev.
$ITM_W_STAFF_25	Zocelená hůl+	Pevná hůl z tvrdého dřeva, která byla vyztužena ocelovými pásy.
$ITM_W_STAFF_26	Poutníkova hůl+	Jedna z mnoha, které mniši Selini dávají poutníkům na cesty. Je vyztužená ocelovými pásy a dřevo zdobí vyryté modlitby.
$ITM_W_BOOK_1	Šokující blesk	Blesky mohou dočasně paralyzovat zasaženého nepřítele.
$ITM_W_BOOK_2	Řetězový blesk	Za každý stupeň kouzla Blesk zasáhne další cíl s menší intenzitou.
$ITM_W_BOOK_3	Vzteklý začátek	Vyvolaný obránce bude rozběsněn.
$ITM_W_BOOK_4	Vzteklý konec	Obránce zraněný přes 75 % se rozběsní.
$ITM_W_BOOK_5	Světlo Soudu	Seslání Uzdravení zároveň aplikuje na všechny nepřátele Slepotu.
$ITM_W_BOOK_6	Světlo slávy	Seslání Uzdravení zároveň aplikuje na všechny nepřátele Světlo.
$ITM_W_BOOK_7	Pomalý začátek	Nepřátelé jsou po svém objevení zpomaleni.
$ITM_W_BOOK_8	Pomalý konec	Nepřátelé zpomalí, když se dostanou blízko k $MCG.
$ITM_W_BOOK_9	Krystalové pole	$MCG je na začátku každé bitvy obklopena několika krystaly.
$ITM_W_BOOK_10	Psi Štít	Nepřátelé, kteří zasáhnou $MCG, jí místo HP odebírají Psi. S každým stupněm kouzla Krystal se množství odebrané Psi snižuje.
$ITM_W_BOOK_11	Výbušné zrození	Přivolání a vylepšení obránce způsobí malý výbuch.
$ITM_W_BOOK_12	Výbušná smrt	Vyřazení obránce z boje způsobí malý výbuch.
$ITM_W_BOOK_13	Kniha Moru	Všichni obránci ztratí regeneraci a všichni nepřátelé kromě postav jsou toxičtí.<N><N>Možná by bylo dobře si tu knihu vzít na další akci.
$ITM_W_BOOK_14	Kniha Krve	Všichni obránci a nepřátelé s výjimkou $MCG a nepřátelských postav trvale krvácí.<N><N>Možná by bylo dobře si tu knihu vzít na další akci.
$ITM_W_BOOK_15	Kniha synergie	Led, voda a oheň se navzájem neruší.<N><N>Možná by bylo dobře si tu knihu vzít na další akci.
$ITM_W_BOOK_16	Údolí zapomenutých	Tato kniha nemá žádnou magickou moc, je to autobiografie. Vypráví příběh mladé ashské knihovnice, která přežije epidemii, ale je uvězněna v morové kolonii. Kniha je psána formou deníku včetně improvizovaných ilustrací s použitím improvizovaných materiálů - uhlu, čaje, extraktu z bylin či krve.<N><N>Možná by bylo dobře si tu knihu vzít na další akci.
$ITM_W_BOOK_17	Kniha odvahy	Obránci nemohou být do boje přivoláni víckrát - v případě vyřazení z boje nebo odvolání zůstanou mimo do konce bitvy.
$ITM_W_BOOK_18	Kniha mlčení	$MCG nemůže v bitvě sesílat kouzla.
$ITM_W_BOOK_19	Kniha tváře	Pouze v extrémních výzvách: <N><N>Nepřátelé si náhodně mění ''status'' na nové tváře. Docela zvláštní.
$ITM_W_BOOK_20	Anonymní kniha	Pouze v extrémních výzvách: <N><N>Obránci se stanou anonymními, získají +3% k uhýbání a 2x poškození proti trollům.
$ITM_W_BOOK_21	Kniha Tajemství	Když na ni přiložíš ucho, slyšíš jemný šepot.<N><N>Možná by bylo dobře si tu knihu vzít na další akci.",,,,
$ITM_ACC_BOOK	book	<NULL>
$ITM_ACC_BOOK_1	Shock Lightning	Lightning shocks enemies, paralyzing them briefly.
$ITM_ACC_BOOK_10	Psi Shield	Enemies that hit $MCG deduct Psi instead of HP. Less Psi is lost for every point spent on the Crystal spell.
$ITM_ACC_BOOK_11	Explosive Start	Summoning and boosting defenders causes a small explosion.
$ITM_ACC_BOOK_12	Explosive End	A small explosion goes off when a defender is defeated.
$ITM_ACC_BOOK_13	Book of Plagues	All defenders except $MCG can't regenerate, and all enemies except bosses are permanently toxic.<N><N><RE>[$ITM_BOOK_PERHAPS_DESCRIPTION]
$ITM_ACC_BOOK_14	Book of Blood	All defenders and enemies, except $MCG and bosses, are permanently bleeding.<N><N><RE>[$ITM_BOOK_PERHAPS_DESCRIPTION]
$ITM_ACC_BOOK_15	Book of Synergy	Ice, water, and fire no longer cancel.<N><N><RE>[$ITM_BOOK_PERHAPS_DESCRIPTION]
$ITM_ACC_BOOK_16	Valley of the Forgotten	This book has no magical powers, but is instead an autobiography. It tells the story of a young Ashani librarian who survives an epidemic only to find herself trapped in a plague colony.  It is written in the form of a journal, with many illustrations drawn with improvised materials such as charcoal, tea, plant extracts, and blood.<N><N><RE>[$ITM_BOOK_PERHAPS_DESCRIPTION]
$ITM_ACC_BOOK_17	Book of Daring	Defenders cannot be re-summoned once defeated or recalled in battle.
$ITM_ACC_BOOK_18	Book of Silence	$MCG cannot cast spells in battle.
$ITM_ACC_BOOK_19	Book of Face	ONLY works on EXTREME challenges: <N><N>Enemies will randomly update their <LQ>status<RQ> with new faces. Quite strange.
$ITM_ACC_BOOK_2	Chain Lightning	Lightning strikes 1 additional target with diminishing power for each skill point in Lightning.
$ITM_ACC_BOOK_20	Anonymous Book	ONLY works on EXTREME challenges: <N><N>Defenders become anonymous, and gain +3% chance to dodge.
$ITM_ACC_BOOK_21	Book of Secrets	You can hear a soft whispering when you hold it to your ear.<N><N><RE>[$ITM_BOOK_PERHAPS_DESCRIPTION]
$ITM_ACC_BOOK_3	Furious Start	Newly summoned defenders have frenzy.
$ITM_ACC_BOOK_4	Furious End	Defenders below 25% health gain frenzy.
$ITM_ACC_BOOK_5	Light of Judgment	Casting Heal also applies BLIND to all enemies.
$ITM_ACC_BOOK_6	Light of Glory	Casting Heal also applies LIGHT to all enemies.
$ITM_ACC_BOOK_7	Slow Start	Newly spawned enemies are slowed temporarily.
$ITM_ACC_BOOK_8	Slow End	Enemies within slow down as they approach $MCG.
$ITM_ACC_BOOK_9	Crystal patch	$MCG begins the level surrounded by several crystals.
$ITM_ACC_BOOK_PLURAL	books	<NULL>
$ITM_ACC_BOOK_PLURAL_SHORT	books	<NULL>
$ITM_BOOK_PERHAPS	<NOTHING>	Perhaps you should take this book with you on your next adventure.
$ITM_PLUS	Item+	A mysterious + symbol marks it as much stronger than normal.
