flag	content	comment
$TITLE_START_DEMO	体験版開始
$UI_EQUIP_CANT_SELL_UNIQUE	特殊なアイテムは売ることができません！
$UI_EQUIP_SELL_OLD_WEAPON_FOR	<SELL_PRICE>で古い武器を売却
$UI_EQUIP_SELL_OLD_ARMOR_FOR	<SELL_PRICE>で古い鎧を売却
$UI_RECRUIT_CLASS_FULL	満員です！
$UI_RECRUIT_ERROR_NUMS	off_y:5
$UI_RECRUIT_BERSERKER_NUMS	font:14,x_off:0,y_off:0
$UI_RECRUIT_RANGER_NUMS	font:14,x_off:0,y_off:0
$UI_RECRUIT_KNIGHT_NUMS	font:14,x_off:0,y_off:0
$UI_RECRUIT_MAGE_NUMS	font:14,x_off:0,y_off:0
$UI_RECRUIT_HEALER_NUMS	font:14,x_off:0,y_off:0
$UI_RECRUIT_DRAGON_NUMS	font:14,x_off:0,y_off:0
$UI_BATTLE_MORE	MORE
$UI_BATTLE_SEND_NEXT	送る<N>次
$UI_BATTLE_NEXT	次
$UI_BATTLE_WAVES	WAVE
$UI_BATTLE_WAVE	WAVES
$UI_BATTLE_CASH_OUT	清算
$UI_BATTLE_CASH_OUT?	清算しますか？
$UI_BATTLE_CASH_OUT_TEXT	戦闘を終了し、獲得した報酬を清算しますか？
$FB_LIKE_US_TEXT	私たちのFacebookのページにいいね！<N>してください。 このプライズを無料で差し上げます！
$FB_LIKE_US_YES	OK！
$FB_LIKE_US_NO	ははは、やだ。
$FB_THANKS_TEXT	私たちのFacebookのページにいいね！してくれてありがとう！<N>プライズをお送りします！
$FB_THANKS_OK	OK
$FB_THANKS_SUCKS	Facebookキライ
$FB_REBEL_TEXT	だよね！あんなもん、ほっとこうぜ！<N>代わりにこれを持って行って！
$FB_SECOND_PITCH	私たちのFacebookのページにいいね！していただくと、<N>これが手に入ります！
$FB_SECOND_PITCH_YES	OK
$FB_SECOND_PITCH_NO	ヤダ！
$FB_HARD_SELL_TEXT	マジで？<N>こんなにキラキラしてるのに？
$FB_HARD_SELL_YES	うん・・・じゃあOK。
$FB_HARD_SELL_NO	絶対ヤダ！
$FB_PERSISTENT_TEXT	OK、お前の勝ちだ！<N>どうせ最初からあげるつもりだったけど。
$FB_PERSISTENT_OK	やったね！
$FB_THIS_ITEM_WILL_NOW	このアイテムは、どのプレイヤーのリストにも常に表示されます。
$BOOK_PSI_TAX	PSI Tax:
$BOOK_COST_MULT	呪文コスト x
$BOOK_COOL_MULT	呪文再詠唱時間 x
$STATUS_DESC_FB_HAPPY	スピード+<PERCENT>%。
$STATUS_DESC_FB_SAD	スピード-<PERCENT>%。
$STATUS_DESC_FB_BORED	面倒くさくて動きたくなーい。
$STATUS_DESC_FB_LOL	スピード+<PERCENT>%。
$STATUS_DESC_FB_OMG	スピード+<PERCENT>%、ダメージ軽減-<PERCENT>%。
$STATUS_DESC_TROLL	攻撃を受けている時、<PERCENT>%攻撃回避。
$STATUS_DESC_ANONYMOUS	攻撃回避率+<PERCENT>%。
$STATUS_DESC_DARK	非エリア攻撃時、<PERCENT>%攻撃回避。
$STATUS_DESC_LIGHT	闇を取り除く。
$STATUS_DESC_FRENZY	<PERCENT>%スピードアップ。
$STATUS_DESC_BLINDED	<PERCENT>%攻撃を外す。	COMMENT: Status descriptions have LOTS of variables. Ask Lars is you have any questions.
$STATUS_DESC_BLEED	ダメージに+<PERCENT>%を付与。
$STATUS_DESC_EVER_POISON	<INTI>ダメージ/秒。
$STATUS_DESC_DISEASE	回復力が<PERCENT>%減少。
$STATUS_DESC_POISON	<TIME>秒間、<INTI>ダメージ/秒。
$STATUS_DESC_SINGLE_STUN	動けなくなる。<N>効果は一度だけ。
$STATUS_DESC_STUN	動けなくなる。
$STATUS_DESC_BURN	<AMT_1DIG>ダメージ/秒。<N>氷で相殺可能。
$STATUS_DESC_INSPIRED	ダメージに+<M_MULT_PERCENT>%を付与。
$STATUS_DESC_FREEZE	動けなくなる。<N>火で相殺可能。
$STATUS_DESC_CHILL	スピードが-<PERCENT>%。<N>火で相殺可能。
$STATUS_DESC_SLOW	スピードが-<PERCENT>%。
$STATUS_TIME_LEFT	残り<TIME_LEFT>/<TIME>秒。
$STATUS_TIME_FOREVER	無制限。
$FLAV_DESC_LIGHT	闇の敵に+<AMT_2DIG>×<EXTRA>のダメージを与え、さらに<TIME><EXTRA_TIME>秒間、攻撃しやすくなる。
$FLAV_DESC_LIGHT_SHORT	闇の敵に、数秒間強くなる。
$FLAV_DESC_BLINDED	敵の攻撃が<TIME><EXTRA_TIME>秒間、正確さを<PERCENT>%<EXTRA>失う。
$FLAV_DESC_BLINDED_SHORT	敵の攻撃が数秒間、正確さを失う。
$FLAV_DESC_CONFUSED	<TIME><EXTRA_TIME>秒間だけ敵が後ろに歩く。
$FLAV_DESC_CONFUSED_SHORT	数秒間だけ敵が後ろに歩く。
$FLAV_DESC_BLEED	敵は<TIME><EXTRA_TIME>秒間、<PERCENT>%<EXTRA>大きなダメージを受ける。
$FLAV_DESC_BLEED_SHORT	敵は攻撃されると一時的に大ダメージを受ける。
$FLAV_DESC_KNOCK_BACK	<AMT_1DIG><EXTRA>タイルだけ敵を後ろに押し戻す。
$FLAV_DESC_KNOCK_BACK_SHORT	数タイルだけ敵を後ろに押し戻す。
$FLAV_DESC_DISEASE	敵の回復力が<PERCENT>%<EXTRA>減少。
$FLAV_DESC_DISEASE_SHORT	敵の回復力が減少。
$FLAV_DESC_POISON	<TIME><EXTRA_TIME>秒間、攻撃ダメージの<PERCENT>%<EXTRA>/秒のダメージを敵に与える。
$FLAV_DESC_POISON_DIRECT	<TIME><EXTRA_TIME>秒間、<AMTDMG><EXTRA>/秒のダメージを敵に与える。
$FLAV_DESC_POISON_SHORT	短期間に渡り、敵にダメージを与える。
$FLAV_DESC_SINGLE_STUN	敵を<TIME><EXTRA_TIME>間動けなくする。この攻撃は、1回しか使えない。
$FLAV_DESC_SINGLE_STUN_SHORT	敵を数秒間動けなくする。この攻撃は、1回しか使えない。
$FLAV_DESC_STUN	敵を<TIME><EXTRA_TIME>秒間動けなくする。
$FLAV_DESC_STUN_SHORT	敵を一時的に敵を動けなくする。
$FLAV_DESC_AUTO_KILL	HP<EXTRA>以下の敵を<PERCENT>%で自動的に倒す。
$FLAV_DESC_AUTO_KILL_SHORT	一定の強さを持たない敵を自動的に倒す。
$FLAV_DESC_BURN	敵に<TIME><EXTRA_TIME>秒間、<AMTDMG><EXTRA>ダメージ/秒を与える。氷で相殺可能。
$FLAV_DESC_BURN_SHORT	敵に数秒間、ダメージを与える。氷で相殺可能。
$FLAV_DESC_INSPIRE	<TIME><EXTRA_TIME>秒間だけ、<M_MULT_PERCENT><EXTRA>%多くダメージを与えられる。
$FLAV_DESC_INSPIRE_SHORT	一時的に大ダメージを与られえる。
$FLAV_DESC_FREEZE	<TIME><EXTRA_TIME>秒間、敵を動けなくする。<N>火で相殺可能。
$FLAV_DESC_FREEZE_SHORT	一時的に敵を動けなくする。<N>火で相殺可能。
$FLAV_DESC_ARMOR_PIERCE_DIRECT	攻撃が<AMTDMG><EXTRA>ポイントのアーマーを無効化。
$FLAV_DESC_ARMOR_PIERCE_AMT_LESS_1	<INV_AMOUNT><EXTRA>ダメージ毎にアーマーを1無効化。
$FLAV_DESC_ARMOR_PIERCE_AMT_GRTR_1	1ダメージ毎にアーマーを<AMT_1DIG><EXTRA>無効化。
$FLAV_DESC_ARMOR_PIERCE_SHORT	攻撃が、数ポイントのアーマーを無効化。
$FLAV_DESC_ARMOR_BREAK_DIRECT	<AMTDMG><EXTRA>のアーマーを攻撃で破壊。
$FLAV_DESC_ARMOR_BREAK_AMT_LESS_1	<INV_AMOUNT><EXTRA>毎に1アーマーを破壊。
$FLAV_DESC_ARMOR_BREAK_AMT_GRTR_1	1ダメージ毎に<AMT_2DIG><EXTRA>のアーマーを破壊。
$FLAV_DESC_ARMOR_BREAK_SHORT	攻撃が、数ポイントのアーマーを破壊。
$FLAV_DESC_CHILL	敵の動きが<TIME><EXTRA_TIME>秒間、<PERCENT>%<EXTRA>鈍る。
$FLAV_DESC_CHILL_SHORT	敵の動きが数秒間鈍る。火で相殺可能。
$FLAV_DESC_SLOW	敵の動きが、<TIME><EXTRA_TIME>秒間、<PERCENT>%<EXTRA>で鈍る。
$FLAV_DESC_SLOW_SHORT	敵が、一時的に動けなくなる。
$FLAV_DESC_STRIKE_THROUGH	敵を<INTI><EXTRA>人まで攻撃可能。
$FLAV_DESC_STRIKE_THROUGH_SHORT	複数の敵を攻撃可能。
$FLAV_DESC_CRITICAL	ダメージ＝通常攻撃の<AMT_1DIG>×<EXTRA>
$FLAV_DESC_CRITICAL_SHORT	通常攻撃より大ダメージ。
$STAT_DESC_HP	ヒットポイント<N>0になるとバトルから退場。
$STAT_DESC_SPEED	スピード<N>攻撃のクールダウン速度：<SPEED_SHOW_MULT>毎にクールダウン速度が倍に。
$STAT_DESC_SPEED_ENEMY	スピード<N>敵の動き及び攻撃の速さ。１ポイント＝１タイル/秒。
$STAT_DESC_ATTACK	攻撃<N>テクニックのダメージをより大きくする。
$STAT_DESC_ATTACK_ENEMY	攻撃<N>敵の最強の攻撃によるダメージ
$STAT_DESC_DEFENSE	防御<N>吸収されるダメージ量
$STAT_DESC_DEFENSE_ENEMY	アーマー<N>吸収されるダメージ量
$STAT_DESC_STRONGS	耐性
$STAT_DESC_WEAKS	弱点
$STAT_DESC_REGEN	回復<N>HPの回復速度で、単位はHP/秒
$STAT_DESC_REGEN_ENEMY	回復<N>HPの回復速度で、単位はHP/秒
$STAT_DESC_EVADE	回避<N>攻撃を避ける確率
$STAT_DESC_EVADE_ENEMY	回避<N>攻撃を避ける確率
$STAT_DESC_RANGE	射程<N>攻撃範囲の半径
$STAT_DESC_RANGE_ENEMY	射程<N>攻撃範囲の半径
$STAT_DESC_SPELLS	呪文
$STAT_DESC_PHASING	透明<N>定期的に姿を消したり現したりする。消えている間は、狙われず攻撃を受けない。<N>見た目はタイルになります。
$STAT_DESC_BARRIER	バリア<N>ダメージから身を守るバリア。非常に強力な魔法でしかバリアを弱められない。
$STAT_DESC_FINAL_HIT	ファイナルヒット<N>敵が最後に<FINAL_HIT_TARGET>に与えるダメージ
$STRONG_DMG_MULT	<FLAVOR>からのダメージを<PERCENT>%減。
$STRONG_EVADE	<PERCENT>%<FLAVOR>を回避。
$SKILL_DESC_PSI_COST	Psiコスト
$SKILL_DESC_COOLDOWN	再使用まで
$SKILL_DESC_EFFECT	効果
$SKILL_DESC_TARGET	ターゲット
$SKILL_DESC_HITS	ヒット
$SKILL_DESC_HITS_NUM	ヒット回数
$SKILL_DESC_SPECIAL	
$SKILL_DESC_SPLASH	範囲攻撃
$SKILL_DESC_DMG	ダメージ
$SKILL_DESC_ADDS_CHANCE_TO_ALL	すべての攻撃に、<N><PERCENT>%<EXTRA>で<FLAV>を付与。
$SKILL_DESC_ADDS_CHANCE_TO_ONE	<LQ><ATTACK><RQ>に、<N><PERCENT>%<EXTRA>で<FLAV>を付与。
$SKILL_DESC_ADDS_TO_ALL	すべての攻撃に、<N><FLAV>を付与。
$SKILL_DESC_ADDS_TO_ONE	<LQ><ATTACK><RQ>に、<N><FLAV>を加える。
$SKILL_DESC_TOTAL_BONUS	<STAT>に+<AMOUNT><EXTRA>の<N>トータルボーナス。
$MISC_FOE_SINGULAR	敵
$MISC_FOE_PLURAL	敵
$MISC_FRIEND_SINGULAR	味方
$MISC_FRIEND_PLURAL	味方
$MISC_1_FOE	敵1体
$MISC_X_FOES	敵<NUM>体
$MISC_1_FRIEND	味方1人
$MISC_X_FRIENDS	味方<NUM>人
$MISC_ALL_FOES	射程内にいるすべての敵
$MISC_ALL_FOES_IN	<TILES>タイル内にいるすべての敵
$MISC_ALL_FRIENDS	射程内にいるすべての味方
$MISC_ALL_FRIENDS_IN	<TILES>タイル内にいるすべての味方
$MISC_ALL_TARGETS	射程内だけ狙う
$MISC_ALL_TARGETS_IN	<TILES>タイル内だけ狙う
$MISC_X_HITS_FOE	敵１体につき<NUM>回
$MISC_X_HITS_FRIEND	味方１人につき<NUM>回
$MISC_X_HITS_TARGET	１ターゲットにつき<NUM>回
$MISC_X_HITS_TOTAL	トータルで<NUM>回
$MISC_UP_TO_X_FRIENDS	<FRIEND><NUM>人まで
$MISC_UP_TO_X_FOES	<FOE><NUM>体まで
$MISC_SPLASH_DAMAGE	範囲攻撃
$MISC_SPLASH_LINE	<AMT>DMG、<TILES>タイル
$MISC_SPLASH_TILES	タイル
$MISC_SAVED!	救助！
$MISC_MISS	MISS
$MISC_PROBLEM?	問題か
$MISC_COUNTER	カウンター
$MISC_NOM!	モグモグ！
$MISC_ACHIEVEMENT!	実績獲得！
$BASE_ATTACK	基本アタック
$BONUS_DEFENSE	ボーナスディフェンス
$DECIMATE_BY	<PERCENT>%によって全滅
$EN_SPELL_FRENZY_DESC	<SEC> 秒間スピード+<PERCENT>
$EN_SPELL_HEAL_DESC	回復：<PERCENT> HP
$EN_SPELL_DRAGON_FIRE_1_DESC	<DMG>ダメージ
$EN_SPELL_DRAGON_FIRE_2_DESC	<LOW>-<HIGH>ダメージ
$SPECIAL_IMPROVES	<FLAVOR>アップ
$SPECIAL_PLUS_FLAV	<FLAVOR>追加
$SPECIAL_SAVE_VS	HP<PERCENT>%以上なら<FLAVOR>防御
$TARGET_FIRST_TITLE	最初の敵を狙う
$TARGET_FIRST_TEXT	最も近い敵を狙う
$TARGET_LAST_TITLE	最後の敵を狙う
$TARGET_LAST_TEXT	最も離れた敵を狙う
$TARGET_STRONG_TITLE	最も強い敵を狙う
$TARGET_STRONG_TEXT	HPが最も高い敵を狙う
$TARGET_WEAK_TITLE	最も弱い敵を狙う
$TARGET_WEAK_TEXT	HPが最も低い敵を狙う
$TARGET_FAST_TITLE	最も速い敵を狙う
$TARGET_FAST_TEXT	最も速く動く敵を狙う
$TARGET_HEAL_TITLE	いのち大切に
$TARGET_HEAL_TEXT	治療できる時ならいつでも治療する。よりよい攻撃テクニックが準備できても、お構いなし。
$TARGET_FIGHT_TITLE	ガンガンいくぜ
$TARGET_FIGHT_TEXT	戦える時ならいつでも戦う。よりよい治療テクニックが準備できても、お構いなし。
$TARGET_BOTH_TITLE	ブースト通り
$TARGET_BOTH_TEXT	ブーストレベルに応じてテクニックを使う。
$TARGET_CHEAP_TITLE	テクニック節約
$TARGET_CHEAP_TEXT	高いブーストテクニックは使わずに取っておく。
$TARGET_EFFECT_TITLE	ガンガン状態異常
$TARGET_EFFECT_TEXT	攻撃の影響を受けにくい敵に、エフェクトアタックを使う。
$TARGET_BULLDOG_TITLE	ブルドッグ
$TARGET_BULLDOG_TEXT	敵が射程から出るか殺すまで狙い続ける。使いどころは難しいが上級プレイヤーにお勧め！
$TARGET_CHANCE_TITLE	チャンスをモノに
$TARGET_CHANCE_TEXT	攻撃を避けたり抵抗したりしない敵を狙う。
$TARGET_BOSS_TITLE	ボスを狙え
$TARGET_BOSS_TEXT	これを使わないと、ボスの敵を無視する。
$TARGET_SAVE_TITLE	設定保存
$TARGET_SAVE_TEXT	現在のターゲット設定を、このキャラのデフォルトとして保存できます。
$CONFIRM_RES_CHANGE	解像度が変わりました。<N>ちょうどいいですか？<N><N><SECONDS>秒で元に戻ります。
$CONFIRM_RESTART_TITLE	バトルをリスタートしますか？
$CONFIRM_RESTART_TEXT	今までに入手した経験値とスクラップは没収となります。
$CONFIRM_QUIT_TITLE	バトルを中止しますか？
$CONFIRM_QUIT_TEXT	<RE>$CONFIRM_RESTART_TEXT
$MISC_LEADER	リーダー
$MISC_LEVEL	レベル
$MISC_LVLUP	レベルアップ
$MISC_LEVEL_UPX	レベルアップx
$MISC_LEVEL_UP!	レベルアップ！
$MISC_ANONYMOUS	名無し
$MISC_LEVEL_SHORT	レベル
$MISC_LEVEL_PARTY_GEM	レベル	Appears on character blocks in the party screen
$MISC_LEVEL_WAVE_BLOCK	レベル	Appears on enemy wave blocks in battle
$PARTY_HP	HP
$PARTY_PSI	Psi
$PARTY_XP	経験値
$PARTY_ATTACK	攻撃：<T>
$PARTY_RANGE	射程：<T>
$PARTY_SPEED	スピード：<T>
$PARTY_DEFEND	防御：<T>
$PARTY_EVADE	回避：<T>
$PARTY_REGEN	回復：<T>
$MISC_HP	ヒットポイント
$MISC_HP_SHORT	HP
$MISC_PSI	Psi
$MISC_SPEED	スピード
$MISC_SPEED_SHORT	SPD
$MISC_ATTACK	攻撃
$MISC_ATTACK_SHORT	ATK
$MISC_ARMOR	アーマー
$MISC_ARMOR_SHORT	ARMR
$MISC_EVADE	回避
$MISC_EVADE_SHORT	EVA
$MISC_EVASION	回避
$MISC_DEFEND	防御
$MISC_DEFENSE	防御
$MISC_DEFENSE_SHORT	DEF
$MISC_RANGE	射程
$MISC_RANGE_SHORT	RNG
$MISC_REGEN_LONG	回復
$MISC_REGEN	回復
$MISC_REGEN_SHORT	REG
$MISC_OF_DAMAGE	ダメージの
$MISC_DAMAGE	ダメージ
$MISC_DAMAGE_SHORT	DMG
$MISC_DAMAGE_RESIST	レジスト
$MISC_RESIST	レジスト<SOMETHING>
$MISC_VS	vs
$MISC_TO	to
$MISC_VERSUS	対
$MISC_DEF_SHORT	DEF
$MISC_PHASES	透明
$MISC_SWIMS	泳ぐ
$MISC_WALKS_ON	歩く
$MISC_HEAL	治療
$MISC_DEATH_SPLASH	デススプラッシュ
$MISC_PORCUPINE	とげ
$MISC_DARK	闇
$MISC_DARK_DESC	（75%で攻撃回避）
$MISC_SPAWNS	卵
$MISC_STRENGTHS	耐性
$MISC_WEAKNESSES	弱点
$MISC_IMMUNE_TO	<SOMETHING>への耐性
$MISC_AMOUNT	量
$MISC_AMOUNT_SHORT	amt
$MISC_SECOND	秒
$MISC_SECONDS	秒
$MISC_SECOND_SHORT	秒
$MISC_SECONDS_SHORT	秒
$MISC_CHANCE	確率
$MISC_THRESHOLD	入り口
$MISC_BASE_ATTACK	ベース攻撃
$MISC_BONUS_DEFENSE	ベース防衛
$MISC_SAVED	保存しました
$MISC_UNSAVED	保存していません
$MISC_EXIT	出口
$MISC_QUIT	終了
$MISC_CLOSE	閉じる
$MISC_TRY_AGAIN	やり直してください！
$MISC_RANDOM	ランダム
$MISC_HIRE	雇う！
$MISC_CANT_AFFORD	足りません
$MISC_CONFIRM_RECRUIT	雇用の確認
$MISC_CONFIRM_CHANGE	変更の確認
$MISC_MAKE_CHANGE	変更を行いますか？
$MISC_HIRE_Q	<N><SCRAP>スクラップで、<CLASS>の<NAME>を雇いますか？
$MISC_MODS	MOD
$MISC_CONFIG_DIR	コンフィグフォルダ
$MISC_LANGUAGES	言語
$MISC_PLEASE_ENTER_A_NAME!	名前を入力してください！
$MISC_ARE_YOU_SURE	これでいいですか？
$MISC_NEXT	次へ
$MISC_PREVIOUS	戻る
$MISC_PREV	戻る
$MISC_CANCEL	キャンセル
$MISC_IGNORE	無視
$MISC_SIGN_IN	サインイン
$MISC_CHANGE_USER	ユーザーを変更
$MISC_WRONG_USER	サインインしているユーザーに問題があります。
$MISC_UNDO_ALL	すべてやり直す
$MISC_UNDO	やり直す
$MISC_UNDO_NUMS	y_off:0,leading:-4
$MISC_DOWNLOAD	ダウンロード
$MISC_BEGIN	始める
$MISC_LEAVE	出る
$MISC_WEAPONS	武器
$MISC_ARMOR	鎧
$MISC_RECRUIT	雇用
$MISC_TALK	話しかける
$MISC_QUIT	止める
$MISC_ENTER	入る
$MISC_YES	はい
$MISC_NO	いいえ
$MISC_OK	OK
$MISC_ACCEPT	適用
$MISC_BACK	戻る
$MISC_REFUSE	拒否する
$MISC_RESTART	リスタートする
$MISC_RESTART?	再起動？
$MISC_OKAY	OK
$MISC_QUIT_BATTLE	バトルを止める
$MISC_NONE	なし
$MISC_SLOW	遅い
$MISC_FAST	速い
$MISC_XP	経験値
$MISC_EXPERIENCE	経験値
$MISC_SCRAP	スクラップ
$MISC_COST	コスト
$MISC_GAIN	売値
$MISC_CASUAL	カジュアル
$MISC_CASUAL_SHORT	カジュアル
$MISC_EASY	イージー
$MISC_EASY_SHORT	イージー
$MISC_NORMAL	ノーマル
$MISC_NORMAL_SHORT	ノーマル
$MISC_ADVANCED	ハード
$MISC_ADVANCED_SHORT	ハード
$MISC_EXTREME	ヘル
$MISC_EXTREME_SHORT	ヘル
$MISC_SELECT_CHALLENGE	チャレンジ選択
$MISC_REWARD	報酬：
$MISC_PERFECT_BONUS	完全勝利：
$MISC_WAVES	WAVE
$MISC_ENEMY_LEVELS	敵のレベル
$MISC_TYPES	タイプ
$MISC_PASS	クリア
$MISC_PERFECT	パーフェクト
$MISC_PERFECT!	パーフェクト！
$MISC_COMPLETE	コンプリート
$MISC_COMPLETE!	コンプリート！
$MISC_STRANGER	見知らぬ人
$MISC_DESCRIPTION	説明
$MISC_DEFENDER	ディフェンダー
$MISC_DEFENDERS	ディフェンダー
$MISC_STATS	状態
$MISC_STATUS	状態
$MISC_NO_AFFORD	買えない
$MISC_BUY	買う
$MISC_UPGRADE	強化
$MISC_SELL	売る
$MISC_NOTHING	何もありません
$MISC_NOTHING!	何もありません！
$MISC_SPECIAL	特別
$MISC_UNKNOWN	？？？
$MISC_MORE	さらに
$MISC_X_MORE	さらに<X>
$MISC_EQUIP	装備
$MISC_CANT_EQUIP!	装備できない！
$MISC_CANT_EQUIP_NUMS	font:12,x_off:0,y_off:-10
$MISC_UNEQUIP	装備を外す
$MISC_SKILLS	スキル
$MISC_SKILL	スキル
$MISC_SKILLTREE_SKILL_NUMS	font:13,x_off:-2,y_off:0
$MISC_BOOST	ブースト
$MISC_SPELL	呪文
$MISC_LOCKED	ロックされています
$MISC_SKIP	スキップ
$MISC_NOTHING_TO_EQUIP	装備するものは何もありません！
$MISC_ENABLED	有効
$MISC_DISABLED	無効
$MISC_CONFIRM	確認
$MISC_YOU_SURE	これでいいですか？
$MISC_LOADING	Loading・・・
$MISC_ENTER_TEXT	テキストを入力する：
$MISC_LOADING_PERCENT	Loading・・・<PERCENT>%
$MISC_BATTLE	バトル
$MISC_TOWN	町
$MISC_JOURNAL	日記
$MISC_MOVIES	ギャラリー
$MISC_OPTIONS	オプション
$MISC_CREDITS	クレジット
$MISC_PARTY	パーティー
$MISC_ERROR	エラーが発生しました
$MISC_ERROR!	エラーが発生しました！
$MISC_BONUS	ボーナス
$MISC_TIPS	ヒント
$MISC_CONTINUE	続ける
$MISC_PLEASE_WAIT	少々お待ちください・・・
$MISC_CLICK_HERE	ここをクリックしてください
$MISC_ASSIGN_POINTS	ポイント<N>割り当て
$MISC_ASSIGN_POINTS_NUMS	font:13,x_off:0,y_off:3,leading:-5
$MISC_NOBODY	なし
$MISC_EMPTY	なし
$MISC_CHANGE	チェンジ
$MISC_RESET	リセット
$MISC_DEFAULT	デフォルト
$MISC_SELECT	セレクト
$DATA_DUMP_LOCALES	ローカル書き出し中・・・
$DATA_DUMP_DATA	データファイル書き出し中・・・
$DATA_DUMP_CUTSCENE	カットシーンの画像書き出し中・・・
$DATA_DUMP_BKG	背景画像書き出し中・・・
$DATA_DUMP_EMBED	内蔵グラフィック書き出し中・・・
$DATA_DUMP_IMAGES	画像データ書き出し中・・・
$DATA_DUMP_TABLES	表データ書き出し中・・・
$DATA_DUMP_MOD_INFO	MOD情報書き出し中・・・
$DATA_DUMP_MAP_FILES	マップ書き出し中・・・
$DATA_DUMP_MAP_IMAGES	マップ画像書き出し中・・・
$DATA_DUMP_AUDIO	音声書き出し中・・・
$REWARD_NEXT_LEVEL	次のステージをアンロック
$REWARD_FINISH	ゲームクリア
$REWARD_QUEST	クエスト完了
$REWARD_NO_XP	なし！
$REWARD_NO_GOLD	なし！
$REWARD_XP	<PLUS> <XP> 経験値
$REWARD_GOLD	<PLUS> <GOLD> スクラップ
$HERO_BLURB_SLAK	勇敢だがちょっとバカなヘンな男・・・。
$HERO_BLURB_KETTA	遊牧民の女ハンター。ひねくれものでニヒリスト・・・。
$HERO_BLURB_BAKAL	穏やかな修道僧。罪が許される日を待っている・・・。
$HERO_BLURB_WRENNA	滅ぼされたクウェイド王国の王女。復讐を夢見ている・・・。
$HERO_BLURB_MARKOS	終わりなき戦いを経てボロボロになった騎士・・・。
$HERO_BLURB_NIRU	荒々しき神秘の存在。どんな秘密も明かそうとしない・・・。
$TALK_ASH	アッシュ難民
$TALK_QUAID	クウェイド難民
$TALK_NOMAD	遊牧難民
$TALK_CULTIST	カルト信者の難民
$MAP_TEXT_LAIR	隠れ家
$MAP_TEXT_SHRINE	祭壇
$MAP_TEXT_HERMIT	隠居
$MAP_TEXT_PRISON	牢屋
$MAP_TEXT_UNKNOWN	???
$MAP_TEXT_TREASURE	洞窟
$MCGUFFIN_LEARN_SPELL	<MCG>は新しい呪文を覚えた！
$YOU_GOT_JOIN	<CLASS>の<NAME>が<N>パーティーに加わった！
$YOU_GOT	入手！
$YOU_GOT_X	<NUM>x <THING>!
$YOU_GOT_NO_EQUIP_YET	今は、<THING>を使える人はいない<N>心配しなくても、パーティーに加わるかも。
$YOU_GOT_NO_EQUIP	このアイテムは装備できない。
$TOOLTIP_CASUAL	カジュアルモードでは、敵のヒットポイント、攻撃ダメージが少なくなっています。
$TOOLTIP_NORMAL	普通のチャレンジ。ここからスタートするのが望ましいでしょう。
$TOOLTIP_ADVANCED	少し難しいチャレンジ。でも、より良い報酬がもらえます。強くなったら挑戦しましょう。
$TOOLTIP_EXTREME	最も難しいチャレンジ。でも、最も大きい報酬がもらえます。心の準備を！
$TIP_00_TITLE	行き詰ったら
$TIP_00_TEXT	時には、前のバトルに戻るのもいいでしょう。レベル上げやお金の獲得、よりよい装備を手に入れましょう。カジュアルをプレイして、軽いチャレンジをするのもいいでしょう。
$TIP_10_TITLE	ホットキー
$TIP_10_TEXT	キーボードでゲームを操作できます！<N><N>―呪文の選択<N>―召喚キャラの選択<N>―ブースト/ディフェンダーの帰還<N>―ゲームの一時停止/再開<N>―召喚したディフェンダーを見る<N>―ターゲット/スピードの変更<N>―タブキー-インターフェースの操作<N>―キーボードでカーソル移動/クリック<N><N>(オプションメニューでキーをカスタマイズできます）
$TIP_20_TITLE	スキル
$TIP_20_TEXT	すべてのディフェンダーは、レベルアップするとスキルポイントが1上がります。<N><N>パーティーメニューでポイントを割り当て、新たな能力を解放しましょう。<N><N>１）テクニック（○）―バトルで使う攻撃<N>2)特徴（□）―パッシブスキル<N><N>上級のテクニックを使うには、ブーストが必要です。
$TIP_30_TITLE	経験値は誰のもの？
$TIP_30_TEXT	バトルの後、召喚された者が全員が生きていたなら、全員が同じ経験値を得ます。<N><N>召喚されていない者はその数に関わらず、それぞれトータルの半分の経験値を等しく得られます。<N><N>このペナルティは、ユーザー補助メニューで変更できます。
$TIP_40_TITLE	マップの確認
$TIP_40_TEXT	クリックとドラッグで、世界を見渡すことができます。キーボードでも操作できます。<N>デフォルトで、矢印キーでスクロールできるようになっています。
$TIP_50_TITLE	100%Psiで帰還
$TIP_50_TEXT	ディフェンダーを帰還させると、使ったPsiの一部が戻って来ます。<N><N>なお、最初のWAVEが出現するまでに帰還させると、全Psiを取り戻せます。
$TIP_60_TITLE	ウェブサイトとフォーラム
$TIP_60_TEXT	もし質問があれば、www.defendersquest.comのディフェンダーズ・クエスト・オンライン・コミュニティーを見てください！<N><N>コラボレーティブ・ウィキや開発ブログのフォーラムがあります。
$TIP_70_TITLE	ディフェンダーの配置
$TIP_70_TEXT	キーボードを使って、バトルにおけるディフェンダーの位置を決められます。<N><N>初期設定では、矢印キーでコントロールできます。
$TIP_80_TITLE	戦闘中の状態
$TIP_80_TEXT	ダメージの数字の色にはいくつか種類があります。白は通常、灰色はアーマーへの攻撃、赤は出血、オレンジは火、紫は毒、大きい数字はクリティカルヒットです。<N><N>オプションメニューのその他でオフにすることもできます。
