flag	content	comment		
$PARTY_NO_AFFORD	¡No tienes suficiente para esto!<N>Coste: <COST><N>Chatarra: <SCRAP>			
$PARTY_NO_NEW_ACHIEVE	No hay logros nuevos.			
$PARTY_NO_POINTS	¡No hay puntos!			
$PARTY_PASSED	¡Nivel completado!			
$PARTY_PASSED_ALLY_DEAD_DESC	<ALLY> ha muerto,<N>pero <MCG> ha sobrevivido.			
$PARTY_PASSED_DESC	<MCG> sobrevivió a la batalla<N>con algunas heridas.			
$PARTY_PASSED_WORD	Superado			
$PARTY_PASSED+	¡Nivel completado!+			
$PARTY_PASSED+_DESC	¡<MCG> ha sufrido heridas!<N>¡<ALLY> ha sobrevivido!			
$PARTY_PASSED++	¡Nivel completado!++			
$PARTY_PASSED++_DESC	¡<MCG> ha sufrido heridas!<N>¡<ALLY> ha sobrevivido sin daños!			
$PARTY_PERFECT	¡PERFECTO!			
$PARTY_PERFECT_ALLY_DEAD_DESC	<MCG> no ha sufrido daños, pero <ALLY> ha muerto.			
$PARTY_PERFECT_DESC	¡<MCG> no ha sufrido daños!			
$PARTY_PERFECT_WORD	Perfecto			
$PARTY_PERFECT+	¡PERFECTO!+			
$PARTY_PERFECT+_DESC	¡<MCG> no ha sufrido daños!<N>¡<ALLY> ha sufrido heridas!			
$PARTY_PERFECT++	¡PERFECTO!++			
$PARTY_PERFECT++_DESC	¡<MCG> y <ALLY><N>no han sufrido daños!			
$PARTY_POINT	punto			
$PARTY_POINTS	puntos	COMMENT: Status descriptions have LOTS of variables. Ask Lars is you have any questions.		
$PARTY_PSI	PSI			
$PARTY_RANGE	Rango:<T><T>			
$PARTY_RE_ASSIGN	¿Reasignar todas las habilidades de <NAME>?<N>Coste: <COST><N>Chatarra: <SCRAP>			
$PARTY_REACHED_WAVE_X	Oleada <X> alcanzada			
$PARTY_REDESIGN	Cambiar diseño			
$PARTY_REDESIGN	Cambiar diseño			
$PARTY_REDESIGN_NUMS	font:12,off_x:0,off_y:-6,leading:-4			
$PARTY_REGEN	Regen.:<T><T>			
$PARTY_RENAME	Cambiar nombre			
$PARTY_RESET_POINTS	Restabl-<N>ecer pts			
$PARTY_RESET_POINTS2	Restablecer puntos			
$PARTY_RESET_POINTS_NUMS	font:12,off_x:0,off_y:-4,leading:-4			
$PARTY_RETURN_TOWN	Volver a la ciudad			
$PARTY_SPEED	Velocidad:<T>			
$PARTY_TOTAL	Total			
$PARTY_WELL_DONE	¡BIEN HECHO!			
$PARTY_X_NEW_ACHIEVE	¡<NUM> logros nuevos!			
$PARTY_X_PTS	<X> pts			
$PARTY_XP	EXP			
$REWARD_FINISH	Termina el juego			
$REWARD_GOLD	<PLUS> <GOLD> de CHATARRA			
$REWARD_NEXT_LEVEL	Desbloquea el siguiente nivel			
$REWARD_NO_GOLD	¡Nada!			
$REWARD_NO_XP	¡Nada!			
$REWARD_QUEST	Misión completada			
$REWARD_XP	<PLUS> <XP> EXP.			
$RQ	»			
$SAVE_SLOT_DELETE	Eliminar			
$SAVE_SLOT_DELETE_TEXT	Borra permanentemente esta partida guardada de tu ordenador. Sabes lo que estás haciendo			
$SAVE_SLOT_DELETE_TITLE	Borrar partida guardada			
$SAVE_SLOT_EXPORT	Exportar			
$SAVE_SLOT_EXPORT_TEXT	Hacer una copia de seguridad de tu partida guardada en un archivo de texto.			
$SAVE_SLOT_EXPORT_TITLE	Exportar guardado al archivo			
$SAVE_SLOT_IMPORT	Importar			
$SAVE_SLOT_IMPORT_TEXT	Busca en tu ordenador un archivo de guardado de Defender's Quest que puedas usar.			
$SAVE_SLOT_IMPORT_TITLE	Importar guardado desde el archivo			
$SAVE_SLOT_NEW_GAME	Nueva partida			
$SAVE_SLOT_NEW_GAME_NUMS	y_off:-9			
$SAVE_SLOT_NEW_GAME_PLUS	Nueva partida+			
$SAVE_SLOT_NEW_GAME_PLUS_TEXT	Comienza una nueva aventura más exigente manteniendo toda la experiencia			
$SAVE_SLOT_NEW_GAME_PLUS_TITLE	Comenzar una Nueva partida+			
$SAVE_SLOT_PLAY	Jugar			
$SAVE_SLOT_PLAY_PLUS	Jugar+			
$SAVE_SLOT_PLAY_PLUS_TEXT	El progreso del equipo se COMPARTE entre la partida original y la Nueva partida+. Puedes jugar libremente a ambas versiones en cualquier momento sin perder nada.			
$SAVE_SLOT_PLAY_PLUS_TITLE	Reanudar Nueva partida+			
$SKILL_DESC_ADDS_CHANCE_TO_ALL	Añade <PERCENT>%<EXTRA> de probabilidad de <FLAV>* a todos los ataques.			
$SKILL_DESC_ADDS_CHANCE_TO_ONE	Añade <PERCENT>%<EXTRA> de probabilidad de <FLAV>* a <LQ><ATTACK><RQ>.			
$SKILL_DESC_ADDS_TO_ALL	Añade <FLAV>* a todos los ataques.			
$SKILL_DESC_ADDS_TO_ONE	Añade <FLAV>* a <LQ><ATTACK><RQ>.			
$SKILL_DESC_COOLDOWN	Enfriamiento			
$SKILL_DESC_DMG	Daño			
$SKILL_DESC_EFFECT	Efecto			
$SKILL_DESC_HEAL	Curación			
$SKILL_DESC_HITS	Golpes			
$SKILL_DESC_HITS_NUM	# de golpes			
$SKILL_DESC_PSI_COST	Coste de Psi			
$SKILL_DESC_SPECIAL				
$SKILL_DESC_SPLASH	Salpicadura			
$SKILL_DESC_TARGET	Objetivo			
$SKILL_DESC_TOTAL_BONUS	Bonus total para <STAT>*<N>es de +<AMOUNT><EXTRA>.			
$SPECIAL_IMPROVES	Mejora <FLAVOR>:			
$SPECIAL_PLUS_FLAV	Añade <FLAVOR>:			
$SPECIAL_SAVE_VS	Sobrevive contra <FLAVOR> si PV >= <PERCENT>%			
$STAT_DESC_ARMOR	ARMADURA<N>Cantidad de daño absorbido.			
$STAT_DESC_ARMOR_ENEMY	ARMADURA<N>Cantidad de daño absorbido.			
$STAT_DESC_ATTACK	ATAQUE<N>Hace que las técnicas causen más daño.			
$STAT_DESC_ATTACK_ENEMY	ATAQUE<N>El daño que pueden inflingir los enemigos con su mejor ataque.			
$STAT_DESC_BARRIER	BARRERA<N>Capas de protección frente al daño. Solo las magias extremadamente poderosas pueden reducirla.			
$STAT_DESC_DEFENSE	DEFENSA<N>Cantidad de daño absorbida.			
$STAT_DESC_DEFENSE_ENEMY	ARMADURA<N>Cantidad de daño absorbida.			
$STAT_DESC_EVADE	EVASIÓN<N>Probabilidad de evitar ataques enemigos.			
$STAT_DESC_EVADE_ENEMY	EVASIÓN<N>Probabilidad de evitar ataques.			
$STAT_DESC_FINAL_HIT	GOLPE FINAL<N>Cuanto daño recibe <FINAL_HIT_TARGET> cuando un enemigo llega al final.			
$STAT_DESC_HP	PUNTOS DE VIDA<N>Si llega a 0, estarás fuera de combate.			
$STAT_DESC_PHASING	INTERMITENCIA<N>Aparece y desaparece de manera intermitente;No puede ser fijado ni golpeado cuando desaparece.<N>El patrón son las casillas (apa., des.).			
$STAT_DESC_RANGE	RANGO<N>Tamaño del radio de ataque.			
$STAT_DESC_RANGE_ENEMY	RANGO<N>Tamaño del radio de ataque.			
$STAT_DESC_REGEN	REGENERACIÓN<N>Velocidad a la que se recuperan los PV en PV/seg.			
$STAT_DESC_REGEN_ENEMY	REGENERACIÓN<N>Velocidad a la que se recuperan los PV en PV/seg.			
$STAT_DESC_SPAWN	GENERA:<N>			
$STAT_DESC_SPEED	VELOCIDAD<N>Enfriamiento de velocidad de ataque:<N>Cada <SPEED_SHOW_MULT> puntos incrementa el enfriamiento de velocidad en 1x			
$STAT_DESC_SPEED_ENEMY	VELOCIDAD<N>La velocidad a la que un enemigo se mueve y ataca. 1 punto = 1 casilla por segundo.			
$STAT_DESC_SPELLS	HECHIZOS			
$STAT_DESC_STRONGS	PUNTOS FUERTES			
$STAT_DESC_THORNS	ESPINAS<N>Causa este daño a un atacante cuerpo a cuerpo.			
$STAT_DESC_WEAKS	PUNTOS DÉBILES			
$STAT_DESC_XP	EXPERIENCIA<N>			
$STATE_CRASH_DETAILS	Detalles:			
$STATE_CRASH_PROMPT	¿Qué quieres hacer?			
$STATE_CRASH_SEND	Enviar informe<N>al desarrollador			
$STATE_CRASH_SHOW_DUMP	Mostrar archivos<N>de volcado de memoria			
$STATE_CRASH_TITLE	¡Error crítico!			
$STATUS_DESC_ANONYMOUS	<PLUS><PERCENT>% de probabilidad de esquivar.			
$STATUS_DESC_BLEED	Recibe +<PERCENT>% de DAÑO.			
$STATUS_DESC_BLINDED	Los ataques fallan el <PERCENT> % de las veces.			
$STATUS_DESC_BURN	<AMT_1DIG> DAÑO/seg<N>Cancelado por hielo.			
$STATUS_DESC_CHILL	<MINUS><PERCENT>% de velocidad.<N>Cancelado por fuego.			
$STATUS_DESC_DARK	Esquiva ataques que no sean de área el <PERCENT> % de las veces.			
$STATUS_DESC_DARK_FRENZY	<RE>$STATUS_DESC_FRENZY			
$STATUS_DESC_DISEASE	Se reduce la regeneración en <PERCENT>%			
$STATUS_DESC_EVER_BLEED	<RE>$STATUS_DESC_BLEED			
$STATUS_DESC_EVER_POISON	<INTI> DAÑO/seg.			
$STATUS_DESC_FB_BORED	No se molesta en moverse.			
$STATUS_DESC_FB_EXISTENTIAL	<MINUS><PERCENT>% de velocidad, +<PERCENT>% de resistencia al daño			
$STATUS_DESC_FB_HAPPY	<PLUS><PERCENT>% de velocidad.			
$STATUS_DESC_FB_LOL	<PLUS><PERCENT>% de velocidad.			
$STATUS_DESC_FB_OMG	<PLUS><PERCENT>% de velocidad, -<PERCENT>% de resistencia al daño.			
$STATUS_DESC_FB_SAD	<MINUS><PERCENT>% de velocidad.			
$STATUS_DESC_FIRE	<RE>$STATUS_DESC_BURN			
$STATUS_DESC_FREEZE	No se puede mover.<N>Cancelado por fuego.			
$STATUS_DESC_FRENZY	Aumenta la velocidad un <PERCENT>%			
$STATUS_DESC_INSPIRE	<RE>$STATUS_DESC_INSPIRED			
$STATUS_DESC_INSPIRED	Los ataques causan +<M_MULT_PERCENT>% de DAÑO.			
$STATUS_DESC_INSPIRED_HIT	<RE>$STATUS_DESC_INSPIRED			
$STATUS_DESC_LIGHT	Elimina oscuridad.			
$STATUS_DESC_POISON	<INTI> DAÑO/seg durante <TIME> seg			
$STATUS_DESC_SINGLE_STUN	No se puede mover. Solo se puede inflingir una vez.			
$STATUS_DESC_SLOW	-<PERCENT>% de velocidad.			
$STATUS_DESC_STUN	No se puede mover.			
$STATUS_DESC_TROLL	Esquiva ataques el <PERCENT> % de las veces.			
$STATUS_TIME_FOREVER	Dura para siempre.			
$STATUS_TIME_LEFT	<TIME_LEFT>/<TIME> segundos restantes.			
$STRONG_DMG_MULT	<PERCENT>% de resistencia al DAÑO vs. <FLAVOR>			
$STRONG_EVADE	<PERCENT>% de evasión <FLAVOR>			
$TALK_ASH	REFUGIADO ASH			
$TALK_CULTIST	SACERDOTE SECTARIO			
$TALK_NOMAD	REFUGIADO NÓMADA			
$TALK_QUAID	REFUGIADO QUAID			
$TARGET_BOSS_TEXT	Si no está pulsado, ignora a los jefes enemigos.			
$TARGET_BOSS_TITLE	Fijar JEFE			
$TARGET_BOTH_TEXT	Usa las técnicas de acuerdo al nivel de mejora.			
$TARGET_BOTH_TITLE	Prioridad normal			
$TARGET_BULLDOG_TEXT	Nunca cambia de objetivo hasta que el enemigo se escapa o muere.<N><N>¡Bastante complicado, recomendado solamente para jugadores avanzados!			
$TARGET_BULLDOG_TITLE	Modo BULLDOG			
$TARGET_CHANCE_TEXT	Fija al enemigo con menos probabilidades de esquivar o resistir el ataque.			
$TARGET_CHANCE_TITLE	Mejor PROBABILIDAD			
$TARGET_CHEAP_TEXT	Reserva técnicas de mejora superiores para objetivos que no se pueden eliminar con una técnica inferior.			
$TARGET_CHEAP_TITLE	Técnica más ECONÓMICA			
$TARGET_EFFECT_TEXT	Usa ataques de efecto de estado contra el enemigo menos afectado.			
$TARGET_EFFECT_TITLE	Optimizar EFECTOS			
$TARGET_FAST_TEXT	Fija al enemigo más rápido.			
$TARGET_FAST_TITLE	Fijar MÁS RÁPIDO			
$TARGET_FIGHT_TEXT	Ataca siempre que sea posible, incluso si hay disponible una técnica de curación mejor.			
$TARGET_FIGHT_TITLE	Priorizar LUCHA			
$TARGET_FIRST_TEXT	Fija al enemigo más próximo al final.			
$TARGET_FIRST_TITLE	Fijar PRIMERO			
$TARGET_HEAL_TEXT	Cura siempre que sea posible, incluso si hay disponible una técnica de ataque mejor.			
$TARGET_HEAL_TITLE	Priorizar CURACIÓN			
$TARGET_LAST_TEXT	Fija al enemigo más alejado del final.			
$TARGET_LAST_TITLE	Fijar ÚLTIMO			
$TARGET_SAVE_TEXT	Mantiene los ajustes de objetivo actuales para este personaje.			
$TARGET_SAVE_TITLE	GUARDAR ajustes			
$TARGET_SPECIFIC_TEXT	Selecciona manualmente a qué enemigo atacar e ignora a todos los demás.			
$TARGET_SPECIFIC_TITLE	Fijar ESPECÍFICO			
$TARGET_STRONG_TEXT	Fija al enemigo con más PV + Armadura.			
$TARGET_STRONG_TITLE	Fijar MÁS FUERTE			
$TARGET_WEAK_TEXT	Fija al enemigo con menos PV + Armadura.			
$TARGET_WEAK_TITLE	Fijar MÁS DÉBIL			
$TIP_00_TEXT	<N><N>A veces viene bien retroceder y jugar una batalla anterior para subir de nivel, conseguir algunos recursos y comprar un equipo mejor. También puedes probar en dificultad «Casual» para un desafío más tranquilo.			
$TIP_00_TITLE	¿Estás atascado?			
$TIP_10_TEXT	¡Puedes controlar el juego con el teclado!<N><N>- Seleccionar hechizos<N>- Selecionar qué personajes invocar<N>- Mejorar / retirar defensores<N>- Pausar / reanudar el juego<N>- Cambiar entre defensores invocados<N>- Cambiar las opciones de fij. objetivo/velocidad<N>- Moverte entre pestañas en cualquier interfaz<N>- Mover el cursor/clicar con el teclado<N><N>(Personaliza las teclas en el menú de opciones)			
$TIP_10_TITLE	Atajos de teclado			
$TIP_100_TEXT	Retirar a los defensores invocados te devolverá una parte del Psi que has invertido en ellos.<N><N>La cantidad de Psi disminuye si el defensor está herido.			
$TIP_100_TITLE	Retirar			
$TIP_110_TEXT	Si tienes una discapacidad física, echa un vistazo al menú de opciones:<N><N>1) Vídeo - jugar en pantalla completa, aumentar la escala de las imágenes<N>2) Controles - configurar todos los controles<N>3) Accesibilidad - activar o desactivar efectos, velocidad del juego y multiplicador de experiencia			
$TIP_110C_TEXT	Si tienes una discapacidad física, echa un vistazo al menú de opciones:<N><N>1) Controles - configurar todos los controles<N>2) Accesibilidad - activar o desactivar efectos, velocidad del juego y multiplicador de experiencia			
$TIP_110_TITLE	Accesibilidad			
$TIP_120_TEXT	Este consejo se añade simplemente para que nadie intente analizar códigos o descifrar enigmas.			
$TIP_120_TITLE	Anuncios de interés público			
$TIP_130_TEXT	Si clicas en un defensor, puedes elegir la opción de fijación de objetivo para dar prioridad a los enemigos adelantados, atrasados, fuertes, débiles o rápidos. Úsalas para optimizar tus ataques. Por ejemplo, «fuerte? te puede ayudar a centrarte en las unidades más importantes o debilitar una multitud de enemigos.			
$TIP_130_TITLE	Opciones de fijación de objetivo			
$TIP_130C_TEXT	Si seleccionas un defensor, puedes elegir la opción de fijación de objetivo para dar prioridad a los enemigos adelantados, atrasados, fuertes, débiles o rápidos. Úsalas para optimizar tus ataques. Por ejemplo, «fuerte? te puede ayudar a centrarte en las unidades más importantes o debilitar una multitud de enemigos.			
$TIP_140_TEXT	Además de las opciones de fijación de objetivo básicas, existen cuatro ajustes opcionales:<N><N>1) Técnica de menos coste<N>2) Optimizar efectos <N>3) Mejor probabilidad <N>4) Modo bulldog<N><N>No son necesarias, pero pueden ser de ayuda para que los jugadores avanzados maximicen sus estrategias de batalla. ¡Incluso puedes guardar opciones de fijación de objetivo predeterminadas para un personaje concreto!			
$TIP_140_TITLE	Opción de fijación de objetivo avanzada			
$TIP_150_TEXT	El hielo y el fuego no se llevan bien.  Escalofrío y congelación cancelarán fuego; fuego derretirá congelación y cancelará escalofrío.			
$TIP_150_TITLE	Hielo y fuego			
$TIP_160_TEXT	Normalmente, los modos de dificultad «Avanzado» y «Extremo» serán demasiado duros para intentarlo directamente.<N><N>Inténtalo tras haber superado unas cuantas batallas posteriores en normal.			
$TIP_160_TITLE	Mayor dificultad			
$TIP_170_TEXT	Cuando compres nuevo equipo para tus héroes, aprovecha los objetos antiguos. Son un gran préstamo para los otros miembros de tu equipo.			
$TIP_170_TITLE	Equipo			
$TIP_180_TEXT	Agrupar a los defensores juntos hace que los enemigos distribuyan sus ataques, con lo que es más fácil que todos sobrevivan.<N><N>El inconveniente de esta estrategia es que cubres menos área.			
$TIP_180_TITLE	La unión hace la fuerza			
$TIP_190_TEXT	Si quieres ajustar el ritmo de la subida de niveles del juego, puedes cambiar el multiplicador de experiencia global en el menú de opciones.<N><N>El ajuste por defecto es 100%.<N><N>También puedes cambiar el multiplicador de chatarra.			
$TIP_190_TITLE	Multiplicador de recompensa			
$TIP_20_TEXT	Cada defensor gana 1 punto de habilidad cada vez que sube de nivel.<N><N>Asigna estos puntos en el menú de grupo para desbloquear nuevas habilidades para la batalla.<N><N>1) TÉCNICAS (circulares) - ataques que se usan en la batalla<N>2) CUALIDADES (cuadradas) - pasivas, habilidades siempre activas.<N><N>Las técnicas más avanzadas requieren la mejora de unidades para usarlas en la batalla.			
$TIP_20_TITLE	Habilidades			
$TIP_200_TEXT	A veces una técnica determindada puede estropear tu ritmo (quizás las bolas de fuego de tu dragón están derritiendo el hielo de los enemigos), o simplemente quieres guardar un ataque poderoso para después. Si es así, puedes clicar en el defensor y después clicar sobre la técnica en el menú inferior derecho para desactivarla temporalmente.			
$TIP_200C_TEXT	A veces una técnica determindada puede estropear tu ritmo (quizás las bolas de fuego de tu dragón están derritiendo el hielo de los enemigos), o simplemente quieres guardar un ataque poderoso para después. Si es así, puedes seleccionar en el defensor y después seleccionar la técnica en el menú inferior derecho para desactivarla temporalmente.			
$TIP_200_TITLE	Desactivar técnicas			
$TIP_210_TEXT	En el menú de guardado de partida, hay un botón con un dibujo de una carpeta y una llave inglesa.<N><N>Esto te llevará a la carpeta donde están las partidas guardadas y el archivo de configuración.			
$TIP_210_TITLE	¿Dónde están mis archivos de guardado?			
$TIP_220_TEXT	Tras terminar el modo normal, puedes empezar una nueva aventura con tu antiguo grupo, con batallas más difíciles ¡y recompensas fantásticas!<N><N>Ve a la pantalla de guardado y selecciona NUEVA PARTIDA+ en tu antiga partida guardada.			
$TIP_220_TITLE	Nueva partida+			
$TIP_230_TEXT	En el modo NUEVA PARTIDA+, podrás ganar artefactos especiales que puedes usar para mejorar equipo único del modo normal. ¡Estos objetos mejorados tienen poderes especiales!			
$TIP_230_TITLE	Mejoras			
$TIP_240_TEXT	Cuando hayas conseguido suficientes estrellas, empezarás a desbloquear batallas de bonus. Estas misiones especiales tienen desafíos extra y recompensas extra.			
$TIP_240_TITLE	Misiones de Bonus			
$TIP_250_TEXT	El hechizo Rayo tiene «Abrasión de Psi», que reduce una parte de la recompensa de Psi del enemigo cada vez.  Si el hechizo causa 40% de daño al enemigo, se eliminará el 40% de la recompesa normal de Psi.			
$TIP_250_TITLE	¿Abrasión de Psi?			
$TIP_260_TEXT	¿Sabes que puedes hacer tus propios mods (modificaciones) de Defender's Quest?<N><N>Clica en el gran botón con la M en el menú de guardado de partida.  Puedes cambiar prácticamente todo: estadísticas, niveles, clases, personajes, cinemáticas, gráficos, objetos, etc.			
$TIP_260_TITLE	Compatible con mods			
$TIP_270_TEXT	<N><N>Llama a tu madre, que seguro que te echa de menos.			
$TIP_270_TITLE	Acuérdate de mamá			
$TIP_30_TEXT	<N><N>Tras una batalla, todos obtienen la misma experiencia si estaban vivos e invocados al final.<N><N>Los demás obtienen la mitad de experiencia.  La EXP. por personaje es la misma sin tener en cuenta el número de personajes.<N><N>Puedes cambiar esta penalización en el menú de accesibilidad.			
$TIP_30_TITLE	¿Quién consigue experiencia?			
$TIP_40_TEXT	Puedes clicar y arrastrar para recorrer el mapa del mundo, o navegar con el teclado.<N><N>El desplazamiento está configurado por defecto en las teclas de las flechas de dirección.			
$TIP_40_TITLE	Mapa del mundo			
$TIP_50_TEXT	Normalmente, al retirar a los defensores solo ganas una parte del Psi invertido.<N><N>Sin embargo, si los retiras antes de que aparezca la primera oleada de enemigos, podrás recuperar 100% de tu Psi.			
$TIP_50_TITLE	Retirar por 100% de Psi			
$TIP_60_TEXT	¡Si tienes una pregunta, únete a la comunidad online de Defender's Quest en www.defendersquest.com!<N><N>Tenemos un foro donde puedes hacer preguntas, una wiki colaborativa y un blog de desarrollo del juego.			
$TIP_60_TITLE	Página web y foro			
$TIP_70_TEXT	Puedes usar el teclado para apostar defensores en la batalla.<N><N>Los controles están configurados por defecto en las teclas de las flechas de dirección.			
$TIP_70_TITLE	Apostar defensores			
$TIP_80_TEXT	Los colores de los números indican el tipo de daño.  El blanco es normal, gris es reducción de armadura, rojo es sangrante, naranja es fuego, morado es veneno y grande es crítico. <N><N>Puedes activarlos y desactivarlos en el menú de opciones, en «Jugabilidad».			
$TIP_80_TITLE	Efectos de batalla			
$TIP_90_TEXT	A veces, al jugar niveles en una dificultad superior, encontrarás objetos únicos.  Son objetos coleccionables poderosos y no se pueden vender en las tiendas.			
$TIP_90_TITLE	Objetos únicos			
$TITLE_BONUS_GOODIES	Golosinas extra			
$TITLE_BONUS_GOODIES_2	¿Secretos?			
$TITLE_CONNECTING_KONG	Conectando a KONG...			
$TITLE_EULA_1	Al jugar aceptas nuestra			
$TITLE_EULA_2	Acuerdo de licencia de usuario final			
$TITLE_FULL_GAME	JUEGO COMPLETO			
$TITLE_OPTIONS	Opciones			
$TITLE_PLEASE_WAIT	<RE>$MISC_PLEASE_WAIT			
$TITLE_QUIT	Salir			
$TITLE_RELOAD_MOD	Recargar Mod			
$TITLE_START	Comenzar			
$TITLE_START_DEMO	Empezar DEMO			
$TITLE_START_GAME	Empezar PARTIDA			
$TITLE_UNLOAD_MOD	Quitar Mod			
$TOOLTIP_ADVANCED	Desafío más difícil, con mejores recompesas.<N><N>Vuelve cuando seas lo bastante fuerte.			
$TOOLTIP_CASUAL	En el modo casual, los enemigos tienen menos puntos de vida y daño de ataque.			
$TOOLTIP_CHANGE_PATH_1	NOTA:			
$TOOLTIP_CHANGE_PATH_2	Los archivos antiguos no se transferirán automáticamente a la nueva ubicación.<N><N>Permanecerán en el directorio original.			
$TOOLTIP_EXTREME	El desafío más difícil, con las mejores recompensas.<N><N>¡Prepárate!			
$TOOLTIP_NORMAL	Desafío normal.<N><N>Donde deben empezar la mayoría de los jugadores.			
$TYPE_ARMOR	Con armadura			
$TYPE_ATTACKER	Agresor			
$TYPE_BOSS	Jefe			
$TYPE_CULTIST	Sectario			
$TYPE_DARK	Oscuro			
$TYPE_EXALTED	Exaltado			
$TYPE_FAST	Rápido			
$TYPE_NO_END_DAMAGE	NoDañoMortal			
$TYPE_NORMAL	Normal			
$TYPE_NUKE_ON_KILL	DestrucciónTrasMuerte			
$TYPE_REVENANT	Zombi			
$TYPE_SHEEP	Oveja			
$TYPE_SNAIL	Caracol			
$TYPE_SPITTER	Divisor			
$TYPE_SPLITTER	Divisor			
$TYPE_STATIONARY	Estático			
$TYPE_TELEPORTER	Teletransporte			
$TYPE_WATER	Agua			
$TYPE_WORM	Gusano			
$UI_ACCEPT_NUMS	font:18,off_y:1,off_x:-3			
$UI_ACCESS_ABSENCE	AUSENCIA			
$UI_ACCESS_DEFAULT	*Ajustes por defecto			
$UI_ACCESS_FAIL	FRACASO			
$UI_ACCESS_FAILURE_PENALTY	Penaliz. por fracaso			
$UI_ACCESS_FLASHING	Efectos de luz			
$UI_ACCESS_NUMS	font:18,off_y:1,off_x:-2,show_boxes:0,absence_off_x:0,speed_off_x:-50			
$UI_ACCESS_PENALTIES	PENALIZACIONES			
$UI_ACCESS_REWARDS	RECOMPENSAS			
$UI_ACCESS_SEE_ALSO	Ver también:			
$UI_ACCESS_SPEED	Velocidad del juego			
$UI_ACCESS_TITLE	Accesibilidad			
$UI_ACHIEVE_CATEGORIES	Categorías			
$UI_ACHIEVE_COMPLETION	Completados			
$UI_ACHIEVE_EASY	Fácil			
$UI_ACHIEVE_HARD	Difícil			
$UI_ACHIEVE_IMPOSSIBLE	Imposible			
$UI_ACHIEVE_MEDIUM	Normal			
$UI_ACHIEVE_POP_UP	Notificador de pop-up			
$UI_ACHIEVE_TRAINER	Muy fácil			
$UI_ACHIEVEMENTS_BUTTON_NUMBERS	font:18,offy:-2			
$UI_ACHIEVEMENTS_NUMS	font:18,off_y:0,pop_up_off_y:-15,desc_font:11,title_font:11,popup_font:16,x_off_column:-15,x_space_column:20			
$UI_ACHIEVEMENTS_TITLE	Logros			
$UI_AWARDS_TITLE	Recompensas			
$UI_ALL_FILES	Todos los archivos			
$UI_AUDIO_NUMS	font:18,off_y:1,off_x:-2			
$UI_AUDIO_TITLE	Audio			
$UI_BACK_NUMS	font:18,off_y:1,off_x:-3			
$UI_BATTLE_CASH_OUT	Comprar			
$UI_BATTLE_CASH_OUT_TEXT	¿Terminar la batalla ahora y recoger las recompensas que has conseguido?			
$UI_BATTLE_CASH_OUT?	¿Comprar?			
$UI_BATTLE_MORE	MÁS			
$UI_BATTLE_NEXT	SIGUIENTE			
$UI_BATTLE_SEND_NEXT	SIGUI-<N>ENTE			
$UI_BATTLE_WAVE	Oleada			
$UI_BATTLE_WAVES	Oleadas			
$UI_BONUS_BLUE_STARS_LINE	<STAR_NUM> estrellas azules			
$UI_BONUS_BONUS_LEVELS	Niveles de bonus			
$UI_BONUS_GOLD_STARS_LINE	<STAR_NUM> estrellas doradas			
$UI_BONUS_NUMS	select_font:13,locked_font:13,select_y_off:2,locked_y_off:2			
$UI_BONUS_STARS_LINE	<STAR_NUM> estrellas <STAR_COLOR>			
$UI_CLOUD_UNKNOWN	Partidas guardadas en nube			
$UI_CLOUD_UNKNOWN_TEXT	¿Activar las partidas guardadas en nube de Steam?			
$UI_CLOUD_UNKNOWN_TEXT_2	Puedes cambiar este ajuste en cualquier momento desde:<N><N>Opciones:Miscelánea			
$UI_CONFLICT_BACKUP	Copia de seguridad del archivo que no elijo:<N><LOC>			
$UI_CONFLICT_BETTER	Creemos que este parece mejor			
$UI_CONFLICT_BUTTON	Usa este			
$UI_CONFLICT_CLOUD	NUBE			
$UI_CONFLICT_LOCAL	ORDENADOR		
$UI_CONFLICT_CONSOLE	VIDEOCONSOLA 
$UI_CONFLICT_MSG	No estamos seguro sobre cuál de estos deberíar ir en el espacio <SLOT>.<N>Escoge el que quieres conservar.			
$UI_CONFLICT_NGP	Nueva partida+			
$UI_CONFLICT_TITLE	¡Problema con la Nube!			
$UI_CONTROLS_ACCEL	Aceleración			
$UI_CONTROLS_ACCEL_NUMS	font:13,off_x:15,off_y:0,text_off_x:0,text_off_y:0			
$UI_CONTROLS_ACCEPT	Aceptar			
$UI_CONTROLS_ACCEPT_SELECT	Aceptar/Seleccionar			
$UI_CONTROLS_AUTO	Autodetectar			
$UI_CONTROLS_BACK	Atrás			
$UI_CONTROLS_BACK_CANCEL	Atrás/Cancelar			
$UI_CONTROLS_BACK_NUMS	off_x;10			
$UI_CONTROLS_BOOST	Mejorar			
$UI_CONTROLS_BOOST_NUMS	off_x:15			
$UI_CONTROLS_CANCEL	Cancelar			
$UI_CONTROLS_CHARACTER	Personaje			
$UI_CONTROLS_CLASS	Clase			
$UI_CONTROLS_CLICK	Clic			
$UI_CONTROLS_CURSOR	Cursor			
$UI_CONTROLS_CYCLE	Cambiar entre<N>defensores			
$UI_CONTROLS_CYCLE_NUMS	off_x:0,off_y:0			
$UI_CONTROLS_DEVICE	Dispositivo			
$UI_CONTROLS_FAST	Rápido			
$UI_CONTROLS_GAMEPAD	Mando			
$UI_CONTROLS_GAMEPAD_MODEL	Modelo			
